pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.0308748561002262	0.269203698508837	1.48623439200593	NA	5	MTHFD1L;AASDHPPT
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.467391304347826	0.834659028313319	-1.00867673437891	NA	10	BOLA2B;GLRX5;LYRM4;NDUFAB1;FDX2;FXN;ISCU
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.05625	0.392752867570386	-1.52583488311093	NA	13	D2HGDH;DLD;IDH1;DLST;OGDH;PHYH;GOT1;IDH2
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.955339805825243	0.988593626135397	0.604990903330581	NA	15	ZC3H12A;ZFP36L1;DHX36
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.97029702970297	0.991211691660359	0.597659439971267	NA	19	YBX3;ARID5A;TENT4B;TENT4A;ANGEL2;ELAVL1;MAPK14;MAPKAPK2;ZFP36
GOBP_4FE_4S_CLUSTER_ASSEMBLY	GOBP_4FE_4S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.334841628959276	0.74648179667068	-1.15665805193487	NA	5	LYRM4;FDX2;FXN;ISCU
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.517985611510791	0.849797687861272	0.997799744894427	NA	6	GTF3C4;GTF3C3;GTF3C5;GTF3C1
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.651291512915129	0.902786377708978	0.870928411404119	NA	10	SNRPD3;TGS1;SNRPB;LSM11;SNRPF
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.405109489051095	0.798926229465974	1.08064313520386	NA	7	RNMT;RAMAC;NCBP1;CMTR1;CMTR2;RNGTT
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.0216066809040752	0.216415303894044	-1.63255850817946	NA	22	ACAT1;DLD;PDK4;ACSS2;DLAT;MPC2;MLYCD;PPCS
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__16023185_pseudobulk	census_scrna__16023185_pseudobulk	0.000770403049184427	0.0226620139046935	-1.92083456189608	NA	36	HMGCS2;ACAT1;DLD;PDK4;ACACB;ACSS2;DLAT;DLST;MPC2;MLYCD;NUDT7;NUDT8;PMVK;PPCS
