pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	0.803646563814867	0.941214470284238	0.775097062469406	NA	41	ENSG00000001626;ENSG00000197150;ENSG00000085563;ENSG00000172350;ENSG00000115657;ENSG00000064687
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	0.965421853388658	0.998286126646221	0.619391031939269	NA	57	ENSG00000137193;ENSG00000136997;ENSG00000138795;ENSG00000081059;ENSG00000171608;ENSG00000112033;ENSG00000102096;ENSG00000187840;ENSG00000133101;ENSG00000109320;ENSG00000131759;ENSG00000168610
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	0.837037037037037	0.95099139543584	-0.790473069708246	NA	73	ENSG00000005339;ENSG00000148737;ENSG00000035403;ENSG00000152284;ENSG00000100393;ENSG00000143217;ENSG00000044115;ENSG00000140575;ENSG00000146648;ENSG00000158195;ENSG00000151422;ENSG00000141646;ENSG00000175387
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	0.465211459754434	0.799290610825006	0.999098289082588	NA	63	ENSG00000169169;ENSG00000109339;ENSG00000232810;ENSG00000065675;ENSG00000164398;ENSG00000184557;ENSG00000197142;ENSG00000068366;ENSG00000115138;ENSG00000067182;ENSG00000100906;ENSG00000123983;ENSG00000143171;ENSG00000146232;ENSG00000122585;ENSG00000181856;ENSG00000116678;ENSG00000109320
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	0.18141592920354	0.535608933839022	1.25086116423887	NA	28	ENSG00000131459;ENSG00000120053;ENSG00000182890;ENSG00000172482;ENSG00000070669;ENSG00000108381;ENSG00000128059;ENSG00000198380;ENSG00000167701;ENSG00000166123;ENSG00000112294;ENSG00000203797;ENSG00000159423;ENSG00000239900
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	0.661016949152542	0.890133892104983	0.869884701779929	NA	40	ENSG00000118515;ENSG00000069849;ENSG00000171608;ENSG00000017427;ENSG00000137731;ENSG00000254647;ENSG00000105409;ENSG00000065054;ENSG00000111319;ENSG00000154229
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	0.798283261802575	0.941214470284238	0.772069920347369	NA	32	ENSG00000232810;ENSG00000111537;ENSG00000136634;ENSG00000109471;ENSG00000026103;ENSG00000117560;ENSG00000102245;ENSG00000101017
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	0.0925324675324675	0.419781438074121	1.38342847306814	NA	11	ENSG00000116711;ENSG00000123739;ENSG00000127472;ENSG00000170890
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	0.00242224727163997	0.0450537992525035	1.54943355836606	NA	159	ENSG00000125538;ENSG00000160471;ENSG00000172115;ENSG00000178607;ENSG00000232810;ENSG00000132906;ENSG00000156467;ENSG00000184076;ENSG00000090266;ENSG00000127184;ENSG00000170906;ENSG00000173660;ENSG00000136521;ENSG00000233954;ENSG00000158864;ENSG00000128609;ENSG00000026103;ENSG00000109390;ENSG00000182621;ENSG00000204370;ENSG00000131143;ENSG00000131174;ENSG00000067182;ENSG00000004779;ENSG00000127540;ENSG00000131495;ENSG00000123104;ENSG00000183648;ENSG00000119013;ENSG00000164405;ENSG00000135940;ENSG00000176340;ENSG00000125356;ENSG00000112695;ENSG00000159199;ENSG00000145335;ENSG00000110717;ENSG00000119421;ENSG00000205155;ENSG00000168653;ENSG00000111775;ENSG00000169021;ENSG00000166136;ENSG00000124172;ENSG00000110955;ENSG00000189043;ENSG00000126267;ENSG00000198899;ENSG00000151366;ENSG00000176749;ENSG00000140740;ENSG00000151694;ENSG00000160014;ENSG00000115286;ENSG00000179091;ENSG00000183454;ENSG00000081248;ENSG00000228253;ENSG00000099624;ENSG00000198712;ENSG00000165264;ENSG00000176884;ENSG00000178741;ENSG00000154518;ENSG00000267855;ENSG00000072506;ENSG00000172071;ENSG00000154723;ENSG00000137845;ENSG00000143252;ENSG00000167863
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_DESeq2	0.97194950911641	0.998286126646221	0.610861732226072	NA	41	ENSG00000247626;ENSG00000139131;ENSG00000133706;ENSG00000113407;ENSG00000124608;ENSG00000179115;ENSG00000137411;ENSG00000140105;ENSG00000134684;ENSG00000145982;ENSG00000196305;ENSG00000110619;ENSG00000103356;ENSG00000104835;ENSG00000166986
