dataset_id	chemistry	species	tissue_class	tool_a	tool_b	n_common_genes	n_common_cells	rho_gene_total	rho_cell_total_umi	log2_median	log2_iqr	log2_p05	log2_p95	pct_A_higher	pct_B_higher	pct_tie	det_rate_A	det_rate_B	det_rate_A_intersect	det_rate_B_intersect
10x_pbmc_1k_v3	3p_v3	human	PBMC	star_default	star_cr_mimic	63241	240859	0.987002097177162	0.9392360556247888	0.0	0.0	-0.0687127500840142	0.0	0.04128650717098085	0.18924431934978891	0.7694691734792303	0.39555035499122404	0.3900475957053178	0.39555035499122404	0.3900475957053178
10x_pbmc_1k_v3	3p_v3	human	PBMC	star_default	alevin_fry	63241	71774	0.5196538155042978	0.8712111974363769	0.0	2.0	0.0	7.554588851677638	0.3864739646748154	0.007194699641055644	0.606331335684129	0.39555035499122404	0.2728240645572756	0.39555035499122404	0.11726569788586519
10x_pbmc_1k_v3	3p_v3	human	PBMC	star_default	kb_count	63241	232735	0.9491410570497453	0.9326614699137794	0.0	0.04924351901984913	-1.0	0.020177881937630274	0.0525608386964153	0.2804984108410683	0.6669407504625164	0.39555035499122404	0.4195379579703041	0.39555035499122404	0.4195379579703041
10x_pbmc_1k_v3	3p_v3	human	PBMC	star_cr_mimic	alevin_fry	63241	71773	0.5241347462950497	0.8617335843126313	0.0	2.0	0.0	7.562242424221073	0.38184089435650925	0.006309198146771873	0.6118499074967189	0.3900475957053178	0.2728240645572756	0.3900475957053178	0.11726569788586519
10x_pbmc_1k_v3	3p_v3	human	PBMC	star_cr_mimic	kb_count	63241	233045	0.9499736845197433	0.9650478809324924	0.0	0.010847382236992435	-1.0	0.047673561552631284	0.06889517876061416	0.25600480700811185	0.675100014231274	0.3900475957053178	0.4195379579703041	0.3900475957053178	0.4195379579703041
10x_pbmc_1k_v3	3p_v3	human	PBMC	alevin_fry	kb_count	189723	71411	0.517208270304955	0.8952471234553747	0.0	2.321928094887362	-7.60733031374961	0.0	0.0035578185038187254	0.41337107256368494	0.5830711089324964	0.2728240645572756	0.4195379579703041	0.11726569788586519	0.4195379579703041
10x_pbmc_4k_v2	3p_v2	human	PBMC	star_default	star_cr_mimic	63241	282237	0.9680579190873944	0.9710820497756162	0.0	0.03199011424443703	0.0	0.9068905956085185	0.28903717525023326	0.021821286823421514	0.6891415379263452	0.4467987539728973	0.41985420850397687	0.4467987539728973	0.41985420850397687
10x_pbmc_4k_v2	3p_v2	human	PBMC	star_default	alevin_fry	63241	221891	0.48548770473837616	0.9684753348762565	0.0	2.820929779523411	0.0	8.426264754702098	0.4402998055059218	0.005755759712844515	0.5539444347812337	0.4467987539728973	0.2879830068046573	0.4467987539728973	0.11508356920352303
10x_pbmc_4k_v2	3p_v2	human	PBMC	star_default	kb_count	63241	280335	0.9391520697325826	0.9647713132940525	0.0	0.08565273349628934	-1.415037499278844	0.027480736422106918	0.05252921364304802	0.35709429009661453	0.5903764962603374	0.4467987539728973	0.49150076690754413	0.4467987539728973	0.49150076690754413
10x_pbmc_4k_v2	3p_v2	human	PBMC	star_cr_mimic	alevin_fry	63241	221889	0.499395799950868	0.9724380677359046	0.0	2.584962500721156	0.0	8.276124405274238	0.411837257475372	0.006957511740801062	0.5812052307838269	0.41985420850397687	0.2879830068046573	0.41985420850397687	0.11508356920352303
