chemistry	tool_a	tool_b	metric	n_datasets	point_estimate	boot_ci_low	boot_ci_high	insufficient_n
3p_v2	star_default	star_cr_mimic	rho_gene_total	2	0.9638902380707657	0.9597225570541369	0.9680579190873944	True
3p_v2	star_default	star_cr_mimic	rho_cell_total_umi	2	0.9727792060760208	0.9710820497756162	0.9744763623764254	True
3p_v2	star_default	star_cr_mimic	log2_median	2	0.0	0.0	0.0	True
3p_v2	star_default	star_cr_mimic	pct_A_higher	2	0.29182808620989553	0.28903717525023326	0.29461899716955775	True
3p_v2	star_default	alevin_fry	rho_gene_total	2	0.48343918025289795	0.48139065576741974	0.48548770473837616	True
3p_v2	star_default	alevin_fry	rho_cell_total_umi	2	0.9703329537352485	0.9684753348762565	0.9721905725942406	True
3p_v2	star_default	alevin_fry	log2_median	2	0.0	0.0	0.0	True
3p_v2	star_default	alevin_fry	pct_A_higher	2	0.4384892712006452	0.4366787368953685	0.4402998055059218	True
3p_v2	star_default	kb_count	rho_gene_total	2	0.9318383427294863	0.9245246157263901	0.9391520697325826	True
3p_v2	star_default	kb_count	rho_cell_total_umi	2	0.963342596353675	0.9619138794132976	0.9647713132940525	True
3p_v2	star_default	kb_count	log2_median	2	0.0	0.0	0.0	True
3p_v2	star_default	kb_count	pct_A_higher	2	0.05241852595626255	0.05230783826947708	0.05252921364304802	True
3p_v2	star_cr_mimic	alevin_fry	rho_gene_total	2	0.4984314940062203	0.49746718806157253	0.499395799950868	True
3p_v2	star_cr_mimic	alevin_fry	rho_cell_total_umi	2	0.9748161298750537	0.9724380677359046	0.977194192014203	True
3p_v2	star_cr_mimic	alevin_fry	log2_median	2	0.0	0.0	0.0	True
3p_v2	star_cr_mimic	alevin_fry	pct_A_higher	2	0.40954444110624433	0.40725162473711674	0.411837257475372	True
3p_v2	star_cr_mimic	kb_count	rho_gene_total	2	0.9133885692556807	0.9048436495078374	0.921933489003524	True
3p_v2	star_cr_mimic	kb_count	rho_cell_total_umi	2	0.966480004970131	0.9625837776643308	0.9703762322759311	True
3p_v2	star_cr_mimic	kb_count	log2_median	2	0.0	0.0	0.0	True
3p_v2	star_cr_mimic	kb_count	pct_A_higher	2	0.024888917000047438	0.023228601698265367	0.02654923230182951	True
3p_v2	alevin_fry	kb_count	rho_gene_total	2	0.4760152665126274	0.473097682037915	0.4789328509873398	True
3p_v2	alevin_fry	kb_count	rho_cell_total_umi	2	0.9818926617374297	0.981862305693168	0.9819230177816914	True
3p_v2	alevin_fry	kb_count	log2_median	2	0.0	0.0	0.0	True
3p_v2	alevin_fry	kb_count	pct_A_higher	2	0.0021188785756075966	0.0018500656219857371	0.0023876915292294558	True
3p_v3	star_default	star_cr_mimic	rho_gene_total	7	0.9914994105007947	0.9895750614256564	0.9930522704916187	False
3p_v3	star_default	star_cr_mimic	rho_cell_total_umi	7	0.9262521064178865	0.8931134894838222	0.9556085280347206	False
3p_v3	star_default	star_cr_mimic	log2_median	7	0.0	0.0	0.0	False
3p_v3	star_default	star_cr_mimic	pct_A_higher	7	0.07027547454443032	0.05047098030770915	0.09241043253891106	False
3p_v3	star_default	alevin_fry	rho_gene_total	7	0.6476854527075282	0.5809249877291446	0.7253429427906142	False
3p_v3	star_default	alevin_fry	rho_cell_total_umi	7	0.944286722304838	0.9166864185213557	0.9674675338067472	False
3p_v3	star_default	alevin_fry	log2_median	7	0.6420864720500777	0.22567156533111063	1.0878583016064625	False
3p_v3	star_default	alevin_fry	pct_A_higher	7	0.5193153808747294	0.4483852104019279	0.5884659191621981	False
3p_v3	star_default	kb_count	rho_gene_total	7	0.9619092859692412	0.9564743971836595	0.9670287941095519	False
3p_v3	star_default	kb_count	rho_cell_total_umi	7	0.8935415643623558	0.8542460409419438	0.9283767497964417	False
3p_v3	star_default	kb_count	log2_median	7	0.0	0.0	0.0	False
3p_v3	star_default	kb_count	pct_A_higher	7	0.08390260128136869	0.06804499965236224	0.10033421392506693	False
3p_v3	star_cr_mimic	alevin_fry	rho_gene_total	7	0.6509276156654046	0.5800525514944247	0.7222982434034536	False
3p_v3	star_cr_mimic	alevin_fry	rho_cell_total_umi	7	0.9423229318960716	0.9160906710923975	0.9668947276204529	False
3p_v3	star_cr_mimic	alevin_fry	log2_median	7	0.6453804760146371	0.19253404723716389	1.0982269047921103	False
3p_v3	star_cr_mimic	alevin_fry	pct_A_higher	7	0.5180728194831674	0.45137573078882326	0.5833607910544726	False
3p_v3	star_cr_mimic	kb_count	rho_gene_total	7	0.9629871018364103	0.9573829495769597	0.9685899445670564	False
3p_v3	star_cr_mimic	kb_count	rho_cell_total_umi	7	0.9362762765529181	0.9126572255017705	0.9602055669016064	False
3p_v3	star_cr_mimic	kb_count	log2_median	7	0.0	0.0	0.0	False
3p_v3	star_cr_mimic	kb_count	pct_A_higher	7	0.14529587547319744	0.09631999495468754	0.1996679945418268	False
3p_v3	alevin_fry	kb_count	rho_gene_total	7	0.6475792221387854	0.5752296002508044	0.7133212218076501	False
3p_v3	alevin_fry	kb_count	rho_cell_total_umi	7	0.9544385807159804	0.9312595037546237	0.9724519120535428	False
3p_v3	alevin_fry	kb_count	log2_median	7	-0.845316370448943	-1.3894020533883424	-0.2264232143887366	False
3p_v3	alevin_fry	kb_count	pct_A_higher	7	0.0047572953625746595	0.003967630575869901	0.005573773453463247	False
