dataset	tool	n_O1	n_O2	shared	O1_only	O2_only	jaccard
10x_pbmc_1k_v3	SoupX	1082	1082	1082	0	0	1.0
10x_pbmc_1k_v3	CellBender	1176	1198	1176	0	22	0.9816360601001669
10x_pbmc_1k_v3	DecontX	1082	1082	1082	0	0	1.0
10x_neuron_1k_v3	SoupX	1030	1033	1029	1	4	0.995164410058027
10x_neuron_1k_v3	CellBender	1231	1303	1224	7	79	0.934351145038168
10x_neuron_1k_v3	DecontX	1033	1033	1032	1	1	0.9980657640232108
10x_t_3k_v2	SoupX	3305	3305	3302	3	3	0.998186215235792
10x_t_3k_v2	CellBender	3655	3766	3650	5	116	0.967913020418987
10x_t_3k_v2	DecontX	3305	3305	3305	0	0	1.0
10x_pbmc_4k_v2	SoupX	4086	4086	4081	5	5	0.9975556098753361
10x_pbmc_4k_v2	CellBender	4525	4591	4512	13	79	0.9800173761946134
10x_pbmc_4k_v2	DecontX	4086	4086	4058	28	28	0.986387943607195
10x_pbmc_5k_v3.1	SoupX	4278	4305	4277	1	28	0.9932652113330237
10x_pbmc_5k_v3.1	CellBender	4587	4711	4585	2	126	0.9728410778697221
10x_pbmc_5k_v3.1	DecontX	4304	4305	4301	3	4	0.9983751160631383
10x_pbmc_10k_v3.1	SoupX	10427	10427	10425	2	2	0.9996164541183239
10x_pbmc_10k_v3.1	CellBender	11213	11235	11197	16	38	0.9952004266287441
10x_pbmc_10k_v3.1	DecontX	10411	10427	10404	7	23	0.9971247843588269
gse325955_mouse_kidney_E18_5	SoupX	21562	21564	21558	4	6	0.999536350148368
gse325955_mouse_kidney_E18_5	CellBender	24281	25078	24255	26	823	0.96618068833652
gse325955_mouse_kidney_E18_5	DecontX	21563	21564	21495	68	69	0.9936667899408284
gse287209_human_lung_organoid	SoupX	26552	26552	26551	1	1	0.9999246789439988
gse287209_human_lung_organoid	CellBender	31342	33508	31161	181	2347	0.9249606696547834
gse287209_human_lung_organoid	DecontX	26233	26552	26182	51	370	0.984174717137165
gse288156_mouse_intestine_scrna	SoupX	20781	20781	20777	4	4	0.9996151070483522
gse288156_mouse_intestine_scrna	CellBender	15885	15889	15708	177	181	0.977716917714428
gse288156_mouse_intestine_scrna	DecontX	20005	20781	19560	445	1221	0.9215113539998115
