chemistry	comparison	n_genes_pooled	spearman	boot_lo	boot_hi
v2	crosstool_CellBender_vs_DecontX_O1	54056	0.433109118329703	0.42641001475470053	0.4399325171080785
v2	crosstool_CellBender_vs_DecontX_O2	54066	0.4449447270591735	0.4387924326937846	0.45125061946371997
v2	crosstool_SoupX_vs_CellBender_O1	54064	0.5068063264192227	0.5005964126939879	0.5128381738610941
v2	crosstool_SoupX_vs_CellBender_O2	54066	0.5419990248583013	0.5361825860792216	0.547856465778917
v2	crosstool_SoupX_vs_DecontX_O1	54032	0.25384457129115784	0.24595492338790395	0.26241596106167314
v2	crosstool_SoupX_vs_DecontX_O2	54066	0.3869906212669388	0.3791803394149923	0.3945936661924246
v2	ordering_DecontX	54035	0.8130413503893326	0.8077548093937655	0.8176084336806679
v2	ordering_SoupX	54060	0.996089355000859	0.9957570341536716	0.9963800294025448
v3	crosstool_CellBender_vs_DecontX_O1	214313	0.504662680572582	0.5011220711771555	0.5080574238065012
v3	crosstool_CellBender_vs_DecontX_O2	214629	0.5396744661401732	0.5362327632439003	0.5429884338543263
v3	crosstool_SoupX_vs_CellBender_O1	214584	0.5524302630063296	0.5489130592696536	0.5560372612099228
v3	crosstool_SoupX_vs_CellBender_O2	214629	0.530870018690717	0.5273262894293801	0.5344576747854733
v3	crosstool_SoupX_vs_DecontX_O1	214952	0.3661577501030893	0.36194255138814024	0.3701914042912865
v3	crosstool_SoupX_vs_DecontX_O2	215308	0.3355145562833751	0.3313245439867602	0.3395402593567169
v3	ordering_DecontX	214960	0.8551370135492714	0.8529334006158635	0.8573256675172473
v3	ordering_SoupX	215290	0.9926352110203684	0.9924065731005376	0.9928632213844277
