dataset	pair	n_shared	ARI	NMI	annotation_agreement
pbmc	nocorr_vs_SoupX_O1	4485	0.9010871043418596	0.9148511624459627	0.9025641025641026
pbmc	nocorr_vs_SoupX_O2	4489	0.8822360315228648	0.9091408947359029	0.9307195366451325
pbmc	nocorr_vs_CellBender	4460	0.8567581184706029	0.8945226544524381	0.862780269058296
pbmc	nocorr_vs_DecontX_O1	4513	0.8546299512736684	0.8895216514295889	0.9038333702636827
pbmc	nocorr_vs_DecontX_O2	4514	0.8496895933048517	0.887556486403843	0.9178112538768276
pbmc	SoupX_O1_vs_SoupX_O2	4485	0.9064107558634191	0.919844217716549	0.9181716833890747
pbmc	SoupX_O1_vs_CellBender	4460	0.8858476635412064	0.9076390209518631	0.8993273542600897
pbmc	SoupX_O1_vs_DecontX_O1	4481	0.8321290974498091	0.8785602574438526	0.9555902700290114
pbmc	SoupX_O1_vs_DecontX_O2	4481	0.869649481542868	0.8929050284028716	0.9205534478910957
pbmc	SoupX_O2_vs_CellBender	4460	0.912692317205312	0.9263156516528127	0.8791479820627802
pbmc	SoupX_O2_vs_DecontX_O1	4484	0.7989010935957224	0.866658432357468	0.9192685102586976
pbmc	SoupX_O2_vs_DecontX_O2	4484	0.8595006506549336	0.8825191769111242	0.9045495093666369
pbmc	CellBender_vs_DecontX_O1	4456	0.7763872414414675	0.8514291624538091	0.9005834829443446
pbmc	CellBender_vs_DecontX_O2	4456	0.8685582095061227	0.8881049523163854	0.8898114901256733
pbmc	DecontX_O1_vs_DecontX_O2	4513	0.8184773969973721	0.8782102126752488	0.9379570130733437
intestine	nocorr_vs_SoupX_O1	21807	0.6626753180013808	0.8273742438507117	0.7687439812904113
intestine	nocorr_vs_SoupX_O2	21807	0.6975253276867603	0.8447372522089163	0.7841518778373917
intestine	nocorr_vs_CellBender	16700	0.5007382888962254	0.7291803511756224	0.5416766467065868
intestine	nocorr_vs_DecontX_O1	20621	0.5663155694009925	0.7677590849277425	0.7099558702293778
intestine	nocorr_vs_DecontX_O2	20593	0.6609432084749375	0.7950274224904273	0.719370659932987
intestine	SoupX_O1_vs_SoupX_O2	21807	0.660473140464635	0.8334397590658018	0.7773650662631265
intestine	SoupX_O1_vs_CellBender	16700	0.4950447769508427	0.7235608136081056	0.5801197604790419
intestine	SoupX_O1_vs_DecontX_O1	20621	0.5948324796914357	0.7929396628528114	0.7429804568158673
intestine	SoupX_O1_vs_DecontX_O2	20593	0.6697188858078053	0.8100954834040911	0.7185936968872918
intestine	SoupX_O2_vs_CellBender	16700	0.5733697208938539	0.7616460409898808	0.5605988023952095
intestine	SoupX_O2_vs_DecontX_O1	20621	0.6119546007923118	0.7833790636799282	0.7288686290674555
intestine	SoupX_O2_vs_DecontX_O2	20593	0.6221340305802626	0.7931769111775623	0.7116495896663915
intestine	CellBender_vs_DecontX_O1	15762	0.46042253588679904	0.699159471200651	0.5496764370003807
intestine	CellBender_vs_DecontX_O2	15734	0.5008281933043391	0.7168037202866893	0.5460149993644338
intestine	DecontX_O1_vs_DecontX_O2	20579	0.6386051115742992	0.8286467119036163	0.8127702998202051
