cluster	rank	gene	score
0	0	Tomm5	47.36440658569336
0	1	Ptma	47.300079345703125
0	2	Eif5a	47.129268646240234
0	3	Nhp2	47.0544319152832
0	4	Ppp1r14b	46.634552001953125
0	5	Ddx39a	46.45618438720703
0	6	Ran	46.27225112915039
0	7	Dynll1	45.82261276245117
0	8	Anp32b	44.78983688354492
0	9	Nme1	44.422569274902344
0	10	Lyar	44.139896392822266
0	11	Snrpe	43.92055130004883
0	12	Tomm20	43.77315139770508
0	13	Selenoh	43.34722137451172
0	14	Nop10	43.25994873046875
0	15	C1qbp	43.10811996459961
0	16	Lsm5	43.028778076171875
0	17	H2az1	43.00323486328125
0	18	Hnrnpa0	42.9871711730957
0	19	Ranbp1	42.75514221191406
0	20	Snhg3	42.5786018371582
0	21	Npm1	42.565494537353516
0	22	Set	42.426025390625
0	23	Hmgb1	42.354488372802734
0	24	Btf3	42.226951599121094
0	25	Snrpg	42.19791030883789
0	26	Sf3b5	41.986846923828125
0	27	Snrpb	41.95158004760742
0	28	Cacybp	41.90981674194336
0	29	Eif4a1	41.88361358642578
0	30	Snrpf	41.76780319213867
0	31	Ppia	41.692630767822266
0	32	Ncl	41.68374252319336
0	33	Krt18	41.652462005615234
0	34	Rbm3	41.52229690551758
0	35	Hmgb3	41.5050163269043
0	36	Ccnb2	41.4686393737793
0	37	Lsm4	41.456966400146484
0	38	Rangrf	41.34703063964844
0	39	Gpx2	41.21630096435547
0	40	Ybx3	41.14439010620117
0	41	Snrpd1	41.02759552001953
0	42	Hnrnpab	40.91135787963867
0	43	Dnajc2	40.87862014770508
0	44	Hnrnpf	40.83894729614258
0	45	Hspd1	40.689762115478516
0	46	Rps2	40.66134262084961
0	47	Cenpa	40.49352264404297
0	48	Hdgf	40.45988464355469
0	49	Gar1	40.44970703125
1	0	Slc12a2	53.61650085449219
1	1	Cd44	49.57768249511719
1	2	Jaml	48.58256912231445
1	3	Sox4	48.3036994934082
1	4	Gas5	48.28204345703125
1	5	Rps9	48.268611907958984
