cluster	rank	gene	score
0	0	Sox4	60.30989456176758
0	1	Rps9	59.877132415771484
0	2	Slc12a2	59.77090835571289
0	3	Gas5	59.51517868041992
0	4	Eef1a1	59.12275695800781
0	5	Rps5	59.01079559326172
0	6	Pabpc1	58.237548828125
0	7	Rpl32	57.78261947631836
0	8	Rplp0	57.68177032470703
0	9	Rps18	57.42251205444336
0	10	Rps3	57.215538024902344
0	11	2410006H16Rik	57.198577880859375
0	12	Rpl10a	57.00218200683594
0	13	Rps20	56.968318939208984
0	14	Rpl3	56.8504753112793
0	15	1110038B12Rik	56.82210159301758
0	16	Rps14	56.260616302490234
0	17	Rpl18a	55.80310821533203
0	18	Hsp90ab1	55.76087951660156
0	19	Rpl12	55.47364044189453
0	20	Rps27a	55.068809509277344
0	21	Rps24	54.9543342590332
0	22	Rpl17	54.881072998046875
0	23	Rpl26	54.88058853149414
0	24	Rpl7	54.84212112426758
0	25	Axin2	54.825462341308594
0	26	Rpl9	54.602115631103516
0	27	Rpl23	54.360755920410156
0	28	Zfas1	54.23964309692383
0	29	Rpl19	54.15436935424805
0	30	Rps3a1	54.013553619384766
0	31	Rps19	53.93391036987305
0	32	Rps13	53.92323303222656
0	33	Rps4x	53.9136962890625
0	34	Rps16	53.67253112792969
0	35	Rpsa	53.5698356628418
0	36	Cd44	53.52839279174805
0	37	Rps23	53.51313781738281
0	38	Rpl22	53.51190185546875
0	39	Rplp1	53.42360305786133
0	40	Rpl34	53.22535705566406
0	41	Ets2	53.18730545043945
0	42	Rpl13	53.154117584228516
0	43	Arid5b	53.14768600463867
0	44	Nedd4	53.127525329589844
0	45	Eef1b2	53.044437408447266
0	46	Jaml	52.75729751586914
0	47	Rpl11	52.546531677246094
0	48	Rpl28	52.35224533081055
0	49	Igfbp4	52.32091522216797
1	0	Hepacam2	22.2712459564209
1	1	Selenom	21.968957901000977
1	2	Tuba1a	21.131574630737305
1	3	Cd200l1	20.406452178955078
1	4	Tm4sf4	20.403491973876953
1	5	Dpysl2	20.013504028320312
1	6	Sct	19.5631046295166
1	7	Ddx5	19.234914779663086
1	8	Malat1	19.223308563232422
1	9	Cd24a	19.03302574157715
1	10	Kctd12	18.768569946289062
1	11	Tmem176b	18.281557083129883
1	12	Myo1b	17.395599365234375
1	13	Msi2	17.16120719909668
1	14	Eid1	16.587173461914062
1	15	Atp2a3	16.515718460083008
1	16	Camk2b	16.211362838745117
1	17	Hopx	16.12720489501953
1	18	Reep5	16.085315704345703
1	19	Camk2n1	16.045822143554688
1	20	Gabarapl2	15.978677749633789
1	21	Hspa4l	15.799881935119629
1	22	Man2a1	15.752863883972168
1	23	S100a13	15.735051155090332
1	24	Mtss1	15.651326179504395
1	25	Ppp3ca	15.561455726623535
1	26	Marcksl1	15.455707550048828
1	27	St18	15.391304969787598
1	28	Prox1	15.353483200073242
1	29	Atxn10	15.315662384033203
1	30	Nisch	15.305525779724121
1	31	Selenok	15.244747161865234
1	32	ENSMUSG00000095041	15.187541961669922
1	33	Myo6	15.119677543640137
1	34	Kmt2a	14.95073127746582
1	35	Maco1	14.825628280639648
1	36	Cmip	14.82244873046875
1	37	Ttll7	14.82097339630127
1	38	Ssbp3	14.557085990905762
1	39	Tmem176a	14.534955978393555
1	40	Ppp1r14c	14.480299949645996
1	41	Cacna1a	14.468172073364258
1	42	Ndrg1	14.354437828063965
1	43	Rabgap1l	14.275321960449219
1	44	Phip	14.13343620300293
1	45	Chn2	13.983856201171875
1	46	Gdi1	13.962553024291992
1	47	Gnai2	13.959992408752441
1	48	St6galnac2	13.833826065063477
1	49	Smim6	13.698349952697754
2	0	Nhp2	64.56026458740234
2	1	Ran	63.57059860229492
2	2	Eif5a	63.42619323730469
2	3	Ptma	63.411048889160156
2	4	Myl7	62.785682678222656
2	5	Tomm5	62.5413703918457
2	6	Ranbp1	61.83699035644531
2	7	Ddx39a	61.79458236694336
2	8	Lyar	61.57741928100586
2	9	Hnrnpab	61.10253143310547
2	10	Nme1	61.086944580078125
2	11	Pclaf	61.010887145996094
2	12	Gpx2	60.47642517089844
2	13	Lsm2	59.96647644042969
2	14	Krt18	59.9532356262207
2	15	Anp32b	59.93927764892578
2	16	Sf3b5	59.916114807128906
2	17	Selenoh	59.44168472290039
2	18	Snrpd1	59.350154876708984
2	19	H2az1	59.1146240234375
2	20	Tagln2	59.10087585449219
2	21	Birc5	59.03675842285156
2	22	Ppp1r14b	58.84212875366211
2	23	Cdca3	58.53072738647461
2	24	Ybx3	58.22017288208008
2	25	Dtymk	57.82784652709961
2	26	Cdca8	57.66652297973633
2	27	Tomm20	57.47231674194336
2	28	Nasp	57.33385467529297
2	29	C1qbp	57.04060363769531
2	30	Nucks1	57.010589599609375
2	31	AI506816	56.945884704589844
2	32	Snrpe	56.84561538696289
2	33	Set	56.535343170166016
2	34	Ncl	56.483943939208984
2	35	Rangap1	56.39093017578125
2	36	S100a11	56.178035736083984
2	37	Lsm5	55.99476623535156
2	38	Cenpa	55.99126052856445
2	39	Snrpb	55.95758819580078
2	40	Hspd1	55.896976470947266
2	41	Tuba1b	55.85853576660156
2	42	Npm1	55.807029724121094
2	43	Nop10	55.80564880371094
2	44	Tomm40	55.65378952026367
2	45	Tubb5	55.455074310302734
2	46	Ptges3	55.443912506103516
2	47	Ccna2	55.4193229675293
2	48	Dnajc2	55.341697692871094
2	49	Cks2	55.33600616455078
3	0	Ctsl	30.155899047851562
3	1	Fxyd3	30.068262100219727
3	2	Gm10076	29.740659713745117
3	3	S100a6	29.47687339782715
3	4	Pla2g2a	29.37213134765625
3	5	Ifitm1	28.896011352539062
3	6	S100a11	28.80857276916504
3	7	Ifitm3	28.1438045501709
3	8	Rpl38	27.806781768798828
3	9	Slc25a4	27.41930389404297
3	10	Clu	26.74172592163086
3	11	Ecscr	26.602357864379883
3	12	Rps29	25.732763290405273
3	13	Tceal9	25.673349380493164
3	14	Cd9	25.57009506225586
3	15	Tmsb10	25.549644470214844
3	16	Cyba	25.361894607543945
3	17	Mmp7	25.263803482055664
3	18	Aspscr1	25.131168365478516
3	19	Ly6e	24.949371337890625
3	20	Prox1	24.915754318237305
3	21	Rpl14-ps1	24.89017677307129
3	22	Mif	24.75395965576172
3	23	Marcksl1	24.582042694091797
3	24	Krt23	24.52831268310547
3	25	Krt7	24.517356872558594
3	26	Ifitm2	24.299280166625977
3	27	Rpl35	24.173765182495117
3	28	Rpl6	23.952882766723633
3	29	Ctse	23.486757278442383
3	30	Fabp5	23.443531036376953
3	31	Metap2	23.139869689941406
3	32	Bex3	22.867961883544922
3	33	Cd24a	22.750282287597656
3	34	Scd2	22.716569900512695
3	35	Nkd1	22.558265686035156
3	36	Avil	22.38231086730957
3	37	Rps28	22.308704376220703
3	38	Rtn4	22.25628089904785
3	39	Mfge8	22.105438232421875
3	40	Reep5	22.10033416748047
3	41	Bex1	21.857866287231445
3	42	S100a16	21.694364547729492
3	43	Anxa5	21.608671188354492
3	44	Tuba1a	21.411945343017578
3	45	1110004F10Rik	21.391204833984375
3	46	Knop1	21.359882354736328
3	47	Aldoa	21.148656845092773
3	48	Rbms1	20.989038467407227
3	49	Rpl41	20.694795608520508
4	0	Slk	22.19330406188965
4	1	Xist	22.097394943237305
4	2	Myh9	21.885360717773438
4	3	Srrm2	21.479061126708984
4	4	Taf1d	20.747413635253906
4	5	Prrc2c	20.702655792236328
4	6	mt-Nd5	20.564453125
4	7	Ankrd11	20.50831413269043
4	8	Smarca4	20.320308685302734
4	9	Hnrnpu	20.28713035583496
4	10	Mybbp1a	20.242467880249023
4	11	mt-Nd2	20.18158531188965
4	12	Baz1b	20.050859451293945
4	13	Ncl	20.007139205932617
4	14	mt-Co1	19.894895553588867
4	15	Rn18s-rs5	19.891714096069336
4	16	AI506816	19.89047622680664
4	17	Vars	19.87013053894043
4	18	Atrx	19.741052627563477
4	19	Eef2	19.660478591918945
4	20	Snrnp70	19.460439682006836
4	21	Chd4	19.38614273071289
4	22	Bclaf1	19.34363555908203
4	23	Arglu1	19.308382034301758
4	24	mt-Nd1	19.233245849609375
4	25	Eif3c	19.17897605895996
4	26	Eif3b	19.157922744750977
4	27	mt-Cytb	18.93699073791504
4	28	Erdr1y	18.933427810668945
4	29	Wnk1	18.919029235839844
4	30	mt-Nd4	18.91559410095215
4	31	Dsp	18.908761978149414
4	32	Scaf11	18.860057830810547
4	33	Ankrd17	18.82522201538086
4	34	Eif4g1	18.786386489868164
4	35	Ddx21	18.56070327758789
4	36	Sfpq	18.500452041625977
4	37	Fus	18.453275680541992
4	38	Rif1	18.354400634765625
4	39	Rnf43	18.336217880249023
4	40	Ddx17	18.279129028320312
4	41	Iqgap1	18.276439666748047
4	42	Prrc2a	18.27256965637207
4	43	Eif3a	18.00296401977539
4	44	Nsd2	17.967042922973633
4	45	Mki67	17.929866790771484
4	46	Cd44	17.897777557373047
4	47	Krt18	17.795351028442383
4	48	Tardbp	17.76256561279297
4	49	Lars2	17.601900100708008
5	0	Tubb5	58.16341781616211
5	1	Top2a	57.660552978515625
5	2	Smc4	56.44169998168945
