cluster	rank	gene	score
0	0	RPS13	28.188199996948242
0	1	RPS3A	27.8585205078125
0	2	BCL11B	27.781015396118164
0	3	RPS20	27.743358612060547
0	4	TCF7	27.18606948852539
0	5	RPL30	27.11526107788086
0	6	RPS6	27.106630325317383
0	7	RPS16	27.090614318847656
0	8	RPS14	27.0625
0	9	RPL31	27.046340942382812
0	10	RPL21	26.994600296020508
0	11	PRKCQ-AS1	26.952308654785156
0	12	RPL9	26.787052154541016
0	13	RPL34	26.686275482177734
0	14	TPT1	26.346988677978516
0	15	RPL23	26.32985496520996
0	16	RPL32	26.313358306884766
0	17	RPL38	26.1495418548584
0	18	RPL5	26.098745346069336
0	19	RPS8	26.01706886291504
0	20	RPS12	25.92925453186035
0	21	RPLP2	25.493379592895508
0	22	RPL35A	25.375194549560547
0	23	RPS15A	25.374492645263672
0	24	RPL7	25.368370056152344
0	25	GAS5	25.151662826538086
0	26	RPS28	25.04714584350586
0	27	RPL11	24.694881439208984
0	28	RPS25	24.602094650268555
0	29	RPS23	24.503522872924805
0	30	RPS27A	24.457778930664062
0	31	RPL13	24.428800582885742
0	32	RPL22	24.413583755493164
0	33	RPL27A	24.300098419189453
0	34	LDHB	24.197643280029297
0	35	RPS27	24.106822967529297
0	36	RPL19	24.084701538085938
0	37	RPL37	23.629135131835938
0	38	RPS4X	23.623620986938477
0	39	RPS29	23.60849952697754
0	40	RPL3	23.522476196289062
0	41	RPL39	23.335641860961914
0	42	RPS10	23.112892150878906
0	43	EEF1B2	22.942777633666992
0	44	RPL24	22.544401168823242
0	45	RPS3	22.50185203552246
0	46	RPL18	22.44752311706543
0	47	CCR7	22.446931838989258
0	48	RPS21	22.441816329956055
0	49	NPM1	22.32427215576172
1	0	RPL32	33.91609573364258
1	1	RPS3A	33.55467224121094
1	2	RPS12	33.375919342041016
1	3	RPS14	33.170101165771484
1	4	RPL34	33.014530181884766
1	5	RPL30	32.6822395324707
1	6	RPL13	32.432838439941406
1	7	RPL19	32.350765228271484
1	8	RPS6	32.23292541503906
1	9	RPL35A	32.21250534057617
1	10	RPS27A	31.948259353637695
1	11	RPL11	31.83599281311035
1	12	RPS15A	31.824098587036133
1	13	RPL21	31.67043685913086
1	14	RPS28	31.43075942993164
1	15	RPS13	31.37320327758789
1	16	RPS23	31.21495819091797
1	17	RPL9	31.14675521850586
1	18	RPL37	31.020580291748047
1	19	RPL10	30.620800018310547
1	20	RPL39	30.281322479248047
1	21	RPS21	30.28043556213379
1	22	RPL3	30.27578353881836
1	23	RPS16	30.219858169555664
1	24	TPT1	30.199907302856445
1	25	RPS3	30.171363830566406
1	26	RPS4X	30.168550491333008
1	27	RPL5	30.086545944213867
1	28	EEF1A1	29.870899200439453
1	29	RPS18	29.71628189086914
1	30	RPL14	29.659870147705078
1	31	RPS15	29.634138107299805
1	32	RPLP2	29.538227081298828
1	33	RPS5	29.536733627319336
1	34	RPL22	29.334056854248047
1	35	RPS10	29.278547286987305
1	36	RPL18	29.247241973876953
1	37	RPS27	29.215885162353516
1	38	RPL29	28.94283676147461
1	39	RPL28	28.744657516479492
1	40	RPS25	28.55833625793457
1	41	RPL10A	28.538368225097656
1	42	RPL36	28.477964401245117
1	43	RPS8	28.295515060424805
1	44	RPS2	28.278898239135742
1	45	RPL41	27.960968017578125
1	46	RPS9	27.906986236572266
1	47	RPL38	27.88372039794922
1	48	RPL37A	27.6282958984375
1	49	RPL26	27.379364013671875
2	0	HBA1	14.37689208984375
2	1	HBB	14.375597953796387
2	2	HBA2	14.374488830566406
2	3	SNCA	14.347036361694336
2	4	SLC25A37	14.25654411315918
2	5	ALAS2	14.150616645812988
2	6	HBD	13.949945449829102
2	7	SLC25A39	13.949760437011719
2	8	AHSP	13.947542190551758
2	9	UBB	13.268946647644043
2	10	SLC4A1	12.895241737365723
2	11	GLRX5	12.758302688598633
2	12	SELENBP1	12.712455749511719
2	13	BNIP3L	12.275064468383789
2	14	DCAF12	12.21248722076416
2	15	HBM	12.106790542602539
2	16	FAM210B	12.016206741333008
2	17	BLVRB	11.927701950073242
2	18	GMPR	11.795431137084961
2	19	TRIM58	11.762802124023438
2	20	CA1	11.693154335021973
2	21	MKRN1	11.447930335998535
2	22	BCL2L1	11.371026039123535
2	23	MPP1	11.360997200012207
2	24	FECH	11.29749584197998
2	25	BPGM	11.247952461242676
2	26	FBXO7	10.944680213928223
2	27	CDC34	10.57989501953125
2	28	YBX3	10.563857078552246
2	29	PITHD1	10.42409896850586
2	30	STRADB	10.371088981628418
2	31	ADIPOR1	10.361706733703613
2	32	GUK1	10.242098808288574
2	33	RBM38	10.062178611755371
2	34	GYPC	9.9561128616333
2	35	BSG	9.93526840209961
2	36	GSPT1	9.810577392578125
2	37	HAGH	9.772032737731934
2	38	FKBP8	9.497923851013184
2	39	EPB42	9.230746269226074
2	40	HEMGN	9.002622604370117
2	41	TENT5C	8.866792678833008
2	42	LGALS3	8.838554382324219
2	43	MXI1	8.781754493713379
2	44	MARCHF8	8.425010681152344
2	45	PDZK1IP1	8.290059089660645
2	46	BAG1	8.268383026123047
2	47	RPIA	8.065170288085938
2	48	MAP2K3	8.046452522277832
2	49	ISCA1	8.041553497314453
3	0	CD79A	35.36736297607422
3	1	MS4A1	34.861473083496094
3	2	CD37	34.50249481201172
3	3	CD74	34.16497039794922
3	4	HLA-DPB1	33.44963073730469
3	5	IGHM	33.231300354003906
3	6	HLA-DQB1	32.99243927001953
3	7	CD79B	32.68302917480469
3	8	HLA-DRA	32.405338287353516
3	9	HLA-DPA1	32.313411712646484
3	10	HLA-DRB1	31.571456909179688
3	11	HLA-DRB6	30.666837692260742
3	12	BANK1	30.616914749145508
3	13	IGHD	30.45280647277832
3	14	HLA-DQA1	29.535783767700195
3	15	TNFRSF13C	29.344480514526367
3	16	RPS11	27.87895965576172
3	17	PAX5	27.57073402404785
3	18	RALGPS2	27.114389419555664
3	19	HLA-DMA	27.027023315429688
3	20	AFF3	26.314796447753906
3	21	LINC00926	26.18150520324707
3	22	CD22	25.98029327392578
3	23	MEF2C	24.85126495361328
3	24	TCL1A	24.52344512939453
3	25	TSC22D3	24.295900344848633
3	26	JUND	24.23062515258789
3	27	HLA-DMB	24.211444854736328
3	28	IGKC	24.05200958251953
3	29	RPL18A	23.70643424987793
3	30	CD52	23.70014762878418
3	31	JUN	23.276121139526367
3	32	BCL11A	22.911834716796875
3	33	CXCR4	22.897890090942383
3	34	BTG1	21.90382194519043
3	35	MT-RNR2	21.53174591064453
3	36	MARCHF1	21.480472564697266
3	37	P2RX5	21.051097869873047
3	38	FAU	20.71901512145996
3	39	FCER2	20.549184799194336
3	40	RPL8	20.411163330078125
3	41	LAPTM5	19.586572647094727
3	42	IRF8	19.511594772338867
3	43	PLPP5	19.37160301208496
3	44	IGLC2	19.13797950744629
3	45	HVCN1	18.884347915649414
3	46	SWAP70	18.820592880249023
3	47	FCMR	18.74420738220215
3	48	STX7	18.628501892089844
3	49	TCF4	18.62441062927246
4	0	GNLY	9.963397979736328
4	1	CTSW	9.310043334960938
4	2	KLRD1	8.725090026855469
4	3	CD7	8.50297737121582
4	4	IL2RB	8.438186645507812
4	5	CD63	8.33488941192627
4	6	SELL	8.31772518157959
4	7	ID2	8.252175331115723
4	8	CMC1	8.214680671691895
4	9	JAK1	8.213730812072754
4	10	H3-3B	8.004538536071777
4	11	MIR142HG	7.996811866760254
4	12	KLRC1	7.913654327392578
4	13	KLRF1	7.896553993225098
4	14	HOPX	7.6586713790893555
4	15	KLRB1	7.502996444702148
4	16	XCL1	7.485136032104492
4	17	XCL2	7.406981945037842
4	18	GZMK	7.383738040924072
4	19	PLAC8	7.080874919891357
4	20	NKG7	7.0348310470581055
4	21	RUNX3	6.9606032371521
4	22	NCAM1	6.757997512817383
4	23	MATK	6.741024017333984
4	24	MAP3K8	6.669773578643799
4	25	NFKBIA	6.657360076904297
4	26	IFITM2	6.425430774688721
