cluster	rank	gene	score
0	0	BCL11B	27.030853271484375
0	1	RPS13	26.528812408447266
0	2	TCF7	26.003232955932617
0	3	RPS20	25.799917221069336
0	4	RPS3A	25.68648910522461
0	5	PRKCQ-AS1	25.589462280273438
0	6	RPS16	25.342737197875977
0	7	RPL31	25.15630531311035
0	8	RPL23	25.131113052368164
0	9	RPS14	25.062646865844727
0	10	RPS6	25.050500869750977
0	11	RPL21	24.932552337646484
0	12	RPL30	24.693952560424805
0	13	RPL9	24.48598289489746
0	14	TPT1	24.443557739257812
0	15	RPL34	24.41724967956543
0	16	RPL7	24.164485931396484
0	17	RPL38	24.140995025634766
0	18	RPS8	24.015439987182617
0	19	RPL5	23.899343490600586
0	20	RPS12	23.891252517700195
0	21	RPL32	23.86185646057129
0	22	RPLP2	23.80945587158203
0	23	GAS5	23.358997344970703
0	24	RPS15A	23.257699966430664
0	25	RPL35A	23.213855743408203
0	26	LDHB	23.068397521972656
0	27	RPS28	22.989503860473633
0	28	RPL27A	22.97066879272461
0	29	RPS25	22.887487411499023
0	30	RPL22	22.37381935119629
0	31	RPS27A	22.336849212646484
0	32	RPS23	22.33291244506836
0	33	CCR7	22.301382064819336
0	34	RPL11	22.0638484954834
0	35	RPL13	22.02813148498535
0	36	RPS27	21.978416442871094
0	37	RPL19	21.966854095458984
0	38	RPL3	21.789363861083984
0	39	RPS4X	21.666860580444336
0	40	RPL37	21.594257354736328
0	41	RPS29	21.368118286132812
0	42	LEF1	21.35413932800293
0	43	EEF1B2	21.15749740600586
0	44	NPM1	21.09613609313965
0	45	RPS10	20.90483283996582
0	46	RPL24	20.76708221435547
0	47	RPS3	20.7584228515625
0	48	RPL39	20.71242904663086
0	49	RPS21	20.47169303894043
1	0	RPL32	33.47172546386719
1	1	RPS3A	33.026737213134766
1	2	RPS12	32.50959777832031
1	3	RPL34	32.38911437988281
1	4	RPS14	32.34247589111328
1	5	RPL30	31.9134521484375
1	6	RPL19	31.7499942779541
1	7	RPL13	31.609495162963867
1	8	RPL35A	31.505643844604492
1	9	RPL11	31.376808166503906
1	10	RPS6	31.312213897705078
1	11	RPL21	31.229312896728516
1	12	RPS15A	31.09658432006836
1	13	RPS27A	31.0035343170166
1	14	RPL9	30.910308837890625
1	15	RPS23	30.660266876220703
1	16	RPS28	30.500314712524414
1	17	RPS13	30.304224014282227
1	18	RPL10	30.030202865600586
1	19	RPL37	29.94134521484375
1	20	RPL39	29.879148483276367
1	21	RPS21	29.776988983154297
1	22	RPS16	29.474580764770508
1	23	RPS4X	29.446266174316406
1	24	RPL5	29.429086685180664
1	25	RPL3	29.250036239624023
1	26	RPS18	29.153919219970703
1	27	TPT1	29.138626098632812
1	28	RPL29	29.07357406616211
1	29	RPS3	29.06671905517578
1	30	RPL14	29.024433135986328
1	31	RPS10	28.957231521606445
1	32	RPS27	28.871633529663086
1	33	RPS15	28.727434158325195
1	34	RPS5	28.656797409057617
1	35	RPLP2	28.320981979370117
1	36	RPL18	28.30080795288086
1	37	EEF1A1	28.284332275390625
1	38	RPL22	28.232196807861328
1	39	RPL36	27.844226837158203
1	40	RPS25	27.65488624572754
1	41	RPS2	27.58831787109375
1	42	RPL28	27.579736709594727
1	43	RPL10A	27.477048873901367
1	44	RPL38	27.413406372070312
1	45	RPS8	27.401161193847656
1	46	RPL41	27.329607009887695
1	47	RPS9	27.249507904052734
1	48	RPL37A	26.85443878173828
1	49	RPS29	26.78247833251953
2	0	CD79A	34.53136444091797
2	1	MS4A1	34.02816390991211
2	2	CD37	33.72890853881836
2	3	CD74	33.48624038696289
2	4	HLA-DPB1	32.696868896484375
2	5	IGHM	32.34676742553711
2	6	HLA-DQB1	32.221038818359375
2	7	CD79B	31.886241912841797
2	8	HLA-DRA	31.87310028076172
2	9	HLA-DPA1	31.636632919311523
2	10	HLA-DRB1	30.903268814086914
2	11	HLA-DRB6	29.765016555786133
2	12	IGHD	29.64614486694336
2	13	BANK1	29.53469467163086
2	14	HLA-DQA1	28.931428909301758
2	15	TNFRSF13C	28.542020797729492
2	16	RPS11	27.077726364135742
2	17	PAX5	26.77978515625
2	18	RALGPS2	26.31995391845703
2	19	HLA-DMA	26.21841812133789
2	20	AFF3	25.711837768554688
2	21	LINC00926	25.490774154663086
2	22	CD22	25.076454162597656
2	23	MEF2C	24.577913284301758
2	24	TCL1A	24.10211944580078
2	25	TSC22D3	23.506624221801758
2	26	JUND	23.4775390625
2	27	HLA-DMB	23.475296020507812
2	28	IGKC	23.306062698364258
2	29	RPL18A	23.175384521484375
2	30	CD52	22.80174446105957
2	31	BCL11A	22.772504806518555
2	32	JUN	22.748735427856445
2	33	CXCR4	22.439023971557617
2	34	BTG1	21.068401336669922
2	35	MARCHF1	20.951635360717773
2	36	MT-RNR2	20.53225326538086
2	37	P2RX5	20.3814754486084
2	38	FCER2	20.017654418945312
2	39	FAU	19.77448081970215
2	40	RPL8	19.50438690185547
2	41	IRF8	19.160354614257812
2	42	LAPTM5	19.01678466796875
2	43	PLPP5	18.623106002807617
2	44	SWAP70	18.393789291381836
2	45	HVCN1	18.344316482543945
2	46	IGLC2	18.08906364440918
2	47	FCMR	18.00695037841797
2	48	STX7	17.873798370361328
2	49	TCF4	17.786060333251953
3	0	CD79A	6.845218658447266
3	1	IGHM	6.78626012802124
3	2	BANK1	6.621475696563721
3	3	MS4A1	6.611359596252441
3	4	CD79B	5.973957538604736
3	5	CD74	5.864101409912109
3	6	HLA-DPB1	5.860939979553223
3	7	HLA-DQB1	5.852878570556641
3	8	IGHD	5.849717140197754
3	9	CD22	5.8267974853515625
3	10	CD37	5.565197944641113
3	11	TNFRSF13C	5.532240867614746
3	12	HLA-DPA1	5.4762067794799805
3	13	PAX5	5.427838325500488
3	14	HLA-DRB6	5.282180309295654
3	15	HLA-DRA	5.2413201332092285
3	16	RALGPS2	5.098586082458496
3	17	HLA-DQA1	5.0641279220581055
3	18	HLA-DRB1	4.942732810974121
3	19	STRBP	4.940678119659424
3	20	ZCCHC7	4.749813079833984
3	21	GNG7	4.577520847320557
3	22	HLA-DMA	4.543773651123047
3	23	ADAM28	4.5239362716674805
3	24	TCF4	4.481653690338135
3	25	IGLC2	4.429333686828613
3	26	PLPP5	4.413763999938965
3	27	PALM2AKAP2	4.356860160827637
3	28	LINC00926	4.355200290679932
3	29	PDLIM1	4.304224014282227
3	30	PKIG	4.2821736335754395
3	31	P2RX5	4.254354000091553
3	32	HLA-DMB	4.2266926765441895
3	33	AFF3	4.134302616119385
3	34	IKZF3	4.12505578994751
3	35	PPP3CA	4.101899147033691
3	36	IGKC	4.054162979125977
3	37	BLK	3.9735493659973145
3	38	LINC01857	3.9135632514953613
3	39	RHBDF2	3.851285219192505
3	40	PLEKHA2	3.845752716064453
3	41	CD52	3.8369011878967285
3	42	PNOC	3.829472064971924
3	43	CD40	3.761345386505127
3	44	TCL1A	3.7405595779418945
3	45	TSPAN13	3.687528371810913
3	46	POU2F2	3.6563894748687744
3	47	HVCN1	3.6432697772979736
3	48	MEF2C	3.6200342178344727
3	49	JUN	3.6010661125183105
4	0	GNLY	9.685688018798828
4	1	CTSW	8.808436393737793
4	2	SELL	8.711180686950684
4	3	CMC1	8.173757553100586
4	4	CD7	8.067631721496582
4	5	CD63	8.067317008972168
4	6	KLRD1	8.034164428710938
4	7	IL2RB	8.027999877929688
4	8	XCL2	7.785867214202881
4	9	ID2	7.765484809875488
4	10	KLRC1	7.703520774841309
4	11	KLRF1	7.647658348083496
4	12	XCL1	7.607963562011719
4	13	GZMK	7.607837677001953
4	14	KLRB1	7.484286308288574
4	15	JAK1	7.445157527923584
4	16	MIR142HG	7.375707149505615
4	17	H3-3B	7.353878021240234
4	18	NFKBIA	7.066011428833008
4	19	HOPX	6.905218601226807
4	20	NCAM1	6.858981132507324
4	21	PLAC8	6.512295246124268
4	22	MATK	6.4429707527160645
4	23	RUNX3	6.4071760177612305
4	24	IFITM2	6.147806644439697
4	25	NKG7	6.098738193511963
4	26	AREG	5.985567092895508
4	27	PTGDR	5.924420356750488
4	28	DUSP2	5.876484394073486
4	29	MAP3K8	5.790740966796875
4	30	RPS24	5.781116008758545
4	31	IRF1	5.64888334274292
4	32	GATA3	5.582326889038086
4	33	TRDC	5.522186756134033
4	34	ZFP36L2	5.508976459503174
4	35	ARAP2	5.443174362182617
4	36	TAGLN2	5.379763126373291
4	37	ITGAX	5.3761773109436035
4	38	IER2	5.352650165557861
4	39	TXK	5.347868919372559
4	40	STK17A	5.269800186157227
4	41	CD2	5.208968162536621
4	42	ATM	5.134422302246094
4	43	TYROBP	5.064846038818359
4	44	MT-ND3	5.024962425231934
4	45	HCST	5.022634983062744
4	46	SEC11A	4.99835205078125
4	47	CD44	4.942930221557617
4	48	CFLAR	4.928713321685791
4	49	MBP	4.799625873565674
5	0	IL7R	26.444990158081055
5	1	LTB	24.869457244873047
5	2	IL32	23.82843780517578
5	3	LDHB	21.537967681884766
5	4	TRAC	21.110605239868164
5	5	RPL36	20.105031967163086
5	6	TPT1	19.14550018310547
5	7	RPL41	18.947813034057617
5	8	CD3E	18.707904815673828
5	9	CD3D	18.652353286743164
5	10	RPS18	18.237445831298828
5	11	RPS29	17.808643341064453
5	12	GSTK1	17.6739501953125
5	13	EEF1A1	17.650615692138672
5	14	RPL28	17.005821228027344
5	15	CD52	16.966285705566406
5	16	RPS2	16.91844940185547
5	17	RCAN3	16.82847785949707
5	18	RPL13A	16.743261337280273
5	19	RPL14	16.703536987304688
5	20	CD3G	16.456253051757812
5	21	HINT1	16.444499969482422
5	22	RPS4X	16.417024612426758
5	23	RPS3	16.14466094970703
5	24	RPSA	15.379682540893555
5	25	RPS6	15.365089416503906
5	26	CD2	15.359102249145508
5	27	RPL13	15.341035842895508
5	28	RPL10	15.324440002441406
5	29	RPL23A	15.290532112121582
5	30	CDC14A	15.180902481079102
5	31	TRADD	15.08249568939209
5	32	RPS25	15.077705383300781
5	33	RPL11	14.943285942077637
5	34	RPS28	14.932952880859375
5	35	ITGB1	14.849430084228516
