cluster	rank	gene	score
0	0	IL32	78.40137481689453
0	1	IL7R	78.39717102050781
0	2	LTB	75.84735870361328
0	3	ITGB1	69.58265686035156
0	4	TRAC	63.9650764465332
0	5	B2M	63.27123260498047
0	6	CD2	61.50065612792969
0	7	LDHB	60.305458068847656
0	8	GPR183	56.62580490112305
0	9	RPL41	56.43366622924805
0	10	AQP3	56.39274597167969
0	11	RPL36	55.63326644897461
0	12	HINT1	54.84654998779297
0	13	TPT1	51.448692321777344
0	14	CD3D	51.44575881958008
0	15	EEF1A1	50.56712341308594
0	16	RPS18	50.48466873168945
0	17	CD52	49.99928665161133
0	18	GSTK1	48.95902633666992
0	19	TRADD	48.86574935913086
0	20	CD3G	48.46052169799805
0	21	FXYD5	47.90779113769531
0	22	ANXA1	47.50956344604492
0	23	RPL14	46.125999450683594
0	24	CALM1	45.42771530151367
0	25	RPL28	45.30088424682617
0	26	RPS29	45.19293212890625
0	27	TRAT1	44.6871337890625
0	28	RPS15A	44.38362121582031
0	29	RPS4X	44.335365295410156
0	30	RPL23A	44.292293548583984
0	31	RPL10	43.94339370727539
0	32	PBXIP1	43.63494110107422
0	33	TTC39C	43.393341064453125
0	34	GIMAP7	43.28953170776367
0	35	SYNE2	42.516719818115234
0	36	RPS7	42.12117004394531
0	37	RPS3	41.92238235473633
0	38	CD3E	41.743648529052734
0	39	RPL35	41.591915130615234
0	40	S100A11	40.85760498046875
0	41	TRBC2	40.74912643432617
0	42	RPS25	40.52661895751953
0	43	RPL39	40.35771942138672
0	44	RPS12	40.33815383911133
0	45	RPSA	39.94005584716797
0	46	INPP4B	39.696937561035156
0	47	RPL6	39.148658752441406
0	48	RPS2	38.958229064941406
0	49	CORO1B	38.79561233520508
1	0	MALAT1	48.02017593383789
1	1	RPS20	47.98492431640625
1	2	LEF1	45.369571685791016
1	3	TCF7	44.65730285644531
1	4	RPL23	44.34095764160156
1	5	RPL27A	42.798187255859375
1	6	RPS16	41.61470031738281
1	7	RPL13A	41.564842224121094
1	8	CCR7	41.285682678222656
1	9	RPL21	41.258663177490234
1	10	RPL31	39.843414306640625
1	11	IL6ST	38.893707275390625
1	12	RPL9	38.17783737182617
1	13	FOXP1	38.116127014160156
1	14	ETS1	37.30082702636719
1	15	RCAN3	37.10264587402344
1	16	BCL11B	37.0035514831543
1	17	ATM	36.87042999267578
1	18	LINC00861	36.35033416748047
1	19	FYB1	35.442317962646484
1	20	CAMK4	35.35892868041992
1	21	PIK3IP1	35.356956481933594
1	22	RPL7	35.01258850097656
1	23	RPLP2	34.39634704589844
1	24	OXNAD1	34.29050064086914
1	25	RPS6	33.37336349487305
1	26	TPT1	32.33921432495117
1	27	RPS29	32.24775314331055
1	28	CYLD	31.125709533691406
1	29	SATB1	31.11265754699707
1	30	RPS25	31.023208618164062
1	31	LDHB	30.950265884399414
1	32	TRABD2A	30.904327392578125
1	33	RPL38	30.583520889282227
1	34	RPS11	30.291677474975586
1	35	SLFN5	29.19808578491211
1	36	AAK1	28.952482223510742
1	37	DGKA	28.531373977661133
1	38	EPB41	28.47029685974121
1	39	IKZF1	28.387035369873047
1	40	MAL	28.030479431152344
1	41	SELL	27.954986572265625
1	42	RPL37A	27.94733238220215
1	43	BTG1	27.708539962768555
1	44	MAML2	27.580352783203125
1	45	IL7R	27.489376068115234
1	46	SARAF	27.481813430786133
1	47	LEPROTL1	27.346193313598633
1	48	RIPOR2	27.279029846191406
1	49	LBH	27.220911026000977
2	0	CCL5	81.64775848388672
2	1	NKG7	60.773643493652344
2	2	IL32	60.21287536621094
2	3	B2M	59.486045837402344
2	4	CST7	59.46700668334961
2	5	GZMA	55.45359420776367
2	6	LYAR	55.136871337890625
2	7	HCST	53.62120819091797
2	8	CTSW	51.37726593017578
2	9	GZMM	51.20672607421875
2	10	CD8B	49.758262634277344
2	11	CD8A	49.421024322509766
2	12	GZMK	45.60664749145508
2	13	HLA-C	44.78277587890625
2	14	PPP2R5C	44.057777404785156
2	15	CD3D	44.01848602294922
2	16	HLA-B	43.601261138916016
2	17	HLA-A	43.51716232299805
2	18	CD99	42.96260452270508
2	19	DUSP2	42.16977310180664
2	20	TRGC2	41.63289260864258
2	21	CD3G	41.46919631958008
2	22	PTPRC	41.21367263793945
2	23	CD2	41.076839447021484
2	24	SYNE2	40.20954513549805
2	25	KLRD1	39.01877975463867
2	26	PLAAT4	38.868221282958984
2	27	CALM1	38.299530029296875
2	28	SAMD3	38.145233154296875
2	29	KLRG1	37.51729965209961
2	30	CCL4	37.4908332824707
2	31	CD81	36.30891799926758
2	32	GZMH	35.259986877441406
2	33	MYL12A	34.65927505493164
2	34	C12orf75	34.59318161010742
2	35	CD3E	34.31428146362305
2	36	MALAT1	33.263553619384766
2	37	CMC1	32.92729568481445
2	38	PYHIN1	31.129350662231445
2	39	SEPTIN7	30.95275115966797
2	40	CLEC2B	30.8927001953125
2	41	ARL4C	30.757951736450195
2	42	PRF1	30.286561965942383
2	43	TRAC	29.91545867919922
2	44	MT-CYB	29.632766723632812
2	45	MT-ATP6	29.05665397644043
2	46	PFN1	28.667327880859375
2	47	HLA-E	28.490808486938477
2	48	MBP	28.43914794921875
2	49	CLEC2D	27.763166427612305
3	0	KLRB1	70.51146697998047
3	1	GZMK	68.9498519897461
3	2	CCL5	62.00885772705078
3	3	GZMA	60.317405700683594
3	4	NKG7	59.92412185668945
3	5	KLRG1	56.13500213623047
3	6	IL32	54.585880279541016
3	7	CST7	54.01313781738281
3	8	LYAR	53.6511116027832
3	9	IL7R	52.36762619018555
3	10	CTSW	49.272727966308594
3	11	NCR3	49.11948776245117
3	12	HCST	47.13185501098633
3	13	ARL4C	42.43735122680664
3	14	DUSP2	41.93220520019531
3	15	TRGC2	41.701351165771484
3	16	PRF1	41.48571014404297
3	17	PHACTR2	41.32842254638672
3	18	B2M	40.81957244873047
3	19	SYNE2	40.48933792114258
3	20	HOPX	40.09675598144531
3	21	MYBL1	39.46408462524414
3	22	RORA	39.42911148071289
3	23	CALM1	39.29473114013672
3	24	S100A4	37.62715148925781
3	25	GZMM	37.130435943603516
3	26	MT-CYB	36.68031692504883
3	27	LINC01871	36.423927307128906
3	28	HLA-C	35.316322326660156
3	29	HLA-B	34.80264663696289
3	30	GPR65	34.32380294799805
3	31	MATK	33.89106750488281
3	32	PPP2R5C	33.12437438964844
3	33	SLC4A10	32.995723724365234
3	34	CD81	32.456966400146484
3	35	ALOX5AP	31.34813690185547
3	36	CEBPD	31.208608627319336
3	37	SPOCK2	29.82305908203125
3	38	ANXA1	29.71977996826172
3	39	GBP5	29.37525177001953
3	40	MT-CO2	29.308835983276367
3	41	FKBP11	29.14940071105957
3	42	ZFP36L2	28.550949096679688
3	43	TRGC1	28.155555725097656
3	44	MYL12A	28.148448944091797
3	45	SEPTIN7	27.67203712463379
3	46	CXCR6	27.389244079589844
3	47	HSP90AA1	27.38896369934082
3	48	MT-ATP6	26.975383758544922
3	49	SAMD3	26.96683692932129
4	0	RPL30	110.3145751953125
4	1	RPS13	106.80384063720703
4	2	RPL32	105.3931884765625
4	3	RPL11	102.38090515136719
4	4	RPS3A	101.33309936523438
4	5	RPS27A	101.3128662109375
4	6	RPL34	99.94922637939453
4	7	RPL35A	98.17967987060547
4	8	RPS14	98.10848236083984
4	9	RPS15A	97.08763122558594
4	10	RPS12	96.11958312988281
4	11	RPS23	96.06275177001953
4	12	RPL22	92.00524139404297
4	13	RPS25	91.87567901611328
4	14	RPL21	88.98243713378906
4	15	RPS8	87.99644470214844
4	16	RPL19	87.75941467285156
4	17	RPL39	87.52259063720703
4	18	RPS27	86.77982330322266
4	19	RPS28	86.19197082519531
4	20	RPL9	84.72081756591797
4	21	RPL37	84.0237808227539
4	22	RPL5	83.1693115234375
4	23	RPL24	81.45938110351562
4	24	RPL18	79.68739318847656
4	25	EEF1B2	78.22594451904297
4	26	RPL10	78.1511459350586
4	27	CCR7	77.49129486083984
4	28	RPL14	77.46231079101562
4	29	RPS3	76.34381103515625
4	30	TPT1	76.28852844238281
4	31	RPL13	75.15350341796875
4	32	SARAF	74.14927673339844
4	33	RPS6	74.12161254882812
4	34	RPLP2	73.97714233398438
4	35	RPS5	73.77454376220703
4	36	RPL29	73.31722259521484
4	37	RPS4X	72.24730682373047
4	38	LDHB	71.8101577758789
4	39	RPS21	70.18792724609375
4	40	RPS18	69.75541687011719
4	41	RPS15	69.67155456542969
4	42	RPS29	68.5901870727539
4	43	RPS16	68.13446807861328
4	44	RPL38	67.86675262451172
4	45	LEF1	67.60213470458984
4	46	RPL36	67.0182113647461
4	47	EEF1A1	66.44546508789062
4	48	C12orf57	64.05220031738281
4	49	NACA	64.01953887939453
5	0	TMSB4X	25.273794174194336
5	1	PFN1	23.79766082763672
5	2	CD52	23.60494041442871
5	3	CD3D	23.57418441772461
5	4	IL32	23.36260223388672
5	5	ARHGDIB	23.094768524169922
5	6	ACTG1	21.992477416992188
5	7	TMSB10	21.18213653564453
5	8	HLA-A	20.926027297973633
5	9	GMFG	20.814998626708984
5	10	SLFN5	20.783695220947266
5	11	TRAC	20.68828773498535
5	12	CD2	20.060575485229492
5	13	SUB1	19.760330200195312
5	14	ITGB1	19.753400802612305
5	15	ISG20	19.629194259643555
5	16	RAC2	19.520078659057617
5	17	B2M	19.40336036682129
5	18	OPTN	19.224214553833008
5	19	CORO1A	18.99808692932129
5	20	S1PR4	18.529470443725586
5	21	CYTOR	18.477249145507812
5	22	TLE5	18.45022201538086
5	23	CD3G	18.420093536376953
5	24	MYL6	18.255096435546875
5	25	CD99	18.140125274658203
5	26	ACTB	17.989883422851562
5	27	ARPC2	17.802568435668945
5	28	S100A10	17.661203384399414
5	29	DYNLL1	17.566679000854492
5	30	GAPDH	17.319007873535156
5	31	PSMB8	17.285245895385742
5	32	PTPRC	17.27740478515625
5	33	PBXIP1	17.2373104095459
5	34	CD27	17.039697647094727
5	35	GBP2	16.975440979003906
5	36	UCP2	16.739229202270508
5	37	SEPTIN6	16.5804500579834
5	38	CD28	16.477495193481445
5	39	LAT	16.419681549072266
5	40	EZR	16.313615798950195
5	41	PPP1CA	16.10525894165039
5	42	PSMB9	16.10470962524414
5	43	SKAP1	16.065317153930664
5	44	LIMS1	15.895045280456543
5	45	LCK	15.87110710144043
5	46	TRBC2	15.832600593566895
5	47	ETS1	15.735745429992676
5	48	SH3BGRL3	15.70852279663086
5	49	CALM1	15.670515060424805
6	0	S100A9	125.62801361083984
6	1	S100A8	125.52994537353516
6	2	MNDA	124.89324188232422
6	3	LYZ	124.8165283203125
6	4	VCAN	123.63771057128906
6	5	FCN1	123.62969970703125
6	6	CTSS	122.22457885742188
6	7	S100A6	121.92386627197266
6	8	TYROBP	120.95487976074219
6	9	CD14	120.79497528076172
6	10	TSPO	120.4316635131836
6	11	CSTA	120.18063354492188
6	12	FTL	119.6579360961914
6	13	MS4A6A	119.59662628173828
6	14	PSAP	119.03807067871094
6	15	FGL2	118.85002136230469
6	16	CST3	118.83711242675781
6	17	AIF1	118.73421478271484
6	18	CYBB	118.05084228515625
6	19	LST1	118.04883575439453
6	20	S100A11	117.79322814941406
6	21	FTH1	117.60755157470703
6	22	S100A12	117.1475830078125
6	23	BRI3	116.76039123535156
6	24	TKT	116.3387680053711
6	25	TYMP	116.30690002441406
6	26	AP1S2	115.63957214355469
6	27	GRN	114.77095031738281
6	28	CEBPD	114.29043579101562
6	29	NCF2	113.81327819824219
6	30	LGALS1	113.48799896240234
6	31	APLP2	113.23089599609375
6	32	SERPINA1	112.99101257324219
6	33	OAZ1	112.95270538330078
6	34	S100A4	112.73564910888672
6	35	ENSG00000257764	112.40039825439453
6	36	CFD	111.44557189941406
6	37	COTL1	110.92633819580078
6	38	MPEG1	110.902099609375
6	39	GSTP1	109.71044921875
6	40	CD36	108.9998550415039
6	41	CD68	108.62028503417969
6	42	LGALS3	108.55650329589844
6	43	SPI1	108.24576568603516
6	44	FCER1G	108.16065979003906
6	45	IGSF6	108.12345886230469
6	46	SAT1	107.98257446289062
6	47	CSF3R	107.72088623046875
6	48	TALDO1	107.44475555419922
6	49	FCGRT	106.6514892578125
7	0	HLA-DPB1	30.049503326416016
7	1	HLA-DRA	29.99681282043457
7	2	HLA-DPA1	29.96435546875
7	3	CST3	29.907997131347656
7	4	HLA-DQA1	29.51207733154297
7	5	HLA-DQB1	29.353532791137695
7	6	HLA-DRB1	29.228748321533203
7	7	CD74	29.158618927001953
7	8	HLA-DMA	28.194467544555664
7	9	CPVL	27.473217010498047
7	10	CTSZ	26.695804595947266
7	11	SAMHD1	26.50117301940918
7	12	FCER1A	26.459962844848633
7	13	HLA-DRB5	26.26079559326172
7	14	VIM	26.032230377197266
7	15	ALDH2	25.92191505432129
7	16	GSTP1	25.676103591918945
7	17	HLA-DMB	25.551488876342773
7	18	PAK1	25.551090240478516
7	19	LGALS1	25.384618759155273
7	20	ACTB	25.306922912597656
7	21	ANXA2	25.17836570739746
7	22	CCDC88A	25.02292823791504
7	23	COTL1	24.550426483154297
7	24	CLEC10A	24.539165496826172
7	25	CTSH	24.4451904296875
7	26	S100A10	24.440052032470703
7	27	MACROH2A1	24.16411590576172
7	28	GSN	24.014995574951172
7	29	LGALS2	23.896183013916016
7	30	FGL2	23.850553512573242
7	31	CIITA	23.661579132080078
7	32	FCGRT	23.602245330810547
7	33	CD1C	23.51062774658203
7	34	ANXA5	23.491960525512695
7	35	AP2S1	23.363115310668945
7	36	SPI1	23.35247802734375
7	37	JAML	23.333709716796875
7	38	GRN	23.3336238861084
7	39	RAB32	23.2370662689209
7	40	GAPDH	23.173967361450195
7	41	IGSF6	23.03099250793457
7	42	ENHO	23.01385498046875
7	43	LYZ	22.928434371948242
7	44	TMSB10	22.843416213989258
7	45	BASP1	22.79985237121582
7	46	SHTN1	22.613445281982422
7	47	C1orf162	22.581298828125
7	48	RAC1	22.465789794921875
7	49	CFP	22.422780990600586
8	0	GNLY	30.756607055664062
8	1	CTSW	30.585416793823242
8	2	XCL2	29.925975799560547
8	3	KLRD1	29.80217742919922
8	4	CMC1	28.300392150878906
8	5	IFITM2	28.036725997924805
8	6	KLRF1	27.533864974975586
8	7	HOPX	26.97904396057129
8	8	SELL	26.519695281982422
8	9	XCL1	26.47890281677246
8	10	TRDC	26.45511817932129
8	11	CD7	26.393774032592773
8	12	GZMK	26.370630264282227
8	13	NKG7	26.347780227661133
8	14	KLRC1	26.298891067504883
8	15	JAK1	24.319320678710938
8	16	CD63	24.098194122314453
8	17	ID2	24.044816970825195
8	18	IL2RB	23.864025115966797
8	19	MATK	23.099454879760742
8	20	SRGN	22.857133865356445
8	21	CD2	21.95343017578125
8	22	HCST	21.766063690185547
8	23	PLAC8	21.571317672729492
8	24	STK17A	21.218902587890625
8	25	SAMD3	21.011747360229492
8	26	SPTSSB	20.60875701904297
8	27	IL18R1	20.304889678955078
8	28	FCER1G	20.17866325378418
8	29	CST7	20.00292205810547
8	30	KLRB1	19.497983932495117
8	31	TYROBP	19.4669189453125
8	32	NCAM1	19.372716903686523
8	33	MBP	19.32727813720703
8	34	H3-3B	18.348770141601562
8	35	CLIC1	18.272357940673828
8	36	IFITM3	18.245454788208008
8	37	PRF1	18.190372467041016
8	38	PTGDR	17.99776840209961
8	39	CD300A	17.780109405517578
8	40	SEPTIN7	17.293251037597656
8	41	HLA-A	16.938127517700195
8	42	RAP1B	16.937030792236328
8	43	BST2	16.784448623657227
8	44	TNFRSF18	16.504236221313477
8	45	ARL4C	16.29227638244629
8	46	ITGAX	16.155637741088867
8	47	GZMA	15.865522384643555
8	48	CXXC5	15.724787712097168
8	49	TXK	15.504167556762695
9	0	NKG7	86.64253997802734
9	1	PRF1	84.50010681152344
9	2	CST7	84.38607025146484
9	3	KLRD1	83.5409927368164
9	4	GNLY	83.34188079833984
9	5	GZMB	82.89320373535156
9	6	GZMA	82.803466796875
9	7	KLRF1	80.87884521484375
9	8	CD247	79.6795425415039
9	9	CTSW	78.83859252929688
9	10	HOPX	78.696044921875
9	11	FGFBP2	77.33822631835938
9	12	CLIC3	76.27531433105469
9	13	EFHD2	75.77288818359375
9	14	FCGR3A	74.56024169921875
9	15	SPON2	73.94244384765625
9	16	IFITM2	71.27742767333984
9	17	CD7	70.78410339355469
9	18	CCL4	70.54302215576172
9	19	GZMM	70.3963623046875
9	20	JAK1	70.17613983154297
9	21	B2M	68.66387939453125
9	22	PLEK	68.56015014648438
9	23	ABHD17A	68.43452453613281
9	24	HCST	67.31585693359375
9	25	ARL4C	66.31266784667969
9	26	RAP1B	65.53327941894531
9	27	FCER1G	65.4990005493164
9	28	PFN1	64.29129028320312
9	29	KLRB1	64.18462371826172
9	30	SRGN	63.7934684753418
9	31	PLAC8	63.18863296508789
9	32	CYBA	62.37351608276367
9	33	TRDC	62.278987884521484
9	34	HLA-C	61.334049224853516
9	35	CALM1	60.16896438598633
9	36	CD63	59.95185852050781
9	37	SAMD3	59.761619567871094
9	38	MATK	59.21529769897461
9	39	ITGB2	58.98014831542969
9	40	HLA-B	58.67457962036133
9	41	MYL12A	58.63496017456055
9	42	CLIC1	57.50605773925781
9	43	UBB	57.491024017333984
9	44	IL2RB	57.43689727783203
9	45	APMAP	57.28257369995117
9	46	SEPTIN7	57.22581100463867
9	47	CX3CR1	56.89743423461914
9	48	TYROBP	56.62558364868164
9	49	ID2	55.732208251953125
10	0	IGKC	80.7276382446289
10	1	CD79A	77.56369018554688
10	2	MS4A1	76.76982879638672
10	3	CD37	75.51034545898438
10	4	CD74	75.2364730834961
10	5	HLA-DRA	73.93073272705078
10	6	CD79B	73.31414794921875
10	7	HLA-DPB1	72.17042541503906
10	8	BANK1	71.05178833007812
10	9	HLA-DPA1	70.75862121582031
10	10	HLA-DQA1	70.57205963134766
10	11	RALGPS2	68.53779602050781
10	12	IGHM	68.0421142578125
10	13	HLA-DRB1	67.32029724121094
10	14	HLA-DQB1	64.96551513671875
10	15	LINC00926	60.1378173828125
10	16	IGHD	58.10173797607422
10	17	TNFRSF13C	56.283775329589844
10	18	MEF2C	54.974178314208984
10	19	HLA-DRB5	54.665260314941406
10	20	VPREB3	53.16143035888672
10	21	SWAP70	53.093563079833984
10	22	HLA-DMA	52.85764694213867
10	23	SNX2	50.721038818359375
10	24	HVCN1	50.5618896484375
10	25	CD52	49.08232498168945
10	26	STX7	48.86368942260742
10	27	BCL11A	48.657508850097656
10	28	HLA-DMB	47.62382507324219
10	29	RPL18A	46.710994720458984
10	30	RPS11	45.78437423706055
10	31	TCL1A	45.27586364746094
10	32	NCF1	43.44481658935547
10	33	AFF3	43.24951171875
10	34	CD40	40.32908248901367
10	35	PLPP5	40.23859786987305
10	36	FCER2	40.18949508666992
10	37	MARCHF1	40.174625396728516
10	38	FCRL1	40.16794967651367
10	39	BIRC3	40.144996643066406
10	40	NIBAN3	38.64166259765625
10	41	BLK	38.63953399658203
10	42	SPIB	38.56351852416992
10	43	RPL8	38.524723052978516
10	44	LINC02397	38.23038864135742
10	45	CD22	38.0281867980957
10	46	GNG7	37.12593078613281
