cluster	rank	gene	score
0	0	IL32	89.65066528320312
0	1	IL7R	83.40864562988281
0	2	LTB	78.47929382324219
0	3	ITGB1	73.7570571899414
0	4	TRAC	72.24796295166016
0	5	CD2	69.96009063720703
0	6	B2M	67.47467041015625
0	7	LDHB	66.21995544433594
0	8	CD3D	60.803611755371094
0	9	GPR183	60.00536346435547
0	10	AQP3	58.48330307006836
0	11	HINT1	57.879878997802734
0	12	RPL36	57.0984992980957
0	13	RPL41	56.774200439453125
0	14	CD3G	56.457515716552734
0	15	CD52	56.14601135253906
0	16	GSTK1	52.970298767089844
0	17	RPS18	51.61504364013672
0	18	TRADD	51.22806930541992
0	19	TPT1	49.77437973022461
0	20	CALM1	49.74565887451172
0	21	CD3E	48.355411529541016
0	22	GIMAP7	47.99513244628906
0	23	FXYD5	47.86873245239258
0	24	RPS29	47.81314468383789
0	25	SYNE2	47.74844741821289
0	26	RPL14	47.5548210144043
0	27	PBXIP1	47.21812057495117
0	28	RPL28	47.1926383972168
0	29	TRBC2	47.104000091552734
0	30	RPS15A	47.084228515625
0	31	EEF1A1	46.747493743896484
0	32	TTC39C	46.19644546508789
0	33	ANXA1	46.17317581176758
0	34	RPL23A	46.049808502197266
0	35	TRAT1	44.85698699951172
0	36	RPS4X	44.68283462524414
0	37	RPS3	43.70426940917969
0	38	OPTN	43.58189010620117
0	39	RPS12	42.36359405517578
0	40	S100A10	42.091556549072266
0	41	RPS7	41.904544830322266
0	42	RPS25	41.86503219604492
0	43	RPL35	41.660213470458984
0	44	RPL36AL	41.615257263183594
0	45	S100A11	41.326725006103516
0	46	ETS1	40.61216735839844
0	47	TLE5	40.547996520996094
0	48	CORO1B	40.362979888916016
0	49	SPOCK2	40.27275848388672
1	0	CCL5	77.30048370361328
1	1	CST7	69.29727935791016
1	2	NKG7	69.04224395751953
1	3	GZMA	66.12350463867188
1	4	B2M	61.80213928222656
1	5	IL32	59.79315948486328
1	6	HCST	55.65878677368164
1	7	GZMM	55.15107345581055
1	8	CTSW	50.70106506347656
1	9	CCL4	49.68157196044922
1	10	PTPRC	49.30116653442383
1	11	LYAR	48.746726989746094
1	12	PPP2R5C	48.55995559692383
1	13	HLA-C	47.804134368896484
1	14	HLA-A	47.649261474609375
1	15	CD3D	47.3145751953125
1	16	CD99	47.25182342529297
1	17	HLA-B	46.682334899902344
1	18	GZMH	46.612003326416016
1	19	KLRG1	44.690120697021484
1	20	CD8A	43.95936965942383
1	21	SAMD3	43.810699462890625
1	22	GZMK	43.14630126953125
1	23	SYNE2	43.0885009765625
1	24	DUSP2	42.759525299072266
1	25	CD3G	42.48434066772461
1	26	KLRD1	42.35303497314453
1	27	TRGC2	42.249568939208984
1	28	CALM1	41.762264251708984
1	29	CD2	41.339725494384766
1	30	CD8B	40.90420913696289
1	31	PLAAT4	40.78437042236328
1	32	CD81	40.32725143432617
1	33	C12orf75	40.10235595703125
1	34	PLEK	39.802860260009766
1	35	CMC1	39.153377532958984
1	36	PRF1	37.66067123413086
1	37	PFN1	36.76290512084961
1	38	PYHIN1	36.48124313354492
1	39	SH3BGRL3	35.55011749267578
1	40	MALAT1	35.16289138793945
1	41	CLEC2B	35.13264465332031
1	42	MYL12A	35.09742736816406
1	43	ARL4C	34.82145309448242
1	44	APOBEC3G	34.648643493652344
1	45	TMSB4X	34.20713424682617
1	46	SEPTIN7	33.68162155151367
1	47	CD3E	33.37162780761719
1	48	MYL12B	32.86492919921875
1	49	FGFBP2	32.32081985473633
2	0	RPL21	104.58305358886719
2	1	RPL30	103.4428939819336
2	2	RPS13	102.14961242675781
2	3	RPS3A	96.59922790527344
2	4	RPS14	96.37368774414062
2	5	RPL32	96.12836456298828
2	6	RPL9	95.41922760009766
2	7	RPS25	95.09738159179688
2	8	RPL34	94.7657699584961
2	9	RPS27A	92.92333984375
2	10	RPL11	92.21971893310547
2	11	RPL35A	91.38846588134766
2	12	RPS12	89.26432037353516
2	13	RPS15A	89.01451110839844
2	14	RPS23	88.49948120117188
2	15	RPL22	88.39910888671875
2	16	RPS8	87.0728759765625
2	17	RPS27	86.98159790039062
2	18	RPS16	86.82361602783203
2	19	CCR7	86.66014099121094
2	20	RPLP2	85.11517333984375
2	21	LEF1	83.73748779296875
2	22	RPL37	82.82139587402344
2	23	TPT1	82.79451751708984
2	24	RPS6	82.72134399414062
2	25	RPS29	81.77611541748047
2	26	RPL24	80.68875885009766
2	27	RPL23	79.46662902832031
2	28	RPL38	78.45600891113281
2	29	TCF7	78.10028839111328
2	30	RPS20	77.89262390136719
2	31	RPS28	77.24272155761719
2	32	RPL5	76.59878540039062
2	33	RPL13	76.02750396728516
2	34	RPL39	75.83966827392578
2	35	EEF1B2	74.66770935058594
2	36	LDHB	74.50293731689453
2	37	SARAF	74.47529602050781
2	38	RPL31	74.25101470947266
2	39	RPL19	74.04776000976562
2	40	RPS18	71.2053451538086
2	41	PIK3IP1	70.53485107421875
2	42	RPL14	69.39962005615234
2	43	RPL18	69.26537322998047
2	44	RPL7	68.24788665771484
2	45	MALAT1	68.19783020019531
2	46	TOMM7	67.38190460205078
2	47	RPS5	66.19011688232422
2	48	C12orf57	65.99568939208984
2	49	RPS3	65.98043823242188
3	0	CD8B	94.52857971191406
3	1	CD8A	68.29315185546875
3	2	RPS12	68.26122283935547
3	3	LINC02446	67.98258209228516
3	4	RPL32	63.2972526550293
3	5	RPS6	63.079166412353516
3	6	RPS14	62.80031967163086
3	7	RPS13	62.780155181884766
3	8	RPL21	60.4580078125
3	9	RPS3A	59.648929595947266
3	10	RPS8	58.83769607543945
3	11	RPL13	58.37095260620117
3	12	CCR7	57.74886703491211
3	13	RPS23	57.19027328491211
3	14	RPS5	57.00890350341797
3	15	RPS28	56.98286819458008
3	16	EEF1B2	56.31696701049805
3	17	RPL34	56.2544059753418
3	18	RPLP2	55.50257873535156
3	19	RPS25	54.828369140625
3	20	RPL9	54.71580123901367
3	21	RPL19	54.19074630737305
3	22	RPL14	53.97423553466797
3	23	RPS18	53.65585708618164
3	24	RPS16	53.64250564575195
3	25	RPL10A	53.49149703979492
3	26	RPL28	53.47042465209961
3	27	RPL35A	52.89695739746094
3	28	RPL12	52.36077117919922
3	29	RPL22	52.11476135253906
3	30	RGS10	52.0378532409668
3	31	LEF1	51.56538009643555
3	32	RPL5	51.22891616821289
3	33	RPL18	51.09188461303711
3	34	RPS15A	50.73323440551758
3	35	RPL30	50.327186584472656
3	36	RPS27A	50.13700866699219
3	37	RPS15	50.10388946533203
3	38	RPS4X	48.4243049621582
3	39	NPM1	48.22606658935547
3	40	RPS21	48.215057373046875
3	41	RPS3	47.77666473388672
3	42	NUCB2	47.728126525878906
3	43	RPL37	47.21168899536133
3	44	RPL10	46.669281005859375
3	45	RPL11	46.0941276550293
3	46	RPS2	45.53782653808594
3	47	OXNAD1	45.11723327636719
3	48	SARAF	44.17937088012695
3	49	PIK3IP1	44.15757369995117
4	0	RPL32	57.23174285888672
4	1	RPL30	56.812007904052734
4	2	RPL11	56.628047943115234
4	3	RPL19	54.67522048950195
4	4	RPS13	54.215660095214844
4	5	RPS12	54.03520202636719
4	6	RPS15A	53.43069076538086
4	7	RPS27A	52.91730880737305
4	8	RPL35A	50.98150634765625
4	9	RPS23	50.30002212524414
4	10	RPL10	49.758453369140625
4	11	RPL29	49.277626037597656
4	12	RPL39	48.833351135253906
4	13	RPS14	48.747825622558594
4	14	RPS3A	48.663700103759766
4	15	RPL34	48.51354217529297
4	16	RPL18	48.281795501708984
4	17	RPS28	47.59699630737305
4	18	EEF1A1	47.151458740234375
4	19	RPS3	45.55792999267578
4	20	RPL22	44.996517181396484
4	21	RPL14	44.951663970947266
4	22	RPS4X	44.60820388793945
4	23	RPL5	44.43748092651367
4	24	RPL12	43.40665817260742
4	25	RPL41	43.24972152709961
4	26	RPS7	42.768341064453125
4	27	RPS8	42.74349594116211
4	28	NACA	40.81768798828125
4	29	FAU	40.78853988647461
4	30	RPS15	40.52863311767578
4	31	RPL28	40.386505126953125
4	32	RPS25	40.36481857299805
4	33	RPS5	40.28759765625
4	34	EEF1B2	40.063873291015625
4	35	RPL7A	39.98917770385742
4	36	RPL18A	39.836055755615234
4	37	LDHB	39.665550231933594
4	38	RPL24	39.35640335083008
4	39	RPL37	37.26544952392578
4	40	RPL8	36.7495002746582
4	41	RPS21	36.611637115478516
4	42	RPS27	36.101402282714844
4	43	RPL13	34.92717361450195
4	44	SARAF	34.90699768066406
4	45	RPL36	34.488651275634766
4	46	RPL26	33.90650939941406
4	47	RPS18	33.53166198730469
4	48	RPL6	32.98250961303711
4	49	RACK1	32.562870025634766
5	0	KLRB1	76.69766235351562
5	1	GZMK	74.97240447998047
5	2	CCL5	66.79663848876953
5	3	GZMA	64.58422088623047
5	4	NKG7	64.48561096191406
5	5	KLRG1	60.16517639160156
5	6	IL32	58.76647186279297
5	7	IL7R	58.075225830078125
5	8	CST7	57.45449447631836
5	9	LYAR	57.447574615478516
5	10	CTSW	53.08010482788086
5	11	NCR3	52.53799819946289
5	12	HCST	50.656822204589844
5	13	ARL4C	45.781620025634766
5	14	DUSP2	44.89619445800781
5	15	PHACTR2	44.87956619262695
5	16	TRGC2	44.71782302856445
5	17	SYNE2	43.868064880371094
5	18	PRF1	43.565731048583984
5	19	RORA	42.841819763183594
5	20	CALM1	42.59825134277344
5	21	MYBL1	42.276248931884766
5	22	HOPX	41.73555374145508
5	23	B2M	41.7158088684082
5	24	MT-CYB	41.62137222290039
5	25	S100A4	41.09819030761719
5	26	LINC01871	39.192115783691406
5	27	GZMM	38.29936599731445
5	28	GPR65	37.3430061340332
5	29	HLA-B	36.48957443237305
5	30	HLA-C	36.15314865112305
5	31	SLC4A10	36.14103698730469
5	32	PPP2R5C	35.455360412597656
5	33	MATK	35.33311462402344
5	34	MT-CO2	34.218650817871094
5	35	CD81	34.0074348449707
5	36	ALOX5AP	33.356536865234375
5	37	MT-ATP6	33.02812194824219
5	38	CEBPD	33.01929473876953
5	39	SPOCK2	32.74601364135742
5	40	GBP5	32.353031158447266
5	41	MT-CO3	31.89518165588379
5	42	ANXA1	31.602994918823242
5	43	FKBP11	31.109651565551758
5	44	TRGC1	30.731245040893555
5	45	MT-ND4	29.872068405151367
5	46	ZFP36L2	29.8228702545166
5	47	MT-ND3	29.724151611328125
5	48	HSP90AA1	29.540815353393555
5	49	GPR171	29.300657272338867
6	0	MT-CO2	8.373597145080566
6	1	MT-CO1	8.291084289550781
6	2	TENT5C	7.735833168029785
6	3	MT-CO3	7.561858654022217
6	4	MT-CYB	6.842773914337158
6	5	MT-ATP6	6.323580741882324
6	6	MALAT1	5.870504856109619
6	7	MZB1	5.804628849029541
6	8	TNFRSF17	5.7035441398620605
6	9	MT-ND5	5.635234355926514
6	10	JCHAIN	5.436358451843262
6	11	MT-ND4	5.414119243621826
6	12	DERL3	5.386025905609131
6	13	ZBP1	5.381319046020508
6	14	PRDM1	5.188877582550049
6	15	POU2AF1	5.154575347900391
6	16	IGHA1	5.125442981719971
6	17	TXNDC5	5.117000579833984
6	18	NEAT1	5.080338954925537
6	19	SEL1L3	4.887485504150391
6	20	TNFRSF13B	4.856368541717529
6	21	IRF4	4.700047969818115
6	22	TXNDC11	4.695589065551758
6	23	ELL2	4.640458583831787
6	24	SYNE2	4.620978355407715
6	25	GOLGB1	4.616880416870117
6	26	HBB	4.5615739822387695
6	27	ITM2C	4.500973224639893
6	28	MT-ND3	4.479480743408203
6	29	HYOU1	4.371880054473877
6	30	CD38	4.354398727416992
6	31	NT5DC2	4.338757514953613
6	32	GNG7	4.314144611358643
6	33	SLC25A39	4.301257610321045
6	34	UBE2J1	4.278290271759033
6	35	MAN1A1	4.2771806716918945
6	36	CYTOR	4.244797706604004
6	37	PLAAT2	4.218141555786133
6	38	GMPPB	4.142950057983398
