	n_genes_by_counts	total_counts	pct_counts_mt	doublet_class	doublet_score	celltypist_label	leiden_r1.0	leiden_r0.5	leiden_r1.5
64011310	6342	10514.0	1.4647137	doublet	0.999951481819153	Fibroblasts	0	0	0
64011312	5030	10217.0	0.5383185	doublet	0.999989032745361	Fibroblasts	2	2	4
64011313	4003	9962.0	0.5621361	doublet	0.998317718505859	Fibroblasts	2	2	4
64011316	4138	9934.0	0.2818603	doublet	0.935075581073761	Fibroblasts	2	2	4
64011328	3702	8277.0	0.14498007	doublet	0.99922513961792	Fibroblasts	2	2	4
64011333	4381	7963.0	0.1381389	doublet	0.99975174665451	Fibroblasts	2	2	4
64011346	4646	7421.0	0.06737636	doublet	0.999999403953552	Cholangiocytes	3	4	5
64011362	4195	6990.0	0.014306152	doublet	0.999669671058655	Cholangiocytes	3	4	5
64011363	3511	7113.0	1.1809363	doublet	0.999999165534973	Fibroblasts	2	2	4
64011379	3870	6563.0	0.3504495	doublet	0.99995756149292	Fibroblasts	2	2	4
64011392	3658	6441.0	0.41918954	doublet	0.99683290719986	Fibroblasts	2	2	4
64011399	3436	6161.0	1.0550236	doublet	0.9997598528862	Fibroblasts	2	2	4
64011401	3194	6138.0	0.42359075	doublet	0.999990224838257	Fibroblasts	2	2	4
64011405	3934	5858.0	0.11949471	doublet	0.999983906745911	Cholangiocytes	3	4	5
64011410	3315	6016.0	0.31582448	doublet	0.999526262283325	Fibroblasts	2	2	4
64011414	3477	6060.0	1.930693	doublet	0.999999523162842	Fibroblasts	2	2	4
64011418	3643	5980.0	0.48494983	doublet	0.999907374382019	Fibroblasts	2	2	4
64011423	3089	5676.0	0.15856238	doublet	0.997851014137268	Fibroblasts	2	2	4
64011426	3988	5821.0	0.6356296	doublet	0.895262241363525	Fibroblasts	4	5	6
64011429	3271	5819.0	0.49836743	doublet	0.999986290931702	Fibroblasts	2	2	4
64011430	3496	5734.0	0.59295434	doublet	0.999824464321136	Fibroblasts	2	2	4
64011433	3513	5791.0	4.54153	doublet	0.0481127686798573	Fibroblasts	2	2	4
64011435	3722	5774.0	0.17319016	doublet	0.999997019767761	Cholangiocytes	3	4	5
64011442	2860	5719.0	0.6819374	doublet	0.999493479728699	Fibroblasts	2	2	4
64011446	3362	5630.0	0.1598579	doublet	0.999994277954102	Fibroblasts	2	2	4
64011452	3615	5388.0	0.018559763	doublet	0.999347507953644	Cholangiocytes	3	4	5
64011453	4079	5553.0	0.39618224	doublet	0.999882698059082	T cells	5	6	7
64011457	2250	5268.0	0.11389522	doublet	0.986543297767639	Fibroblasts	2	2	4
64011461	3415	5336.0	0.01874063	doublet	0.998956084251404	Cholangiocytes	3	4	5
64011464	2532	5459.0	0.12822862	doublet	0.142075628042221	Fibroblasts	2	2	4
64011473	4010	5414.0	0.5910602	doublet	0.999362051486969	Fibroblasts	4	5	6
64011477	3103	5304.0	0.15082957	doublet	0.917250216007233	Fibroblasts	2	2	4
64011480	3228	5179.0	0.057926238	doublet	0.999713599681854	Cholangiocytes	3	4	5
64011495	3759	5077.0	0.039393343	doublet	0.998854517936707	Cholangiocytes	3	4	5
64011501	2777	4866.0	0.14385532	doublet	0.999752700328827	Fibroblasts	2	2	4
64011502	2709	4685.0	0.7684098	doublet	0.997254550457001	Fibroblasts	2	2	4
64011505	3767	5184.0	0.6751543	singlet	0.00785715691745281	Endothelial cells	6	3	11
64011508	3011	5054.0	7.043926	doublet	0.999936103820801	Endothelial cells	6	3	11
64011514	3262	5043.0	0.19829467	doublet	0.999829530715942	Fibroblasts	2	2	4
64011532	2578	4622.0	0.10817827	doublet	0.904279053211212	Fibroblasts	2	2	4
64011535	3587	4986.0	0.7420778	doublet	0.0478173159062862	Endothelial cells	6	3	11
64011536	2702	4851.0	0.22675738	doublet	0.796182036399841	Fibroblasts	2	2	4
64011540	3024	4733.0	0.40143672	doublet	0.999253213405609	Fibroblasts	2	2	4
64011552	2655	4699.0	0.2766546	doublet	0.611420571804047	Fibroblasts	2	2	4
64011553	3520	4696.0	0.12776832	doublet	0.995362520217896	Cholangiocytes	3	4	5
64011557	3182	4535.0	0.0	singlet	0.011193404905498	Cholangiocytes	3	4	5
64011569	3032	4216.0	0.0711575	doublet	0.500778257846832	Cholangiocytes	3	4	5
64011573	2704	4439.0	0.27033117	doublet	0.968093633651733	Fibroblasts	2	2	4
64011575	2622	4600.0	7.956522	singlet	0.0156236086040735	Fibroblasts	2	2	4
64011579	2331	4529.0	0.13247958	doublet	0.941717624664307	Fibroblasts	2	2	4
64011580	3151	4391.0	0.022773854	singlet	0.00242883246392012	Cholangiocytes	3	4	5
64011595	3183	4303.0	0.046479203	doublet	0.841101050376892	Cholangiocytes	3	4	5
64011617	3086	4359.0	0.06882313	doublet	0.296993315219879	Cholangiocytes	3	4	5
64011620	3122	4359.0	0.0	singlet	0.00230521406047046	Cholangiocytes	3	4	5
64011626	3059	4340.0	0.32258064	doublet	0.435139864683151	Endothelial cells	6	3	11
64011630	3140	4335.0	0.18454441	doublet	0.984400033950806	Cholangiocytes	3	4	5
64011643	3167	4288.0	0.25652984	doublet	0.697782099246979	Fibroblasts	0	0	0
64011648	3162	4284.0	0.02334267	singlet	0.0378898195922375	Cholangiocytes	3	4	5
64011668	2758	3965.0	0.050441362	doublet	0.11931524425745	Cholangiocytes	3	4	5
