	n_genes_by_counts	total_counts	pct_counts_mt	doublet_class	doublet_score	celltypist_label	leiden_r1.0	leiden_r0.5	leiden_r1.5
64011310	6342	10514.0	1.4647137	doublet	0.999999523162842	Fibroblasts	0	0	0
64011312	5030	10217.0	0.5383185	doublet	0.999997735023499	Fibroblasts	1	3	1
64011313	4003	9962.0	0.5621361	doublet	0.860934197902679	Fibroblasts	1	3	1
64011316	4138	9934.0	0.2818603	doublet	0.258978962898254	Fibroblasts	1	3	1
64011328	3702	8277.0	0.14498007	doublet	0.92863655090332	Fibroblasts	1	3	1
64011333	4381	7963.0	0.1381389	doublet	0.999648928642273	Fibroblasts	1	3	1
64011346	4646	7421.0	0.06737636	doublet	0.999999642372131	Cholangiocytes	2	4	2
64011362	4195	6990.0	0.014306152	doublet	0.999779880046844	Cholangiocytes	2	4	2
64011363	3511	7113.0	1.1809363	doublet	0.9997438788414	Fibroblasts	1	3	1
64011379	3870	6563.0	0.3504495	doublet	0.999077439308167	Fibroblasts	1	3	1
64011392	3658	6441.0	0.41918954	doublet	0.551572382450104	Fibroblasts	1	3	1
64011399	3436	6161.0	1.0550236	doublet	0.999788105487823	Fibroblasts	1	3	1
64011401	3194	6138.0	0.42359075	doublet	0.999706208705902	Fibroblasts	1	3	1
64011405	3934	5858.0	0.11949471	doublet	0.999727785587311	Cholangiocytes	2	4	2
64011410	3315	6016.0	0.31582448	doublet	0.954029440879822	Fibroblasts	1	3	1
64011414	3477	6060.0	1.930693	doublet	0.999993443489075	Fibroblasts	1	3	1
64011418	3643	5980.0	0.48494983	doublet	0.99628096818924	Fibroblasts	1	3	1
64011423	3089	5676.0	0.15856238	doublet	0.847173154354095	Fibroblasts	1	3	1
64011426	3988	5821.0	0.6356296	doublet	0.997738361358643	Fibroblasts	3	5	3
64011429	3271	5819.0	0.49836743	doublet	0.999203026294708	Fibroblasts	1	3	1
64011430	3496	5734.0	0.59295434	doublet	0.999094247817993	Fibroblasts	1	3	1
64011433	3513	5791.0	4.54153	singlet	0.000688319036271423	Fibroblasts	1	3	1
64011435	3722	5774.0	0.17319016	doublet	0.999679207801819	Cholangiocytes	2	4	2
64011442	2860	5719.0	0.6819374	doublet	0.999966263771057	Fibroblasts	1	3	1
64011446	3362	5630.0	0.1598579	doublet	0.997452437877655	Fibroblasts	1	3	1
64011452	3615	5388.0	0.018559763	doublet	0.948207437992096	Cholangiocytes	2	4	2
64011453	4079	5553.0	0.39618224	doublet	0.999926805496216	T cells	4	6	4
64011457	2250	5268.0	0.11389522	doublet	0.184318289160728	Fibroblasts	1	3	1
64011461	3415	5336.0	0.01874063	doublet	0.999743044376373	Cholangiocytes	2	4	2
64011464	2532	5459.0	0.12822862	singlet	0.0222840346395969	Fibroblasts	1	3	1
64011473	4010	5414.0	0.5910602	doublet	0.999148488044739	Fibroblasts	3	5	3
64011477	3103	5304.0	0.15082957	doublet	0.949075937271118	Fibroblasts	1	3	1
64011480	3228	5179.0	0.057926238	doublet	0.99921715259552	Cholangiocytes	2	4	2
64011495	3759	5077.0	0.039393343	doublet	0.999033808708191	Cholangiocytes	2	4	2
64011501	2777	4866.0	0.14385532	doublet	0.872743666172028	Fibroblasts	1	3	1
64011502	2709	4685.0	0.7684098	doublet	0.965471923351288	Fibroblasts	1	3	1
64011505	3767	5184.0	0.6751543	singlet	0.00428337324410677	Endothelial cells	5	1	6
64011508	3011	5054.0	7.043926	doublet	0.984692335128784	Endothelial cells	5	1	6
64011514	3262	5043.0	0.19829467	doublet	0.999662518501282	Fibroblasts	1	3	1
64011532	2578	4622.0	0.10817827	doublet	0.162977382540703	Fibroblasts	1	3	1
64011535	3587	4986.0	0.7420778	doublet	0.0781659558415413	Endothelial cells	5	1	6
64011536	2702	4851.0	0.22675738	singlet	0.0315633900463581	Fibroblasts	1	3	1
64011540	3024	4733.0	0.40143672	doublet	0.562752664089203	Fibroblasts	1	3	1
64011552	2655	4699.0	0.2766546	singlet	0.0109955314546824	Fibroblasts	1	3	1
64011553	3520	4696.0	0.12776832	doublet	0.999530076980591	Cholangiocytes	2	4	2
64011557	3182	4535.0	0.0	singlet	0.0586448237299919	Cholangiocytes	2	4	2
64011569	3032	4216.0	0.0711575	doublet	0.19210883975029	Cholangiocytes	2	4	2
64011573	2704	4439.0	0.27033117	singlet	0.0255478881299496	Fibroblasts	1	3	1
64011575	2622	4600.0	7.956522	singlet	0.000437501206761226	Fibroblasts	1	3	1
64011579	2331	4529.0	0.13247958	doublet	0.904755711555481	Fibroblasts	1	3	1
64011580	3151	4391.0	0.022773854	singlet	0.00597203616052866	Cholangiocytes	2	4	2
64011595	3183	4303.0	0.046479203	doublet	0.114778302609921	Cholangiocytes	2	4	2
64011617	3086	4359.0	0.06882313	singlet	0.0435251630842686	Cholangiocytes	2	4	2
64011620	3122	4359.0	0.0	doublet	0.161424681544304	Cholangiocytes	2	4	2
