	n_genes_by_counts	total_counts	pct_counts_mt	doublet_class	doublet_score	celltypist_label	leiden_r1.0	leiden_r0.5	leiden_r1.5
17203266	2266	10414.0	7.3458805	doublet	0.999581158161163	Activated CD4 T	0	0	0
17203267	2305	8457.0	8.620078	doublet	0.99999988079071	Activated CD4 T	2	0	0
17203268	1847	7856.0	13.314665	doublet	0.999847531318665	Activated CD4 T	0	0	0
17203269	2296	7795.0	13.688262	doublet	0.999988675117493	NK T cell	3	3	5
17203275	1638	6999.0	6.800972	doublet	0.999999165534973	Activated CD4 T	0	0	0
17203277	1579	6948.0	7.095567	doublet	0.985015273094177	Activated CD4 T	2	0	0
17203284	1608	6715.0	12.509307	doublet	0.99999988079071	Activated CD4 T	0	0	0
17203292	1460	6338.0	6.358473	singlet	0.00101853732485324	Activated CD4 T	0	0	0
17203301	1889	6001.0	11.78137	singlet	0.0179269630461931	ILC3	4	0	8
17203308	1701	5862.0	7.1989083	doublet	0.999999761581421	Activated CD4 T	0	0	0
17203311	1905	5817.0	8.629878	doublet	0.999998807907104	Activated CD4 T	0	0	0
17203312	1580	5826.0	11.56883	doublet	0.999999761581421	Activated CD8 T	0	0	0
17203313	1529	5810.0	6.6265063	doublet	0.999998807907104	Activated CD4 T	0	0	0
17203314	1387	5795.0	9.853322	doublet	0.987464308738708	Activated CD4 T	2	0	0
17203318	1894	5676.0	5.813954	doublet	0.999996900558472	CD8 Tmem	0	0	0
17203319	1888	5657.0	6.9648223	doublet	0.9561687707901	CD8 Tmem	0	0	0
17203324	1555	5531.0	6.002531	singlet	0.0538250058889389	Activated CD4 T	0	0	0
17203328	1826	5355.0	10.588236	doublet	0.99997341632843	Treg	2	0	4
17203329	1156	5360.0	12.910448	singlet	0.0314625166356564	SELL+ CD4 T	2	0	4
17203332	1445	5288.0	6.6944027	doublet	0.97390204668045	Activated CD4 T	0	0	0
17203333	1549	5291.0	10.18711	doublet	0.999981164932251	Treg	2	0	4
17203336	1612	5072.0	15.141956	doublet	0.999999403953552	Activated CD4 T	0	0	0
17203338	1558	5089.0	10.001965	doublet	0.999843835830688	Treg	2	0	4
17203339	1426	5060.0	8.517787	doublet	0.999999523162842	Activated CD4 T	0	0	0
17203344	1682	4971.0	9.736471	doublet	0.999997615814209	Activated CD4 T	0	0	0
17203346	1406	4916.0	16.029293	singlet	0.000127067745779641	Activated CD4 T	0	0	0
17203347	1363	4941.0	7.0228696	doublet	0.450588226318359	Activated CD4 T	0	0	0
17203352	1598	4772.0	14.878458	singlet	0.0237946175038815	CD8 Tmem	7	0	2
17203356	1448	4793.0	16.941374	singlet	0.00043738420936279	Treg	2	0	4
17203358	1561	4809.0	8.816802	doublet	0.999913692474365	Treg	2	0	4
17203361	1313	4678.0	11.436512	doublet	0.999063432216644	Activated CD4 T	0	0	0
17203366	1391	4695.0	8.903089	doublet	0.999975442886353	Activated CD4 T	0	0	0
17203367	1583	4624.0	7.4826994	doublet	0.998721301555634	Activated CD4 T	0	0	0
17203370	1491	4559.0	13.292389	singlet	0.145979642868042	NK cell	3	3	8
17203373	1308	4646.0	9.233749	doublet	0.999360501766205	Activated CD4 T	0	0	0
17203377	1295	4598.0	8.503697	singlet	0.248484790325165	Activated CD4 T	0	0	0
17203379	1142	4592.0	14.046166	doublet	0.974600970745087	Activated CD4 T	0	0	0
17203381	1407	4544.0	8.956866	doublet	0.992262601852417	Activated CD8 T	0	0	0
17203382	1456	4487.0	9.048362	doublet	0.999985456466675	Activated CD4 T	0	0	0
17203384	1303	4504.0	8.903197	doublet	0.970625221729279	Activated CD4 T	0	0	0
17203385	1499	4444.0	12.736275	doublet	0.999998569488525	Activated CD4 T	0	0	0
17203401	1320	4248.0	7.4387946	doublet	0.999478876590729	Activated CD4 T	2	0	0
17203405	1143	4195.0	8.796186	doublet	0.813843786716461	Activated CD4 T	0	0	0
17203410	1305	4110.0	7.5425787	doublet	0.999592006206512	Treg	2	0	4
17203414	1217	4008.0	10.978044	doublet	0.609168529510498	Activated CD4 T	0	0	0
17203416	1249	3941.0	16.087288	doublet	0.284634530544281	Activated CD4 T	0	0	0
17203419	1255	3872.0	15.728305	doublet	0.999861717224121	CD8 Tmem	0	0	0
17203424	1215	3905.0	11.549295	doublet	0.908397853374481	Treg	2	0	4
17203426	1549	3833.0	11.609706	doublet	0.999993801116943	Activated CD8 T	6	1	7
17203439	1060	3680.0	9.130435	doublet	0.871632158756256	Activated CD4 T	2	0	0
17203440	1131	3644.0	10.29089	doublet	0.999977588653564	CD8 Tmem	7	0	2
17203447	1138	3418.0	10.737273	doublet	0.931824266910553	CD8 Tmem	7	0	2
17203448	1061	3546.0	10.857305	singlet	0.0991341844201088	Activated CD4 T	0	0	3
17203456	1303	3372.0	10.557532	doublet	0.993790209293365	Treg	2	0	4
17203462	1099	3128.0	11.636828	singlet	0.0639592930674553	Treg	2	0	4
17203470	962	2562.0	9.875098	doublet	0.349000573158264	Activated CD4 T	0	0	3
17203471	947	2566.0	8.067031	doublet	0.723193526268005	Activated CD4 T	0	0	3
17203479	863	2140.0	15.373832	singlet	0.0735816732048988	Activated CD4 T	0	0	3
17203485	731	1440.0	11.041667	singlet	3.01405252685072e-05	Treg	2	0	4
17203490	2019	5824.0	4.721841	singlet	0.0159745775163174	CD8 Tmem	0	0	0
17203493	1734	5162.0	4.47501	doublet	0.99939239025116	Treg	2	0	4
17203503	1615	4415.0	5.956965	doublet	0.981837213039398	NK cell	3	3	8
17203505	1499	4220.0	5.971564	singlet	0.00177289440762252	CD8 Tmem	0	0	0
17203516	1232	3745.0	5.8210945	doublet	0.980071246623993	CD8 Tmem	0	0	0
17203517	1496	3716.0	4.5748115	doublet	0.9326331615448	CD8 Tmem	0	0	0
17203519	1198	3610.0	6.1495843	doublet	0.993742883205414	CD8 Tmem	7	0	0
17203523	1690	3590.0	8.27298	doublet	0.338773518800735	ILC3	4	0	8
17203526	1312	3534.0	5.0084887	singlet	0.000229141136514954	Treg	2	0	4
17203527	1626	3516.0	7.3094425	singlet	0.0349969640374184	CD8 Tmem	0	0	0
17203532	1102	3457.0	4.975412	singlet	0.0154637554660439	Activated CD4 T	0	0	0
17203533	1199	3425.0	4.321168	singlet	0.00164328899700195	Activated CD4 T	0	0	0
17203534	1234	3404.0	6.374853	singlet	0.105528965592384	CD8 Tmem	0	0	0
17203539	1264	3341.0	3.8910503	singlet	0.00466312374919653	CD8 Tmem	0	0	0
17203541	1223	3310.0	6.858006	singlet	0.000780555652454495	CD8 Tmem	0	0	0
17203545	1268	3248.0	6.0036945	singlet	0.105261400341988	CD8 Tmem	0	0	0
17203550	1000	3236.0	5.7787395	singlet	0.00049264682456851	Activated CD4 T	0	0	0
17203551	1316	3215.0	3.3903577	doublet	0.990521430969238	Treg	2	0	4
17203554	1270	3208.0	6.421446	doublet	0.887346684932709	CD8 Tmem	0	0	0
17203557	1337	3147.0	3.9720368	doublet	0.296049982309341	CD8 Tmem	0	0	0
17203564	1250	3070.0	8.6644945	singlet	0.00520981010049582	CD8 Tmem	0	0	0
17203566	1329	3025.0	5.123967	doublet	0.385412216186523	CD8 Tmem	7	0	2
17203576	1125	2862.0	7.2327046	singlet	0.0217932444065809	ILC3	4	0	8
17203583	954	2817.0	4.650337	singlet	0.000474938249681145	Activated CD4 T	0	0	0
17203586	1234	2675.0	2.9906542	singlet	0.0231612641364336	NK cell	3	3	8
17203596	843	2609.0	4.8677654	singlet	0.00184932176489383	Activated CD4 T	0	0	0
17203604	966	2502.0	7.913669	doublet	0.999431192874908	CD8 Tmem	7	0	0
17203616	1015	2449.0	4.77746	singlet	1.12680186248326e-06	SELL+ CD4 T	2	0	4
17203621	1197	2401.0	4.4564767	singlet	0.00668338872492313	CD8 Tmem	0	0	1
17203626	1025	2380.0	7.226891	singlet	0.0106122680008411	Treg	2	0	4
17203630	1028	2348.0	7.0272574	singlet	0.137988731265068	CD8 Tmem	7	0	2
17203634	917	2313.0	3.6316473	singlet	0.00764671014621854	Treg	2	0	4
17203636	916	2267.0	7.543008	doublet	0.999836087226868	CD8 Tmem	7	0	2
