cluster	rank	gene	score
0	0	IL7R	90.51409149169922
0	1	ANXA1	73.29306030273438
0	2	TNFAIP3	72.37374877929688
0	3	CD2	70.67192840576172
0	4	CALM1	68.3493423461914
0	5	CD3D	67.82991027832031
0	6	S100A4	67.55391693115234
0	7	IL32	66.14081573486328
0	8	CD3G	65.80047607421875
0	9	CD3E	64.22772979736328
0	10	TPT1	62.69289779663086
0	11	RPS3	60.27669906616211
0	12	BTG1	59.309539794921875
0	13	DNAJA1	59.13923263549805
0	14	CD69	59.1042366027832
0	15	PTPRC	57.185203552246094
0	16	KLRB1	56.54661560058594
0	17	ARL4C	56.183902740478516
0	18	JUND	55.78055953979492
0	19	CD52	55.60142135620117
0	20	RPSA	55.22774887084961
0	21	RPL30	53.299434661865234
0	22	EEF1A1	53.15065383911133
0	23	RPS21	52.893497467041016
0	24	HLA-A	52.748233795166016
0	25	RORA	51.77521514892578
0	26	ETS1	51.41231155395508
0	27	DDX5	51.2989616394043
0	28	LTB	51.045902252197266
0	29	MYADM	50.97905349731445
0	30	ZFP36L2	50.819313049316406
0	31	CD48	50.776912689208984
0	32	FYB1	50.547340393066406
0	33	RPS29	50.00234603881836
0	34	S100A6	49.65128707885742
0	35	SARAF	48.60954666137695
0	36	CXCR4	48.556636810302734
0	37	RPS12	47.96346664428711
0	38	MYL12A	47.4178581237793
0	39	SRSF7	47.37043762207031
0	40	RPL13	46.09368896484375
0	41	H4C3	45.1064567565918
0	42	S100A10	45.09707260131836
0	43	HSPA8	44.856040954589844
0	44	HLA-B	44.83484649658203
0	45	MALAT1	44.595787048339844
0	46	PLAAT4	44.531715393066406
0	47	RPLP1	44.272342681884766
0	48	HSP90AA1	44.05278778076172
0	49	RPL28	43.973670959472656
1	0	CD3D	42.196685791015625
1	1	RPS29	40.19547653198242
1	2	RPS27	39.99428939819336
1	3	LTB	38.92437744140625
1	4	IL32	37.654693603515625
1	5	PTPRC	37.17939376831055
1	6	RPL30	36.284446716308594
1	7	RPL37	35.36240005493164
1	8	CD2	34.152610778808594
1	9	HLA-A	33.95866775512695
1	10	FYB1	33.067012786865234
1	11	RPS3	32.544551849365234
1	12	MALAT1	32.46916961669922
1	13	RPS21	32.432647705078125
1	14	CD3E	31.76999282836914
1	15	CD3G	31.648090362548828
1	16	EEF1A1	29.980619430541992
1	17	BTG1	29.78278350830078
1	18	SPOCK2	29.10330581665039
1	19	RPL19	28.96045684814453
1	20	RPL13	27.98481559753418
1	21	ANKRD12	27.73345947265625
1	22	JUNB	26.75318145751953
1	23	PTPRCAP	26.646041870117188
1	24	ETS1	26.520477294921875
1	25	RPL36	25.947994232177734
1	26	RPL11	25.754837036132812
1	27	RPS2	25.122337341308594
1	28	RPL38	24.840057373046875
1	29	RPSA	24.82662582397461
1	30	ITM2A	24.73755645751953
1	31	RPL37A	24.42686653137207
1	32	RPL28	23.978185653686523
1	33	DDX5	23.840744018554688
1	34	NOP53	23.715953826904297
1	35	RPL24	23.598432540893555
1	36	GIMAP7	23.550254821777344
1	37	LDHB	23.473432540893555
1	38	RPS28	23.389646530151367
1	39	CD7	23.342384338378906
1	40	CD48	23.18748664855957
1	41	LCK	23.1124210357666
1	42	C12orf57	23.083627700805664
1	43	ICOS	22.873315811157227
1	44	RPL29	22.8424072265625
1	45	AAK1	22.831806182861328
1	46	LAT	22.767261505126953
1	47	ARL4C	22.754459381103516
1	48	RPL18	22.753572463989258
1	49	RPL5	22.510581970214844
2	0	CD7	64.50672912597656
2	1	NKG7	63.03614807128906
2	2	GZMA	61.86473846435547
2	3	CD247	57.729400634765625
2	4	HOPX	54.381168365478516
2	5	FCER1G	49.69202423095703
2	6	HCST	49.3580207824707
2	7	CD160	48.020755767822266
2	8	IL2RB	43.8169059753418
2	9	GNLY	43.465938568115234
2	10	GZMK	42.490299224853516
2	11	CKLF	41.50859069824219
2	12	CST7	39.97865676879883
2	13	PTPRCAP	39.9522590637207
2	14	GSTP1	39.94257354736328
2	15	EVL	39.29876708984375
2	16	TYROBP	38.877742767333984
2	17	IFITM2	38.82566833496094
2	18	TMIGD2	38.37370300292969
2	19	PLAAT4	37.76907730102539
2	20	TNFRSF18	37.34514617919922
2	21	GAPDH	37.33319091796875
2	22	RAC2	37.11972427368164
2	23	CORO1A	36.7401123046875
2	24	SEPTIN7	36.179264068603516
2	25	LSP1	35.51742172241211
2	26	CLIC1	35.46062469482422
2	27	ID2	34.996315002441406
2	28	MT-CYB	34.850040435791016
2	29	GIMAP7	34.83409118652344
2	30	IL32	34.80674743652344
2	31	PFN1	34.29979705810547
2	32	CD63	34.04887771606445
2	33	PRF1	33.826175689697266
2	34	CFL1	33.64381790161133
2	35	RHOC	33.412044525146484
2	36	GZMB	33.170013427734375
2	37	KLRD1	32.87458038330078
2	38	KLRB1	32.13554382324219
2	39	MT-ATP6	31.549514770507812
2	40	CD3E	31.412519454956055
2	41	ACTG1	31.32061004638672
2	42	ABHD17A	30.871963500976562
2	43	ALOX5AP	30.84033966064453
2	44	CD99	30.698137283325195
