cell	n_genes_by_counts	total_counts	pct_counts_mt
105595783	1477	4155.0	1.5162455
105595800	1989	6043.0	3.1441338
105595811	1467	4015.0	3.7608967
105595833	1547	4282.0	2.732368
105595917	1971	6177.0	2.1045816
105595955	1548	5440.0	2.1875
105596027	1478	5008.0	2.5559106
105596136	1688	5657.0	2.6869366
105596138	1797	5669.0	2.4519315
105596237	1269	3771.0	3.2617342
105596318	2030	6425.0	3.6420233
105596380	1398	4734.0	2.936206
105596388	1454	4664.0	4.1380787
105596436	1690	5166.0	2.710027
105596477	1146	4224.0	1.8465909
105596491	1652	4421.0	2.1714544
105596520	1274	2620.0	2.9770992
105596541	2344	6181.0	1.2619318
105596596	2665	7989.0	3.980473
105596606	1619	4110.0	6.082725
105596619	2748	8060.0	2.5310173
105596646	1470	3680.0	8.777174
105596685	1963	5628.0	2.5230987
105596721	1792	5069.0	4.872756
105596726	1664	4251.0	3.646201
105596735	943	2385.0	5.115304
105596756	1396	4155.0	3.6341758
105596811	1798	6548.0	4.5815516
105596875	2056	7236.0	0.76008844
105596895	2481	8373.0	2.1139376
105596918	1872	5734.0	1.6916639
105596989	1765	6297.0	2.5726535
105596993	2139	7827.0	1.3542864
105597002	1951	6369.0	2.3237557
105597060	1564	5524.0	2.172339
105597072	1654	5379.0	1.0224949
105597093	1745	5664.0	2.507062
105597155	1646	5333.0	2.0438778
105597176	1489	4542.0	3.6107442
105597202	1964	6834.0	1.609599
105597259	1716	5923.0	2.4987338
105597275	2028	7548.0	1.3778484
105597295	2081	7465.0	1.1922305
105597375	1514	4429.0	3.0029352
105597427	1504	4964.0	2.9613216
105597478	2005	7011.0	2.3819711
105597517	1957	6643.0	2.4988708
105597532	1642	5196.0	2.9638183
105597533	1684	5805.0	1.6020672
105597554	1696	6467.0	1.6236278
105597594	1673	6665.0	2.6256566
105597698	2502	9694.0	2.3829174
105597718	1671	5230.0	1.3001913
105597728	1666	5671.0	2.5921354
105597799	753	1408.0	4.8295455
105597832	1244	4026.0	2.806756
105597921	1798	6543.0	2.6898975
105598044	2109	5082.0	3.620622
105598096	2522	6791.0	3.769695
105598106	3069	9294.0	1.7538197
105598207	1046	2734.0	3.4016094
105598209	1889	6316.0	2.121596
105598225	2284	7540.0	2.877984
105598281	1309	3027.0	4.327717
105598459	1957	8497.0	1.3063434
105598473	1154	3146.0	1.7800381
105598659	1440	4547.0	2.44117
105598711	1436	4573.0	2.1648808
105598753	1044	2778.0	1.799856
105598816	1293	4300.0	2.232558
105598847	1898	6144.0	1.8880209
105598954	1437	4436.0	1.6681695
105599104	1699	5092.0	0.82482326
105599110	2125	5351.0	2.2238834
105599146	1530	5541.0	1.0286951
105599166	1887	6787.0	2.5489907
105599222	1403	4733.0	1.8381577
105599275	2044	7773.0	2.3414383
105599363	1502	3757.0	2.6883152
105599378	2063	7157.0	1.1736761
105599491	1664	5837.0	1.8673977
105599533	1438	5455.0	0.98991746
105599579	1540	7122.0	1.9797809
105599589	1378	4446.0	2.4966261
