cell	mad3_outlier	mad5_outlier
64011310	FALSE	FALSE
64011312	FALSE	FALSE
64011313	FALSE	FALSE
64011316	FALSE	FALSE
64011328	FALSE	FALSE
64011333	FALSE	FALSE
64011346	FALSE	FALSE
64011362	FALSE	FALSE
64011363	FALSE	FALSE
64011379	FALSE	FALSE
64011392	FALSE	FALSE
64011399	FALSE	FALSE
64011401	FALSE	FALSE
64011405	FALSE	FALSE
64011410	FALSE	FALSE
64011414	FALSE	FALSE
64011418	FALSE	FALSE
64011423	FALSE	FALSE
64011426	FALSE	FALSE
64011429	FALSE	FALSE
64011430	FALSE	FALSE
64011433	FALSE	FALSE
64011435	FALSE	FALSE
64011442	FALSE	FALSE
64011446	FALSE	FALSE
64011452	FALSE	FALSE
64011453	FALSE	FALSE
64011457	FALSE	FALSE
64011461	FALSE	FALSE
64011464	FALSE	FALSE
64011473	FALSE	FALSE
64011477	FALSE	FALSE
64011480	FALSE	FALSE
64011495	FALSE	FALSE
64011501	FALSE	FALSE
64011502	FALSE	FALSE
64011505	FALSE	FALSE
64011508	FALSE	FALSE
64011514	FALSE	FALSE
64011532	FALSE	FALSE
64011535	FALSE	FALSE
64011536	FALSE	FALSE
64011540	FALSE	FALSE
64011552	FALSE	FALSE
64011553	FALSE	FALSE
64011557	FALSE	FALSE
64011569	FALSE	FALSE
64011573	FALSE	FALSE
64011575	FALSE	FALSE
64011579	FALSE	FALSE
64011580	FALSE	FALSE
64011595	FALSE	FALSE
64011617	FALSE	FALSE
64011620	FALSE	FALSE
64011626	FALSE	FALSE
64011630	FALSE	FALSE
64011643	FALSE	FALSE
64011648	FALSE	FALSE
64011668	FALSE	FALSE
64011670	FALSE	FALSE
64011675	FALSE	FALSE
64011691	FALSE	FALSE
64011695	FALSE	FALSE
64011727	FALSE	FALSE
64011736	FALSE	FALSE
64011749	FALSE	FALSE
64011752	FALSE	FALSE
64011756	FALSE	FALSE
64011759	FALSE	FALSE
64011768	FALSE	FALSE
64011781	FALSE	FALSE
64011797	FALSE	FALSE
64011801	FALSE	FALSE
64011824	FALSE	FALSE
64011837	FALSE	FALSE
64011845	FALSE	FALSE
64011847	FALSE	FALSE
64011849	FALSE	FALSE
64011853	FALSE	FALSE
64011854	FALSE	FALSE
64011860	FALSE	FALSE
64011867	FALSE	FALSE
64011873	FALSE	FALSE
64011875	FALSE	FALSE
64011877	FALSE	FALSE
64011878	FALSE	FALSE
64011880	FALSE	FALSE
64011889	FALSE	FALSE
64011891	FALSE	FALSE
64011911	FALSE	FALSE
64011913	FALSE	FALSE
64011919	FALSE	FALSE
64011926	FALSE	FALSE
64011947	FALSE	FALSE
64011986	FALSE	FALSE
64011989	FALSE	FALSE
64012000	FALSE	FALSE
64012031	FALSE	FALSE
64012034	FALSE	FALSE
64012041	FALSE	FALSE
64012052	FALSE	FALSE
64012053	FALSE	FALSE
64012056	FALSE	FALSE
64012059	FALSE	FALSE
64012065	FALSE	FALSE
64012074	FALSE	FALSE
64012078	FALSE	FALSE
64012088	FALSE	FALSE
64012098	FALSE	FALSE
64012099	FALSE	FALSE
64012119	FALSE	FALSE
64012125	FALSE	FALSE
64012136	FALSE	FALSE
64012148	FALSE	FALSE
64012158	FALSE	FALSE
64012162	FALSE	FALSE
64012168	FALSE	FALSE
64012175	FALSE	FALSE
64012176	FALSE	FALSE
64012178	FALSE	FALSE
64012180	FALSE	FALSE
64012181	FALSE	FALSE
64012183	FALSE	FALSE
64012197	FALSE	FALSE
64012213	FALSE	FALSE
64012214	FALSE	FALSE
64012216	FALSE	FALSE
64012221	FALSE	FALSE
64012222	FALSE	FALSE
64012237	FALSE	FALSE
64012244	FALSE	FALSE
64012255	FALSE	FALSE
64012261	FALSE	FALSE
64012274	TRUE	FALSE
64012276	FALSE	FALSE
64012283	FALSE	FALSE
64012285	TRUE	FALSE
64012288	FALSE	FALSE
64012291	FALSE	FALSE
64012301	FALSE	FALSE
64012302	FALSE	FALSE
64012308	FALSE	FALSE
64012310	FALSE	FALSE
64012318	FALSE	FALSE
64012323	FALSE	FALSE
64012324	FALSE	FALSE
64012328	FALSE	FALSE
64012333	FALSE	FALSE
64012353	FALSE	FALSE
64012360	FALSE	FALSE
64012365	FALSE	FALSE
64012370	FALSE	FALSE
64012372	FALSE	FALSE
64012380	FALSE	FALSE
64012382	FALSE	FALSE
64012385	FALSE	FALSE
64012426	FALSE	FALSE
64012433	FALSE	FALSE
64012434	FALSE	FALSE
64012437	FALSE	FALSE
64012449	FALSE	FALSE
64012453	FALSE	FALSE
64012469	FALSE	FALSE
64012470	FALSE	FALSE
64012482	FALSE	FALSE
64012484	FALSE	FALSE
64012490	FALSE	FALSE
64012508	FALSE	FALSE
64012511	FALSE	FALSE
64012521	FALSE	FALSE
64012535	FALSE	FALSE
64012536	FALSE	FALSE
64012537	FALSE	FALSE
64012544	FALSE	FALSE
64012548	FALSE	FALSE
