gene_id	log2FC	pvalue	padj	tool	comparison_id
NOC2L	-0.0308734737345656	0.0852740924067205	0.247922858810467	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
ISG15	0.12891766273022	1.61907800923189e-06	0.000170429264129673	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
C1orf159	-0.0170147960529163	0.196984167148317	0.330177953651218	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
TNFRSF18	-0.164923181060538	5.69472960994013e-12	2.7117760047334e-09	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
TNFRSF4	-0.103812728429093	1.05851970473149e-06	0.000119055817402962	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
SDF4	-0.000666403833300945	0.975172357704976	0.980960021833796	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
B3GALT6	-0.0169117664530817	0.209489953184622	0.339478842947958	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
UBE2J2	-0.0173816446091612	0.320946333218763	0.42718798511748	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
ACAP3	-0.0118350945753426	0.458964163735223	0.543474438999672	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
PUSL1	-0.00858661670302965	0.58252882432002	0.651641432599896	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
DVL1	-0.0262481737412698	0.0630334457906708	0.227681387296221	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
AURKAIP1	0.0880856683953927	0.000238544838480617	0.00962824175889497	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
CCNL2	-0.0229788025164794	0.197827392161977	0.330870366552897	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
MRPL20	0.00885077920761367	0.638497815192813	0.699408986348724	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
ATAD3A	-0.0107837031148472	0.458203973920679	0.543105529870604	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
SSU72	0.0149806258252377	0.439302096959275	0.527373465737425	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
SSU72-AS1	-0.0281471519193007	0.0315608740222737	0.180424686014108	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
MIB2	-0.0191056983392381	0.243751683294896	0.364960845646884	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
MMP23B	-0.0215693774628094	0.100949864820531	0.260335759745411	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
CDK11B	-0.0285218340775383	0.0666249071599702	0.229933391337848	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
SLC35E2B	-0.0170879466856177	0.254577409510247	0.37274148343406	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
CDK11A	-0.0281274735905802	0.0777067491098846	0.241214993175088	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
NADK	-0.0174895393321923	0.244886043058245	0.365884043648297	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
GNB1	-0.0307798539620971	0.063569959306694	0.228195208861477	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
PRKCZ	-0.0226239764895999	0.101223940974847	0.260386304756477	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
SKI	-0.0220325889073916	0.100899970419681	0.260331681151631	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
RER1	0.0306456645348628	0.100603789286411	0.25995986952459	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
PEX10	-0.0266933885913584	0.0701894226551564	0.233429235437717	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
PANK4	-0.00693180680814542	0.610381345312275	0.675723840708817	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
TNFRSF14	-0.0317412913958216	0.0771117219434156	0.24057415170444	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
TPRG1L	-0.0213737357519385	0.121098820132385	0.275757150397968	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
WRAP73	-0.0379471467857201	0.0115426841824188	0.11731272673202	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
SMIM1	-0.0349782455453202	0.0399257793039527	0.196850264520882	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
LRRC47	-0.00334830429851826	0.833791700910787	0.864570407414752	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
CEP104	-0.0325432638808067	0.0271422497088888	0.170228258871873	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
DFFB	-0.0215379850266365	0.105458513133605	0.26341747941536	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
C1orf174	-0.0223617246946104	0.134141201209781	0.28528541303654	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
KCNAB2	-0.0246351623185104	0.102710791696079	0.261676835592248	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
RPL22	-0.144492691145556	0.000220936981829607	0.00913321496465024	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
ICMT	-0.021543110350476	0.128495548971843	0.280880228067805	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
ACOT7	-0.0157686155042199	0.223298825011077	0.349614568672424	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
NOL9	-0.0367393896336447	0.00866030948004348	0.102444522520188	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
ZBTB48	-0.0234846006748516	0.106803317804003	0.26447918147222	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
KLHL21	-0.00324988182129566	0.818215614659325	0.85168691023142	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
PHF13	-0.0129054931865096	0.331342082763598	0.43655083368063	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
THAP3	-0.0199961385848805	0.189341223940084	0.324379914803338	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
DNAJC11	-0.0161581828368798	0.244113721407269	0.365344872973936	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
CAMTA1	-0.0324669452247234	0.0925745672908968	0.255001169866655	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
VAMP3	-0.0195562526352289	0.21491767862244	0.343022936456178	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
PER3	-0.00833937458373425	0.520259052600084	0.596901161771551	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
PARK7	0.0291136498386366	0.207600579442387	0.337773166925294	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
RERE	-0.0330251285088599	0.031110228553384	0.179474288195045	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
ENO1	0.0103957509942913	0.572373630346803	0.642664873536149	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
GPR157	-0.0104581362300408	0.421663593771003	0.511976194476691	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
H6PD	-0.0233327003063336	0.0876892862261663	0.249720359540638	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
SPSB1	0.00122544331148871	0.926162588848815	0.940839687981323	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
SLC25A33	-0.002985038015379	0.832782467431054	0.863882227625575	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
CLSTN1	-0.0132073319094479	0.375834870341148	0.47274826458006	muscat_mm_dream	Census_19053a82_DiseaseVsNormal
