gene_id	log2FC	pvalue	padj	tool	comparison_id
NOC2L	0.0719013185076676	0.568294595929166	0.801860699491677	nebula	Census_19053a82_DiseaseVsNormal
ISG15	0.518560823801364	1.25138098864219e-05	0.000610095394563144	nebula	Census_19053a82_DiseaseVsNormal
C1orf159	0.396067052342182	0.181693505715893	0.461386095457239	nebula	Census_19053a82_DiseaseVsNormal
TNFRSF18	-0.645164731401853	1.15953757231949e-10	2.39358160141356e-08	nebula	Census_19053a82_DiseaseVsNormal
TNFRSF4	-0.467295791419523	1.23225494391537e-05	0.000603804922518531	nebula	Census_19053a82_DiseaseVsNormal
SDF4	0.0494690762978747	0.638152716629581	0.84164371028797	nebula	Census_19053a82_DiseaseVsNormal
B3GALT6	0.0452739054497114	0.904747478397878	0.96608629049265	nebula	Census_19053a82_DiseaseVsNormal
UBE2J2	0.133000602480363	0.296112901706888	0.580498559781819	nebula	Census_19053a82_DiseaseVsNormal
ACAP3	0.410466669681494	0.00386909424222424	0.050184428259438	nebula	Census_19053a82_DiseaseVsNormal
PUSL1	0.297945433380055	0.0426262064880847	0.213789872057979	nebula	Census_19053a82_DiseaseVsNormal
DVL1	-0.119019887963767	0.611742662154157	0.82798070077858	nebula	Census_19053a82_DiseaseVsNormal
AURKAIP1	0.246659018274642	0.000276230273058937	0.00708991034184606	nebula	Census_19053a82_DiseaseVsNormal
CCNL2	0.0335801028426989	0.796803921004388	0.918224279398344	nebula	Census_19053a82_DiseaseVsNormal
MRPL20	0.108071412618788	0.14202608816411	0.407432616016616	nebula	Census_19053a82_DiseaseVsNormal
ATAD3A	0.309866324467753	0.132958199634104	0.390897106924265	nebula	Census_19053a82_DiseaseVsNormal
SSU72	0.108445640470787	0.256088947080065	0.540568534511205	nebula	Census_19053a82_DiseaseVsNormal
SSU72-AS1	0.0806137612980801	0.803446415262394	0.920154708056255	nebula	Census_19053a82_DiseaseVsNormal
MIB2	0.20506730177346	0.18264909279587	0.462199872563922	nebula	Census_19053a82_DiseaseVsNormal
