gene_id	log2FC	pvalue	padj	tool	comparison_id
ISG15	1.69667896018204	3.39028616417883e-43	1.0086101338432e-40	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
AURKAIP1	0.204090582431479	0.000247718779387065	0.000818848187418352	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
MRPL20	0.0964697576481076	0.0714696717677451	0.118123485282801	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
SSU72	0.0180575690139896	0.672448572450786	0.74534592533291	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
CDK11A	0.00157454185428383	0.983456350947924	0.986773235774055	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
FAAP20	-0.0824926907653261	0.178041153433514	0.253521733163675	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
TNFRSF14	0.0695605638668556	0.2900801798992	0.383124765904604	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
RPL22	-0.183467709628288	1.66896127279795e-09	1.87364520248072e-08	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
PARK7	0.148990570738322	0.0003698201824894	0.00114605733636038	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
ENO1	0.256274198624954	3.55996587289157e-08	2.86240499239255e-07	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
NECAP2	-0.0965552381305995	0.0868077696561932	0.138659390457543	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
CAPZB	0.132708082436574	0.000450628759591375	0.00135075119373737	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
MICOS10	0.0544438208044959	0.266329511992085	0.356504071170508	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
HP1BP3	-0.175137553938276	0.00684155482439451	0.0152461615000552	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
CDC42	-0.115088511454434	0.0114471984554417	0.0239394474573209	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
HNRNPR	0.0500384128050597	0.317950162203307	0.412452115728329	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
RPL11	-0.0951274651970112	4.72473691590004e-06	2.32332104542192e-05	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
RCAN3	-0.251557431355017	1.62237911135577e-05	7.0719089469354e-05	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
SRRM1	-0.00627768254062796	0.863818126906875	0.900807157767535	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
SYF2	-0.103348480650248	0.0120869002339978	0.0251019394039395	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
RSRP1	0.138056267084705	0.0133100119195942	0.0274981149033282	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
TMEM50A	0.295889622457448	3.33878501212072e-07	2.16119155240437e-06	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
SH3BGRL3	0.30895642136357	2.09746866448117e-13	4.23048764530948e-12	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
CD52	0.0877984227123134	0.0228053169931362	0.0439843228878963	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
HMGN2	-0.197688866724413	4.17179068903314e-09	4.31689645212995e-08	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
NUDC	0.143215073139969	0.0196357829617908	0.0386863935836608	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
WASF2	-0.0610701520232364	0.306851983711728	0.400388005062452	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
IFI6	1.52267316189629	6.35839486843808e-39	1.51329797868826e-36	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
DNAJC8	0.00668768226028936	0.887397096785173	0.915097815316305	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
ATP5IF1	0.0871495419855891	0.0373974031435574	0.0674286511224746	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
EPB41	-0.24643577543672	0.00814264638983902	0.0178448419961481	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
LAPTM5	-0.0799109779544107	0.032181555895703	0.0598182686042268	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
PTP4A2	0.0913699036227538	0.176722150673916	0.253015649800485	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
KHDRBS1	-0.0252977483390571	0.639136923453992	0.720922216976541	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
EIF3I	0.14291434004053	0.0088622324407208	0.0192095748715077	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
LCK	0.0711104315126944	0.117805889240386	0.179960215912785	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
SFPQ	-0.134392903906766	0.0329090902757031	0.0608102755094513	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
THRAP3	0.0158262017696318	0.774531364404846	0.831102185429907	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
MEAF6	-0.0868454607594939	0.159045362176643	0.231657259473935	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
NDUFS5	0.0549787344128012	0.0834470259401502	0.133470377511799	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
CAP1	-0.0291032916807358	0.541605870814314	0.628178349190091	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
SMAP2	-0.288577526307635	0.00122641688154976	0.0033940374163819	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
YBX1	0.0566185926013769	0.020475312601676	0.0400092315205163	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
ATP6V0B	0.179985696864904	0.00200446936523489	0.00516302715287775	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
RPS8	-0.240765527069323	1.76990899631807e-12	2.96646719101198e-11	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
PRDX1	0.327218703649942	1.61283493572928e-08	1.43519514491909e-07	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
UQCRH	0.00807222263797758	0.795576838879129	0.844546332084	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
CMPK1	-0.290452514990936	1.36406651909696e-05	6.19556930429535e-05	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
TUT4	-0.195855646016182	0.0149078677167634	0.0302220827648184	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
SCP2	0.186667763645889	0.00198029663407829	0.00511182862159037	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
MAGOH	0.128460213567081	0.0197506398099609	0.0388483659071958	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
TMEM59	0.086284625324277	0.0713892682630057	0.118123485282801	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
JUN	0.642301644215257	9.53121731650452e-15	2.31472420543681e-13	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
JAK1	-0.0219024216719865	0.700210116954109	0.76939061789048	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
MIER1	-0.0979150377549832	0.185560495515921	0.262252956845541	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
SERBP1	0.0315746015068064	0.52243964713909	0.612515448369968	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
SRSF11	-0.0447822094488912	0.395748848807974	0.493132073383758	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
ZRANB2	-0.114237216151167	0.0389243727068715	0.069654140633349	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
IFI44L	2.94489728136718	8.44232065614993e-52	5.02318079040921e-49	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
GNG5	0.216863948363239	0.000144756723646947	0.000507291104408098	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
ODF2L	0.368145112671072	1.35904180667499e-08	1.25368972863817e-07	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
SELENOF	0.0374774746837703	0.430122166438303	0.525508601705935	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
GBP2	0.289935442178257	9.69647204915163e-05	0.000365151953749697	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
RPL5	-0.159023811017283	0.00124785554406765	0.00344535521447913	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
PRPF38B	0.0439012609356143	0.398747722898412	0.49634915298024	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
LAMTOR5	0.175283241889314	0.0018696271849713	0.00484718159066634	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
CD53	0.320716391654196	1.9121676872917e-10	2.52831060875235e-09	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
ATP5PB	0.0642664681564103	0.209754661123268	0.29091846939008	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
C1orf162	0.00453248718918975	0.941795739333977	0.957894811801225	muscat_pb_DESeq2	Census_218acb0f_DiseaseVsNormal
