gene_id	log2FC	pvalue	padj	tool	comparison_id
Vti1b	0.391100761242074	1.51496754571216e-05	0.000210159191699424	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Sfswap	-0.260923288655597	0.00282607098985993	0.0140478626909142	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Ifit3	-4.86819938282367	4.00973374718656e-15	1.46682000818377e-12	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Hmbox1	0.0498679428930506	0.673593293608222	0.789589480295325	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Rab2b	-0.207723721297578	0.166392048208623	0.306557407229354	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Megf9	-0.0475532257692611	0.704180588941137	0.811549973340701	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Ptov1	0.0449896582249242	0.694759348529569	0.804754085308614	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
2700049A03Rik	0.273932690121995	0.0866668871393813	0.191672378924243	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Krt10	-0.288688995648931	0.0203294986414154	0.0651347426458946	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Chchd7	0.0816520629650956	0.471840567739497	0.628571123697747	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Rims2	0.0526426023063282	0.706529141722845	0.813253904754905	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Hnrnpl	-0.279650397210504	0.00457554473158554	0.0204862444759159	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Fn3k	0.0922266683477571	0.597707365711097	0.733725534567301	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Zcchc17	0.12652669015374	0.278129953055916	0.439836255186828	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Vcpip1	-0.281495538961148	0.00566407444973422	0.0242707433145444	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Atp11a	-0.754518063353587	3.22727376177956e-05	0.000393042946302055	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Cap1	-0.160626970501849	0.495818274055973	0.648979206579756	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Pde7a	-0.315993283670045	0.0123423763990816	0.0444586621786029	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Sar1a	-0.0302369875574034	0.825229401482073	0.896282251862594	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Gid4	0.0545034706527162	0.666428834988947	0.784356244421571	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Mapre1	-0.349718845798668	2.43610399693921e-06	4.56573039426349e-05	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Rcc2	-0.568358579911215	0.000193326055633601	0.0016532306939334	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Tle2	-0.229059945399381	0.0662432094390293	0.158154261452573	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Ints11	0.0912396436128558	0.511265573849105	0.661484159406289	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Pafah2	0.311794032587571	0.0580222809404288	0.143893306954531	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
Supt4a	0.0923033439645769	0.415471934175772	0.576593549789813	muscat_pb_DESeq2	Census_49e4ffcc_DiseaseVsNormal
