gene_id	log2FC	pvalue	padj	tool	comparison_id
LINC01409	0.385315731609697	0.0548271930957642	0.253798515229196	nebula	Census_4a5b00e0_DiseaseVsNormal
NOC2L	0.18314286362447	0.144653446866104	0.383779481617357	nebula	Census_4a5b00e0_DiseaseVsNormal
ISG15	1.23761130643589	6.64493159472954e-06	0.0034973324182787	nebula	Census_4a5b00e0_DiseaseVsNormal
TNFRSF18	-0.00744865840313962	0.982847415831317	0.991273238357355	nebula	Census_4a5b00e0_DiseaseVsNormal
TNFRSF4	-0.176250401490365	0.587309031029378	0.768628492382382	nebula	Census_4a5b00e0_DiseaseVsNormal
SDF4	0.233662142100881	0.04937289351209	0.244546342279123	nebula	Census_4a5b00e0_DiseaseVsNormal
B3GALT6	0.437455527504488	0.0133694535301161	0.141475698731388	nebula	Census_4a5b00e0_DiseaseVsNormal
UBE2J2	0.144296769456386	0.345317322957896	0.581440180094116	nebula	Census_4a5b00e0_DiseaseVsNormal
ACAP3	0.300391192072727	0.17606224197769	0.417949604198535	nebula	Census_4a5b00e0_DiseaseVsNormal
PUSL1	0.507473177747644	0.00743209293068187	0.110182546008877	nebula	Census_4a5b00e0_DiseaseVsNormal
INTS11	0.15549275557072	0.288741834651102	0.529862138690975	nebula	Census_4a5b00e0_DiseaseVsNormal
CPTP	0.483984023808342	0.0176686779010592	0.159897537566146	nebula	Census_4a5b00e0_DiseaseVsNormal
AURKAIP1	0.233714499172156	0.0734922667622577	0.284743381488794	nebula	Census_4a5b00e0_DiseaseVsNormal
CCNL2	0.104270352807626	0.456417029611184	0.674275416769366	nebula	Census_4a5b00e0_DiseaseVsNormal
MRPL20	0.116012417872857	0.198372870638	0.441613692426536	nebula	Census_4a5b00e0_DiseaseVsNormal
ATAD3A	0.462259537454358	0.0136055665485242	0.142765651086298	nebula	Census_4a5b00e0_DiseaseVsNormal
SSU72	0.159075871218807	0.157251910222982	0.397098760067207	nebula	Census_4a5b00e0_DiseaseVsNormal
ENSG00000272106	0.269602725795409	0.153000612650645	0.392712044791184	nebula	Census_4a5b00e0_DiseaseVsNormal
MIB2	0.269588499926359	0.11325029429291	0.345036777815195	nebula	Census_4a5b00e0_DiseaseVsNormal
CDK11B	-0.0179029550899148	0.879349180451033	0.94142573539206	nebula	Census_4a5b00e0_DiseaseVsNormal
SLC35E2B	0.242264663221073	0.11140499649359	0.341330941955686	nebula	Census_4a5b00e0_DiseaseVsNormal
CDK11A	0.0877278590064547	0.505007073557034	0.711477984723914	nebula	Census_4a5b00e0_DiseaseVsNormal
SLC35E2A	-0.0217596895536381	0.860779895302021	0.933588810503894	nebula	Census_4a5b00e0_DiseaseVsNormal
NADK	0.233791885631887	0.136534707382208	0.37478646001155	nebula	Census_4a5b00e0_DiseaseVsNormal
GNB1	0.0341677462112727	0.74198124915753	0.866193379824341	nebula	Census_4a5b00e0_DiseaseVsNormal
FAAP20	0.0356960166333164	0.828602894022249	0.915988164959373	nebula	Census_4a5b00e0_DiseaseVsNormal
SKI	0.151699047992539	0.368196155004368	0.599375150585005	nebula	Census_4a5b00e0_DiseaseVsNormal
RER1	0.0965728133347532	0.464999659160781	0.681118586730307	nebula	Census_4a5b00e0_DiseaseVsNormal
PEX10	0.25890968443699	0.188010517601413	0.431019068320526	nebula	Census_4a5b00e0_DiseaseVsNormal
TNFRSF14	0.308205029569394	0.0474122152647168	0.242393738572172	nebula	Census_4a5b00e0_DiseaseVsNormal
PRXL2B	0.636531867726278	0.000746494830435774	0.042959243009224	nebula	Census_4a5b00e0_DiseaseVsNormal
PRDM16	0.435203872812915	0.122637746466997	0.356297926981399	nebula	Census_4a5b00e0_DiseaseVsNormal
TPRG1L	0.19505582512534	0.147386475162958	0.385907450364207	nebula	Census_4a5b00e0_DiseaseVsNormal
WRAP73	0.118588594107813	0.45606017457948	0.674049455954877	nebula	Census_4a5b00e0_DiseaseVsNormal
