gene_id	log2FC	pvalue	padj	tool	comparison_id
LINC01409	0.137154089831712	0.225640597395466	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
NOC2L	-0.0100448576443551	0.933390766945259	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
C1orf159	-0.0893717816054095	0.434508185838778	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
SDF4	0.0300795417846484	0.770672471095819	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
UBE2J2	0.0140863850679114	0.881152535908329	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
ACAP3	0.0609708637457906	0.491180613753234	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
INTS11	0.033820044519472	0.701968500665398	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
DVL1	0.127995672211877	0.214073617876154	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
AURKAIP1	0.0416214152226792	0.789261527986833	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
CCNL2	0.124939954394607	0.0861715273124262	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
MRPL20	0.0183854146351903	0.87704646743578	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
VWA1	-0.0234617502069629	0.872671369734942	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
SSU72	0.0417904601090105	0.641036504658095	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
MIB2	0.186996165815186	0.0864417011217528	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
CDK11B	-0.0664343248470756	0.589866385787392	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
SLC35E2B	0.0593543421944936	0.630674633018489	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
NADK	0.0468721315449933	0.729972874795033	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
GNB1	0.00160754704689911	0.986387720596924	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
PRKCZ	0.018970686326207	0.849091272240751	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
FAAP20	-0.0406387454775058	0.740296118880897	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
SKI	0.0166717962937668	0.882004428993648	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
RER1	0.115328761637512	0.284835976459915	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
WRAP73	0.112080065113192	0.361738135971394	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
LRRC47	0.141753379187154	0.251492175615639	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
CEP104	-0.0609295941720588	0.566513464184647	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
DFFB	0.0293625990236529	0.800326508762184	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
NPHP4	0.039665331346812	0.746829506025021	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
ACOT7	0.194308803542003	0.0672932093081733	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
NOL9	0.165869029301706	0.166107103845723	0.999940863213285	nebula	Census_5e57cd50_DiseaseVsNormal
