gene_id	log2FC	pvalue	padj	tool	comparison_id
LINC01409	-0.0580867329012063	0.162140637078344	0.236012572166439	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
NOC2L	-0.0975532944403278	0.0218416775364585	0.0623313668635414	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
ISG15	-0.0611666994795954	0.139345673516901	0.211033883866275	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
C1orf159	-0.0782510694325892	0.0495095741955548	0.10192551750705	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
TNFRSF18	-0.0711393452982486	0.100314520313272	0.165126782408679	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
TNFRSF4	-0.0872911334539101	0.0410678442240688	0.0908982829217991	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
SDF4	-0.0372308514205475	0.372338674055621	0.45153853268933	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
UBE2J2	-0.050171963367539	0.210064898029677	0.287327175529582	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
ACAP3	-0.145485195288816	0.000644679678079018	0.0152406543281092	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
INTS11	-0.153176826081161	0.000376761843148373	0.0120112757267544	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
AURKAIP1	-0.0634024216105439	0.134323768909572	0.205419435555241	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
CCNL2	-0.156361207985587	0.00129647160748332	0.0201988689253642	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
MRPL20	-0.0825923089411342	0.060035205584955	0.115186503424703	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
SSU72	-0.0847938498166817	0.0467686341926411	0.0984188429979822	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
MIB2	-0.0917523321682017	0.0320647153553902	0.078163095020083	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
CDK11B	-0.117288218815595	0.00710471171038658	0.0379525198204411	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
SLC35E2B	-0.0514912129743993	0.195770538142499	0.272698896980776	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
CDK11A	-0.0977893908296941	0.0337309383581324	0.0806597046296106	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
SLC35E2A	-0.079562695133144	0.0518976089020791	0.105119726356247	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
NADK	-0.102527748458428	0.0170847970504576	0.0552745700570826	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
GNB1	-0.0208923986313247	0.704310417294052	0.759036983828055	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
PRKCZ	-0.135125719636913	0.0036609412280795	0.0299586025211088	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
FAAP20	-0.0830570224731105	0.0389384223387665	0.0877584456587031	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
SKI	-0.177604490055389	0.00169518052590071	0.0222756967923878	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
RER1	-0.0217743918008618	0.577990599588383	0.645871717050378	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
PANK4	-0.127964664921205	0.0016218308170121	0.0219838930520174	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
TNFRSF14-AS1	-0.0918965869185287	0.027861374346041	0.0715346662203783	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
TNFRSF14	-0.0489098308756587	0.260274427585063	0.33960650780932	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
WRAP73	-0.111107850070405	0.00959211023197037	0.0431299920502265	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
LRRC47	-0.106445806834596	0.00995825477662218	0.0438303467280906	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
CEP104	-0.0982274493011158	0.0161252406458752	0.0535188869760213	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
DFFB	-0.1078899318093	0.0097683053244189	0.043472653869243	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
NPHP4	-0.0746940780469235	0.0631917431817517	0.119027581807782	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
KCNAB2	-0.0504646439649922	0.295934314018128	0.375751115681357	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
RPL22	0.104267105377208	0.0697426136994232	0.12757017322009	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
ICMT	-0.130524503850792	0.00155635573124168	0.0215844806789026	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
ACOT7	-0.10766087608742	0.0189882256483273	0.0581925395290447	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
TNFRSF25	-0.0707945899800931	0.127355991393918	0.197298205102893	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
NOL9	-0.0853737989180428	0.0396375568719999	0.0888734459013451	muscat_mm_dream	Census_67b6b9ac_DiseaseVsNormal
