gene_id	log2FC	pvalue	padj	tool	comparison_id
ISG15	0.754697805859075	0.00433637471614722	0.185084357202829	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
SDF4	0.236184561606959	0.214723587767845	0.631977145459899	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
UBE2J2	0.433990517845984	0.0205642912039536	0.287159745733929	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
AURKAIP1	0.148820501068097	0.399166712596909	0.751250037262039	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
SSU72	0.135031183478238	0.377043813293125	0.738934057884848	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
GNB1	0.142359072872109	0.138173694946654	0.544650878260174	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
SKI	0.260306563830165	0.165925761972545	0.577711996149665	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
KCNAB2	0.223483846704165	0.109171252257549	0.504254728622536	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
RPL22	-0.219068445242504	0.087183971920875	0.459060278319822	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
CAMTA1	0.205903703693407	0.224012226157762	0.635886558407235	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
PARK7	-0.058096738752336	0.667939648028745	0.900357889976888	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
RERE	0.0429673128244083	0.761792080621402	0.931464990886844	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
ENO1	0.168903368315525	0.278086462871663	0.67378179948929	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
PIK3CD	-0.0911161916624903	0.568861790948994	0.846022698918784	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
CLSTN1	0.117572139800929	0.425168555767818	0.767694675231731	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
UBE4B	0.262383162012482	0.150475678518846	0.556286071374789	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
TARDBP	-0.270817110798759	0.184049113329486	0.606831996185904	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
SRM	0.457040967523832	0.00711447642851169	0.210962948411762	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
MTOR	0.123851211790873	0.492256200463322	0.801135540885688	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
TNFRSF1B	0.416649354000845	0.0238070290607112	0.30468445576019	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
VPS13D	0.135032920750455	0.291364685374972	0.682995915534108	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
DHRS3	0.569175727449955	0.0164740489339107	0.257818865815703	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
PRDM2	-0.00506288171052706	0.974915916992226	0.990742474086255	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
EFHD2	0.373493396663531	0.0546039433849354	0.414607300580493	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
SPEN	-0.0700463335981597	0.641981258621838	0.886352808039507	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
FBXO42	0.211187118330995	0.260782134286953	0.667305496559261	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
SZRD1	0.336973583339106	0.0751887188893906	0.44403903796942	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
SDHB	0.00339911050490059	0.982992380880684	0.993709864154888	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
CAPZB	0.165915097045705	0.0789125861201112	0.448570390162736	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
MICOS10	-0.132291294925895	0.477288737295417	0.790430554356961	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
DDOST	0.0881425250239492	0.639889353608814	0.88578295288257	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
HP1BP3	-0.176017873551726	0.305783846054077	0.688563624567814	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
EIF4G3	0.145779000388051	0.350511989750231	0.721435345836419	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
ECE1	0.0999174752142142	0.595186412869301	0.855865301201031	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
USP48	-0.0120174505105314	0.941820266562662	0.984621047285881	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
CDC42	-0.375478846007888	0.00893174225663235	0.224353168251621	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
LUZP1	0.489764508086636	0.0064815798709764	0.202331108159753	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
HNRNPR	-0.333637516346404	0.0350582977558695	0.367924446247775	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
ID3	-0.0945420040952223	0.707041307242955	0.917920824737047	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
RPL11	-0.0862108144821587	0.413930981571066	0.760583021072943	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
LYPLA2	0.267002383636967	0.167701052883802	0.581790475337031	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
SRSF10	-0.0524239336207983	0.75127136348256	0.930848122465735	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
NIPAL3	0.0108387622317339	0.947836702781494	0.985624212526935	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
RCAN3	-0.10677747766672	0.531578584559863	0.827874871930529	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
SRRM1	-0.180462781185389	0.268292302932732	0.671330309535258	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
RUNX3	0.466029945586076	0.00175226352945348	0.137114621179735	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
RSRP1	-0.116404217582863	0.475135362466938	0.787790651011986	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
TMEM50A	-0.305712722587225	0.0937752222270305	0.472628942237275	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
MAN1C1	-0.183122797370013	0.274517882621577	0.671550526808684	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
STMN1	-0.486168134037555	0.181227837680768	0.603091805922513	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
CD52	-0.173094084505035	0.224687929232336	0.635886558407235	muscat_pb_DESeq2	Census_6a270451_DiseaseVsNormal
