gene_id	log2FC	pvalue	padj	tool	comparison_id
LINC01409	-0.00207769437004973	0.974892863652037	0.987533289760977	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
NOC2L	-0.0231134708319506	0.739702306223564	0.847349511684292	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
AGRN	-0.565352926536658	5.99625710009494e-06	0.00245534046333292	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
C1orf159	0.0530340971802341	0.422537999054367	0.6108688724221	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
SDF4	-0.0862119165144611	0.354512995577094	0.550315112662362	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
UBE2J2	-0.0242921592062855	0.641612841649905	0.785616311558596	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
ACAP3	-0.0814144287781608	0.313521017479263	0.509624540766032	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
INTS11	0.136170507735476	0.0576791605913791	0.179406409304445	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
DVL1	-0.0784515529141811	0.331295952442009	0.52801646608226	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
CCNL2	-0.0645028664993856	0.130347457770694	0.297257600389269	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
MRPL20	0.00236802001736855	0.977651024222746	0.988409696335136	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
ATAD3A	-0.129383126073021	0.0736812572616055	0.208139144806795	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
SSU72	-0.0136093829385907	0.865624757084575	0.926361043006433	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
MIB2	-0.0565472664519028	0.405155009236442	0.594853926349203	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
SLC35E2B	0.0011987361169399	0.98361812978557	0.992150625161963	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
SLC35E2A	0.00802175351021867	0.912074299161335	0.952956985899525	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
NADK	-0.0679875614872579	0.214915760769611	0.404204929038201	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
GNB1	0.087722926892983	0.00857444736979534	0.0632991261690364	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
GABRD	-0.166542676637934	0.0935115590189333	0.239773228253675	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
PRKCZ	0.0300846494473368	0.432171022868354	0.619739769868122	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
SKI	0.0965713354815977	0.119014480767752	0.280034072394711	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
RER1	-0.031884614601329	0.621498932151853	0.773182572066564	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
TPRG1L	0.110354338897345	0.378481320174142	0.573432526492345	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
LRRC47	0.00143184253060492	0.985758565213251	0.993107561165878	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
CEP104	-0.0548692215163273	0.116892203265697	0.277061396695181	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
DFFB	-0.0365451737018789	0.515856842522351	0.692513635995386	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
NPHP4	-0.0546281718570321	0.223710429157001	0.413727096574236	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
KCNAB2	0.0694342471957758	0.0681047037986168	0.197519442571394	muscat_pb_DESeq2	Census_6f7fd0f1_DiseaseVsNormal
