gene_id	log2FC	pvalue	padj	tool	comparison_id
NOC2L	-0.165123566282869	0.00655866018071406	0.0199243262926801	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
HES4	0.245389305417418	1.32175265440737e-05	0.00121991520754915	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
ISG15	0.134637661481766	0.015724639976077	0.0258671491628179	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
AGRN	-0.170065283997861	0.0305214103374246	0.0409903442619187	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
SDF4	0.00367084917758049	0.943709464840416	0.948165844308667	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
B3GALT6	-0.201170147494209	0.00868162142095012	0.0205699972707374	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
UBE2J2	-0.155870142363456	0.00332008694771181	0.0179934288943696	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
ACAP3	-0.145024862046264	0.029749896803622	0.0401645697362251	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
PUSL1	-0.188967115281926	0.0137008451862562	0.0241454090756746	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
INTS11	-0.052060499003396	0.424797209663994	0.449854082033245	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
CPTP	-0.180871745638832	0.0156000770196792	0.0257679282811284	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
DVL1	-0.179367952363939	0.0126485927809945	0.0232853328074273	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
MXRA8	0.0739792797845854	0.493882666356164	0.518348726234429	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
AURKAIP1	-0.0140327278007794	0.726715467349573	0.745272759049916	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
CCNL2	0.0220349920824873	0.63421792609602	0.657084465495255	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
MRPL20	-0.100502100638257	0.00713595411187625	0.0201751600561952	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
VWA1	-0.0827642462778468	0.248239563956354	0.271389049914019	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
ATAD3A	-0.187300764029439	0.00790704484344468	0.0203737305937765	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
SSU72	-0.0964636109603914	0.0384040918120999	0.0497076000674345	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
FNDC10	-0.18531336290782	0.0263718798070316	0.036537138851275	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
MIB2	-0.153477702846467	0.0162452248328969	0.0263935415644141	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
MMP23B	-0.0547971754101508	0.47517439800796	0.500130931489275	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
CDK11B	-0.190607417114395	0.00124462354172512	0.0135503190852979	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
SLC35E2B	-0.222697451062583	0.00384453828451737	0.0186927830135648	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
CDK11A	-0.194186602467797	0.0017220624767521	0.0152609711763392	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
SLC35E2A	-0.192900330983489	0.00987594164627252	0.0210813109510285	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
NADK	-0.148674364402693	0.023879408671531	0.0339726969291947	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
GNB1	-0.136893937782447	0.020877386681367	0.0309478011879143	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
FAAP20	0.0107512053732789	0.811486762540458	0.825688606573523	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
SKI	-0.13729183881292	0.0225650864512311	0.0325925871559788	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
RER1	-0.0781201728890387	0.0850097583039752	0.100496226863666	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
PEX10	-0.206523993564491	0.00638360486776683	0.0198737981635562	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
MEGF6	-0.0995061364361938	0.0921813338914496	0.108168662158472	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
TPRG1L	-0.259861887247071	0.000523013435918654	0.00939661173415496	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
WRAP73	-0.185870795724825	0.0153889227875273	0.0255629946636665	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
SMIM1	-0.191055725288943	0.0143177689694919	0.0246266642117949	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
LRRC47	-0.270436951784066	0.000371133068252616	0.0082436709552946	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
CEP104	-0.206871552208385	0.00662628969672837	0.0199243262926801	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
C1orf174	-0.167561252184669	0.0136702371914769	0.0241267864304217	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
NPHP4	-0.208986030501593	0.00874841983924461	0.0205699972707374	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
RPL22	0.290815689358263	0.299176740811018	0.32395965437035	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
ICMT	-0.193041520097017	0.00894359369260857	0.0206644955929033	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
ACOT7	-0.170050496358299	0.0281261164453322	0.0384341574820063	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
TNFRSF25	-0.174260875436459	0.0301078862147086	0.0405562462320938	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
PLEKHG5	-0.178378573366238	0.0254934434606361	0.0356103414731612	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
NOL9	-0.216859106425598	0.00298061843245672	0.0175195396841833	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
ZBTB48	-0.191971713908312	0.0120964482583147	0.022819181773844	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
KLHL21	-0.00509037112829007	0.934642462854237	0.940261128441371	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
PHF13	-0.118479711581643	0.0846017025161632	0.100061150226095	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
THAP3	-0.170906986212302	0.0102773267547302	0.0214200224150274	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
DNAJC11	-0.218176553021522	0.00390392637616167	0.0187162633030561	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
CAMTA1	0.0413688831709636	0.346493462432262	0.37177410132217	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
VAMP3	-0.226792213309984	0.000383782294703875	0.00831374715157666	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
PER3	-0.17762377926093	0.00442163363486348	0.0191007331485986	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
PARK7	0.159546318244601	0.128348696087184	0.146664256631626	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
ERRFI1	0.0019021886630837	0.978371095196108	0.979938997592255	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
RERE	-0.21004858647403	0.00116323233826935	0.0131736391649983	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
ENO1	-0.0717836081558038	0.476627769470663	0.50155505574099	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
H6PD	-0.244200920507139	0.000532450952880198	0.00939661173415496	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
SPSB1	-0.0281289136165039	0.672051793407536	0.693408783953298	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
SLC25A33	-0.0883266167590532	0.197229228546999	0.218706174924595	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
CLSTN1	-0.246509954013199	0.000344694653811353	0.00788883831533065	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
CTNNBIP1	-0.153823146090073	0.0280507311966799	0.0383730932923118	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
LZIC	-0.150891587186398	0.00571445652441177	0.0196410482568719	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
UBE4B	-0.172391095082514	0.00789666178140859	0.0203668672484908	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
KIF1B	-0.102858986302548	0.0982506287690997	0.114497030165189	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
PGD	-0.173924515381767	0.00884853805310528	0.0206043322798942	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
DFFA	-0.240344469273208	0.000855466473029709	0.0115136806598884	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
PEX14	-0.199357965888758	0.010920650664515	0.0218413697275795	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
TARDBP	-0.118218100756796	0.0417162811366455	0.0532706948495026	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
SRM	-0.0815175854037562	0.0933874953716744	0.109455573572052	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
EXOSC10	-0.228648240029799	0.00147355088471455	0.0143761061923371	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
MTOR	-0.230691989133233	0.00440354862536262	0.0191007331485986	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
UBIAD1	-0.226357538250312	0.00332780632795289	0.0179934288943696	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
FBXO44	-0.123183857324225	0.08307920959742	0.0984467467678871	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
FBXO6	-0.192710601176449	0.0124939075613556	0.0231655528211075	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
MAD2L2	-0.118973489058972	0.0536675745046971	0.066593342231911	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
AGTRAP	-0.0570081786732914	0.28762403250075	0.311956651302332	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
C1orf167	-0.182801095353885	0.0231071124590138	0.0331474859546892	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
MTHFR	-0.115810071751469	0.0811289895046914	0.0963527191267119	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
CLCN6	-0.201833357902057	0.0152427902313546	0.0254441176200138	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
KIAA2013	-0.143548934875521	0.0325365989164131	0.0432616586854863	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
PLOD1	-0.141421702896186	0.0423964047027449	0.0539875266811981	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
MFN2	-0.215856530976066	0.00471475376542194	0.0193497656330895	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
MIIP	-0.17773764566997	0.0131774133639882	0.0236961218557601	muscat_mm_dream	Census_a19d1667_DiseaseVsNormal
