gene_id	log2FC	pvalue	padj	tool	comparison_id
ISG15	1.32896264307971	0.000106234256452491	0.000699550479248416	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
SDF4	-0.0168428184830571	0.908663637822673	0.936198899574876	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
MXRA8	-0.222864209811814	0.13330193391637	0.214157205308267	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
AURKAIP1	0.04347852999669	0.80825521473322	0.858223829028391	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
MRPL20	-0.340197360199122	0.0135333479774573	0.0350646309960247	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
MMP23B	0.322597681938169	0.571767301642789	0.666023158308742	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
GNB1	-0.428147658317223	0.0915683777590094	0.158085924711409	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
SKI	-0.298288605517884	0.242311313060804	0.341531850726987	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
RER1	-0.197415912448685	0.18361142802403	0.276079999176926	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
RPL22	0.277289274876667	0.180575090671064	0.272005516327299	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
PARK7	0.0217581567786171	0.856239804278465	0.897166989891775	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
ERRFI1	0.23682162652845	0.54656966686012	0.643523014126473	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
ENO1	-0.304176511811252	0.108063040311553	0.179673677803441	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
CLSTN1	-1.26291994261471	1.53604793945823e-05	0.000139256802105837	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
MFAP2	0.668856993703564	0.118391638904016	0.194517229205218	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
CAPZB	0.241416007892508	0.192836539764778	0.286333043893155	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
MICOS10	2.97240593623177	0.298930272423625	0.40195143975606	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
NBL1	-0.0356188246691511	0.858130851456579	0.898018843295641	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
DDOST	-0.246530888458872	0.176487990047522	0.267542303384142	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
HP1BP3	-0.310799641693951	0.105846567040124	0.176870993669856	muscat_pb_DESeq2	Census_a19d1667_DiseaseVsNormal
