gene_id	log2FC	pvalue	padj	tool	comparison_id
NOC2L	0.234317087244223	0.576564871029043	0.799562988530083	nebula	Census_a19d1667_DiseaseVsNormal
HES4	2.46468578274812	0.000876463582876489	0.0289261908540095	nebula	Census_a19d1667_DiseaseVsNormal
ISG15	1.79256826009025	0.000399432115633496	0.0170770858698151	nebula	Census_a19d1667_DiseaseVsNormal
AGRN	1.2357289293155	0.00887489578231404	0.107574494331079	nebula	Census_a19d1667_DiseaseVsNormal
SDF4	0.693449885759115	0.0503805207325356	0.253678352127571	nebula	Census_a19d1667_DiseaseVsNormal
B3GALT6	0.212053865617803	0.549350356682772	0.783167930082738	nebula	Census_a19d1667_DiseaseVsNormal
UBE2J2	0.285898136863889	0.393555877466303	0.679620386749826	nebula	Census_a19d1667_DiseaseVsNormal
ACAP3	0.498372253203286	0.0917173728374799	0.339212518097883	nebula	Census_a19d1667_DiseaseVsNormal
PUSL1	0.51598754509109	0.10818372550892	0.366556164775536	nebula	Census_a19d1667_DiseaseVsNormal
INTS11	1.26590186304984	0.025524446844398	0.184060886746837	nebula	Census_a19d1667_DiseaseVsNormal
CPTP	0.552689527708916	0.0875236463938163	0.33165459035171	nebula	Census_a19d1667_DiseaseVsNormal
DVL1	0.411710270667426	0.261053647825421	0.557092718364107	nebula	Census_a19d1667_DiseaseVsNormal
MXRA8	0.559513780956997	0.0369806142083665	0.217405139378992	nebula	Census_a19d1667_DiseaseVsNormal
AURKAIP1	0.7250410650132	0.0634246908901749	0.283238634903714	nebula	Census_a19d1667_DiseaseVsNormal
CCNL2	0.808055037377441	0.0694119767997965	0.296886128313929	nebula	Census_a19d1667_DiseaseVsNormal
MRPL20	0.310410465159403	0.340749124022656	0.635619713798231	nebula	Census_a19d1667_DiseaseVsNormal
VWA1	1.64667446776892	0.00106213610855546	0.0322272509657451	nebula	Census_a19d1667_DiseaseVsNormal
ATAD3A	0.450406734098296	0.315234838102513	0.612493118695072	nebula	Census_a19d1667_DiseaseVsNormal
SSU72	0.433489796828987	0.0684015525018919	0.29494880451933	nebula	Census_a19d1667_DiseaseVsNormal
FNDC10	1.75683007603031	0.00526644389353816	0.0811552614015602	nebula	Census_a19d1667_DiseaseVsNormal
MIB2	0.501804158636906	0.198767195813514	0.491876257890408	nebula	Census_a19d1667_DiseaseVsNormal
MMP23B	0.590564772340026	0.429604892313953	0.706946800667152	nebula	Census_a19d1667_DiseaseVsNormal
CDK11B	-0.0885572824466773	0.806234867372777	0.924894305511177	nebula	Census_a19d1667_DiseaseVsNormal
SLC35E2B	-0.2864309357906	0.398227962197971	0.682832582643983	nebula	Census_a19d1667_DiseaseVsNormal
CDK11A	0.0690668834713067	0.86563826450899	0.948989563791938	nebula	Census_a19d1667_DiseaseVsNormal
SLC35E2A	0.533583389451586	0.503858703551929	0.753828102262013	nebula	Census_a19d1667_DiseaseVsNormal
NADK	0.674514252748355	0.0624503744062246	0.281815768981158	nebula	Census_a19d1667_DiseaseVsNormal
GNB1	0.10219989330109	0.751472983343495	0.896652827372489	nebula	Census_a19d1667_DiseaseVsNormal
FAAP20	0.949118261559728	0.0114532583335409	0.123418732042467	nebula	Census_a19d1667_DiseaseVsNormal
SKI	0.0728456620877929	0.810596864300305	0.926475479591073	nebula	Census_a19d1667_DiseaseVsNormal
RER1	0.50649027540723	0.129509287612897	0.399843431963251	nebula	Census_a19d1667_DiseaseVsNormal
PEX10	-0.120879522196684	0.694770332112652	0.86944103630666	nebula	Census_a19d1667_DiseaseVsNormal
MEGF6	0.543129549390367	0.0882437353308046	0.332387207161367	nebula	Census_a19d1667_DiseaseVsNormal
TPRG1L	-0.561349809668592	0.0361450607931431	0.215662086360979	nebula	Census_a19d1667_DiseaseVsNormal
WRAP73	0.489122236469192	0.114945862142122	0.377400273382631	nebula	Census_a19d1667_DiseaseVsNormal
SMIM1	0.522098484177083	0.201503759537784	0.495263870453904	nebula	Census_a19d1667_DiseaseVsNormal
LRRC47	-1.18912054245526	0.00322136273932605	0.0631639752809029	nebula	Census_a19d1667_DiseaseVsNormal
CEP104	-0.0578269687588547	0.822400965926028	0.931371422339782	nebula	Census_a19d1667_DiseaseVsNormal
C1orf174	0.287889500334767	0.256697489927513	0.553585270492804	nebula	Census_a19d1667_DiseaseVsNormal
NPHP4	0.0581442208122665	0.866872427285307	0.949466533261517	nebula	Census_a19d1667_DiseaseVsNormal
RPL22	0.545809555686271	0.15354680213146	0.435841050614418	nebula	Census_a19d1667_DiseaseVsNormal
ICMT	0.269157263446096	0.309695991955166	0.606012827593008	nebula	Census_a19d1667_DiseaseVsNormal
ACOT7	1.08044708263217	0.00104279192779367	0.0318656427412621	nebula	Census_a19d1667_DiseaseVsNormal
TNFRSF25	1.40625124806434	0.0014792693191078	0.0397013679867476	nebula	Census_a19d1667_DiseaseVsNormal
PLEKHG5	1.04579647210019	0.023889971010566	0.178106893786645	nebula	Census_a19d1667_DiseaseVsNormal
NOL9	-0.242073202811078	0.494477397119375	0.748301145761766	nebula	Census_a19d1667_DiseaseVsNormal
ZBTB48	0.254313881830521	0.470452787169658	0.730908626230353	nebula	Census_a19d1667_DiseaseVsNormal
KLHL21	1.57366684611825	0.000973266631635628	0.0304475816645172	nebula	Census_a19d1667_DiseaseVsNormal
PHF13	0.897323712346783	0.0325942817772133	0.205382997966057	nebula	Census_a19d1667_DiseaseVsNormal
THAP3	0.328608678166743	0.357212179487202	0.650659707626962	nebula	Census_a19d1667_DiseaseVsNormal
DNAJC11	-0.374630139978596	0.220408682685594	0.51497525215027	nebula	Census_a19d1667_DiseaseVsNormal
CAMTA1	0.858802332680031	0.0441976865539833	0.236835119978967	nebula	Census_a19d1667_DiseaseVsNormal
VAMP3	-0.148892995844566	0.504996576318616	0.754627280810842	nebula	Census_a19d1667_DiseaseVsNormal
PER3	-0.139638739791166	0.673222638326845	0.855992518950679	nebula	Census_a19d1667_DiseaseVsNormal
PARK7	0.716298334061388	0.0329154373137299	0.206303942436787	nebula	Census_a19d1667_DiseaseVsNormal
ERRFI1	0.980118854791979	0.0279440484550714	0.191923409718897	nebula	Census_a19d1667_DiseaseVsNormal
RERE	-0.325802906816264	0.365505064735615	0.655520244221612	nebula	Census_a19d1667_DiseaseVsNormal
ENO1	0.446703167207168	0.170649693362066	0.46059296453999	nebula	Census_a19d1667_DiseaseVsNormal
H6PD	-0.525947258600758	0.0865190623673436	0.329722036460913	nebula	Census_a19d1667_DiseaseVsNormal
SPSB1	1.21592744137744	0.0351782413275761	0.213946785861267	nebula	Census_a19d1667_DiseaseVsNormal
SLC25A33	1.25250883410808	0.0744292762204757	0.306924850393714	nebula	Census_a19d1667_DiseaseVsNormal
CLSTN1	-0.397647256872229	0.122944493592223	0.389681437693258	nebula	Census_a19d1667_DiseaseVsNormal
CTNNBIP1	0.683816906812333	0.0486411152158278	0.248342444234841	nebula	Census_a19d1667_DiseaseVsNormal
LZIC	0.33849533541001	0.378435613704655	0.666408922666105	nebula	Census_a19d1667_DiseaseVsNormal
UBE4B	0.209756763055043	0.588812601703415	0.806813649908762	nebula	Census_a19d1667_DiseaseVsNormal
KIF1B	0.255884838725383	0.570065675182312	0.794668440344431	nebula	Census_a19d1667_DiseaseVsNormal
PGD	0.35184089850417	0.220940932655375	0.515494476564105	nebula	Census_a19d1667_DiseaseVsNormal
DFFA	-0.600600535070519	0.023665353545249	0.177401450863936	nebula	Census_a19d1667_DiseaseVsNormal
PEX14	0.192510629080538	0.442791611639678	0.713447518296383	nebula	Census_a19d1667_DiseaseVsNormal
TARDBP	0.438575812322466	0.0886419774041804	0.33299014802472	nebula	Census_a19d1667_DiseaseVsNormal
SRM	0.704956936379697	0.0509216021597268	0.254399554025431	nebula	Census_a19d1667_DiseaseVsNormal
