dataset_short	organism	status	seconds	n_tools_written
f14bc322	Homo sapiens	ok	477.5	3
ebc2e1ff	Homo sapiens	ok	491.6	3
218acb0f	Homo sapiens	ok	538.2	3
c2876b1b	Homo sapiens	ok	584.9	3
6f7fd0f1	Homo sapiens	ok	582.9	3
9dbab10c	Homo sapiens	ok	523.9	3
5c97eeeb	Homo sapiens	ok	631.4	3
9f222629	Homo sapiens	ok	618.5	3
d3cb449b	Homo sapiens	ok	497.0	3
37a17b78	Homo sapiens	ok	1218.2	3
b2dd6bc9	Mus musculus	ok	340.4	3
5d6d404a	Mus musculus	ok	446.3	3
a48343a2	Mus musculus	ok	459.9	3
b6f472f1	Mus musculus	ok	500.0	3
7b6bab5a	Mus musculus	ok	431.5	3
49e4ffcc	Mus musculus	ok	474.1	3
