gene_id	log2FC	pvalue	padj	tool	comparison_id
Vti1b	0.46621604295305	0.0295475059589577	0.215277963499596	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Sfswap	-0.342982158155923	0.141226250546919	0.453052701557983	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Ifit3	2.27332458527921	2.46010882257098e-06	0.000463352034774234	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Hmbox1	-0.493564266898585	0.0773250745414019	0.342834667296736	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Haus3	-0.710169524776412	0.0558760342834962	0.294872358058856	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Rab2b	-0.229011595922201	0.518143453211179	0.779085907570487	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Megf9	-1.04062556700265	0.0996917604969707	0.384856563779003	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Ptov1	0.121529902892369	0.814630832770335	0.930324835276346	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
2700049A03Rik	-0.684352589486163	0.00626126503388318	0.0951750135605231	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Krt10	0.282851529874117	0.637915965475621	0.844632819503614	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Chchd7	0.59118440398442	0.0779270840747407	0.343905121006138	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Hnrnpl	-0.910105662411492	0.00742591690688328	0.103455803963037	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Zcchc17	-0.160580729103431	0.555700746953134	0.802943040647926	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Vcpip1	-0.490875608574038	0.515224890903272	0.778058748622786	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Atp11a	-0.10521991001608	0.655911242423474	0.854368228261139	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Cap1	-1.61342788114712	0.000159629934432066	0.0127106957546964	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Pde7a	-1.22505679941994	0.00720378508355663	0.102251987113556	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Sar1a	0.442026323170667	0.172108674434257	0.497143091975986	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Plvap	0.867732990281701	0.24376171393214	0.569453873274127	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Gid4	-0.401650393904654	0.287018285522115	0.609882775324161	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Mapre1	-0.0762566630444269	0.859365525543777	0.947586965139784	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Rcc2	-0.65660056827653	0.0511105296826681	0.281232429283142	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Tle2	-0.997931183506435	0.0874019159708149	0.364106492989435	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Ints11	-8.30942548241926	0.0131119768598004	0.139749046216753	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Mcoln2	1.40851437443145	0.189409078244736	0.516736805280537	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Supt4a	0.509399311395987	0.00506949622277197	0.0871545662973454	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Adnp2	0.26181771309987	0.383540453446771	0.685656706215518	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Apbb1	0.0978108383560958	0.772122960496617	0.911229308537873	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Kdm5a	-0.545367989786152	0.0358323040685537	0.236643011495223	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Rbbp4	-0.686081437928936	3.17839005726461e-05	0.00379623807571337	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Amot	-0.547888927992727	0.183673100749342	0.511485455996321	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Kif3a	-0.868984512905782	0.00473968036644566	0.0847088129725707	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Pvt1	0.122543025691029	0.726644475217625	0.890373575663883	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Commd1	0.450931989557784	0.249710496548429	0.574909403666036	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Cc2d1a	-0.117192815105466	0.632828154067731	0.841772817789125	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Ier3	0.324336537696512	0.619207287712501	0.834587189677735	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Psmd2	-0.0829224249088926	0.614550726203146	0.831837452240469	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Stk40	-0.219492270252376	0.567197118916502	0.808960038250797	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Mrps26	-0.0213257722357672	0.91595885444552	0.972602982479825	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
Fam177a	1.24411228588909	0.462437876256262	0.744675527795763	muscat_pb_DESeq2	Census_b2dd6bc9_DiseaseVsNormal
