gene_id	log2FC	pvalue	padj	tool	comparison_id
NOC2L	0.141998555351217	2.01517803149077e-06	2.89793941047644e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
ISG15	0.406381466080118	0.000113783493727434	0.000128758055592886	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
C1orf159	0.15874264755357	5.15504463462003e-07	9.841627786598e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
TNFRSF18	0.175768539889335	1.80905689008769e-07	5.92923254116479e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
TNFRSF4	0.149038468548608	8.45360110052818e-05	9.65133131696333e-05	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
SDF4	0.14838006137749	4.8486241819969e-06	6.38396863989058e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
B3GALT6	0.175609832810355	8.5518685957386e-08	5.40402296312606e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
UBE2J2	0.123887655324129	4.06982145775536e-05	4.76615699467779e-05	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
ACAP3	0.179555700883036	8.10562667424544e-09	5.40402296312606e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
PUSL1	0.150204202487311	1.72236251604671e-06	2.52879535464206e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
INTS11	0.145087612892363	9.48343859730325e-07	1.54103541281012e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
CPTP	0.16355359067245	9.01342074627114e-08	5.40402296312606e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
DVL1	0.172985684076113	8.65508172916242e-08	5.40402296312606e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
AURKAIP1	0.159666254360623	9.94737025293135e-07	1.59925566767385e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
CCNL2	0.142637158568694	3.25547473807136e-06	4.44676237955384e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
MRPL20	0.147687234696359	4.72008942957392e-06	6.23278678142602e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
ATAD3A	0.184556683172209	1.20806498084883e-08	5.40402296312606e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
SSU72	0.114317578062275	0.00108322857803316	0.00116790143184168	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
SSU72-AS1	0.164239185795717	3.26432219304691e-07	7.40987732496673e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
ENSG00000272106	0.170893451084787	8.88163303925895e-08	5.40402296312606e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
MIB2	0.139067229128924	1.18798293850661e-06	1.84813773880928e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
CDK11B	0.164253907831587	4.10043633507026e-07	8.43537612645599e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
SLC35E2B	0.154151992050672	6.42734465167225e-06	8.27925125634294e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
CDK11A	0.138314842857348	1.41695984620616e-05	1.73476964520833e-05	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
SLC35E2A	0.155478219033437	1.23866826803534e-06	1.91123016206657e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
NADK	0.168381798628757	8.84361950148449e-08	5.40402296312606e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
GNB1	0.155489905298036	2.97849728502603e-07	7.12259051151546e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
PRKCZ	0.155205048037964	1.19942207158213e-06	1.86014589265219e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
FAAP20	0.128109309444565	9.37127066357551e-06	1.17729530949441e-05	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
SKI	0.174160233348363	1.14400152987787e-08	5.40402296312606e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
RER1	0.141449410612791	4.27847640395002e-06	5.69855674473897e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
PEX10	0.165295727705283	1.18913199556296e-06	1.84934991533898e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
ENSG00000272449	0.152032043982507	1.16097372526984e-06	1.81353878023438e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
MEGF6	0.153800665771272	1.37313476235708e-06	2.08556312630176e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
TPRG1L	0.163478498088402	1.81180823943136e-07	5.9321548535295e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
WRAP73	0.157086717341813	1.46592960919777e-06	2.19911432522917e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
SMIM1	0.169058250586339	3.2749884303732e-07	7.42459403847926e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
LRRC47	0.139636918562254	3.81303989361029e-06	5.12505362044393e-06	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
CEP104	0.158394654565625	2.36858359022549e-07	6.44855119578612e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
DFFB	0.163953949977372	3.00155345791184e-07	7.14996059531166e-07	muscat_mm_dream	Census_c7775e88_DiseaseVsNormal
