gene_id	log2FC	pvalue	padj	tool	comparison_id
NOC2L	0.0385620698390411	0.651792731673584	0.788706637714585	nebula	Census_d3cb449b_DiseaseVsNormal
C1orf159	-0.40415050786641	3.8302170563617e-06	0.000257061547406826	nebula	Census_d3cb449b_DiseaseVsNormal
SDF4	-0.0639346004818857	0.424546702126594	0.612621503790179	nebula	Census_d3cb449b_DiseaseVsNormal
UBE2J2	-0.00432468288742729	0.957845614012795	0.978591759310171	nebula	Census_d3cb449b_DiseaseVsNormal
ACAP3	0.0311572036010874	0.665611074614882	0.7996288738766	nebula	Census_d3cb449b_DiseaseVsNormal
INTS11	-0.0133666268586098	0.850465229001726	0.915498536496675	nebula	Census_d3cb449b_DiseaseVsNormal
DVL1	-0.104941679478088	0.171249341567575	0.33944168327662	nebula	Census_d3cb449b_DiseaseVsNormal
AURKAIP1	0.222977689173401	0.0302542040665875	0.1061178676485	nebula	Census_d3cb449b_DiseaseVsNormal
CCNL2	-0.241698945854634	0.000166091196321819	0.00294487936740814	nebula	Census_d3cb449b_DiseaseVsNormal
MRPL20	-0.020985988022516	0.775918132615337	0.872210131087385	nebula	Census_d3cb449b_DiseaseVsNormal
VWA1	-0.110635173491047	0.212329098614435	0.391290372132429	nebula	Census_d3cb449b_DiseaseVsNormal
ATAD3A	0.0202272495145106	0.84662684903723	0.913396104258528	nebula	Census_d3cb449b_DiseaseVsNormal
SSU72	-0.0693179329457202	0.382140579372511	0.571981109672969	nebula	Census_d3cb449b_DiseaseVsNormal
MIB2	-0.0512502612434104	0.520771486476325	0.692423197016787	nebula	Census_d3cb449b_DiseaseVsNormal
CDK11B	0.0450453929423977	0.597936283204115	0.75159907067154	nebula	Census_d3cb449b_DiseaseVsNormal
SLC35E2B	0.241171371616118	0.0400677232147947	0.128649900308914	nebula	Census_d3cb449b_DiseaseVsNormal
NADK	0.0231931361821401	0.826050392507484	0.900818312440004	nebula	Census_d3cb449b_DiseaseVsNormal
GNB1	-0.149173867300361	0.0563504610634742	0.162112948974321	nebula	Census_d3cb449b_DiseaseVsNormal
PRKCZ	0.0559456524480371	0.552494942698773	0.717442653734585	nebula	Census_d3cb449b_DiseaseVsNormal
FAAP20	0.193703711122008	0.049319154393793	0.14819457450058	nebula	Census_d3cb449b_DiseaseVsNormal
SKI	0.340832379791906	0.00478108277289689	0.0298126069051708	nebula	Census_d3cb449b_DiseaseVsNormal
RER1	-0.00527336378727352	0.941057585999045	0.969163322347112	nebula	Census_d3cb449b_DiseaseVsNormal
PEX10	-0.266000928394629	0.0410079326897572	0.130806802838141	nebula	Census_d3cb449b_DiseaseVsNormal
PANK4	0.169129034733946	0.178056165422646	0.347638784532702	nebula	Census_d3cb449b_DiseaseVsNormal
TPRG1L	0.190681822792487	0.0478929457704689	0.145350366526461	nebula	Census_d3cb449b_DiseaseVsNormal
WRAP73	-0.0629467705674354	0.378167837844786	0.568356970456629	nebula	Census_d3cb449b_DiseaseVsNormal
LRRC47	0.0190219106455205	0.844299049731327	0.911477177678902	nebula	Census_d3cb449b_DiseaseVsNormal
CEP104	-0.328233975829528	4.97353046592575e-05	0.00132982098019405	nebula	Census_d3cb449b_DiseaseVsNormal
DFFB	0.101231131218379	0.306272797086059	0.495418265737425	nebula	Census_d3cb449b_DiseaseVsNormal
C1orf174	-0.193228589019944	0.177347402159974	0.347247776981918	nebula	Census_d3cb449b_DiseaseVsNormal
NPHP4	-0.301307548030859	0.00326192782962536	0.0227788256258755	nebula	Census_d3cb449b_DiseaseVsNormal
KCNAB2	-0.266729759716085	0.0102060737400679	0.0513642362358726	nebula	Census_d3cb449b_DiseaseVsNormal
ICMT	0.259679529110695	0.0386377625070344	0.125855903931708	nebula	Census_d3cb449b_DiseaseVsNormal
ACOT7	-0.10267320206337	0.283339687757157	0.471461637570948	nebula	Census_d3cb449b_DiseaseVsNormal
NOL9	-0.167789356541217	0.0112252004783968	0.0548506343402756	nebula	Census_d3cb449b_DiseaseVsNormal
ZBTB48	-0.178349893456746	0.0377520677233579	0.123826522318187	nebula	Census_d3cb449b_DiseaseVsNormal
KLHL21	0.631636304720086	1.38535145645244e-06	0.000141362393515555	nebula	Census_d3cb449b_DiseaseVsNormal
PHF13	0.155495623289143	0.132998260141089	0.287067256941699	nebula	Census_d3cb449b_DiseaseVsNormal
THAP3	0.122301654959965	0.177881975069421	0.34759839349813	nebula	Census_d3cb449b_DiseaseVsNormal
DNAJC11	-0.206902161047412	0.00327678952147732	0.0228506940130915	nebula	Census_d3cb449b_DiseaseVsNormal
CAMTA1	-0.127005521964029	0.129613267559345	0.282443381040194	nebula	Census_d3cb449b_DiseaseVsNormal
VAMP3	-0.0931920772506033	0.230650226737993	0.41290767407446	nebula	Census_d3cb449b_DiseaseVsNormal
PER3	-0.190022364746466	0.0378000301680202	0.12387637465022	nebula	Census_d3cb449b_DiseaseVsNormal
PARK7	-0.0677061423172797	0.334834102378448	0.524701543249205	nebula	Census_d3cb449b_DiseaseVsNormal
