gene_id	log2FC	pvalue	padj	tool	comparison_id
LINC01409	0.0321323436327554	0.120589452519736	0.741745537513486	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
NOC2L	0.0423680537839135	0.110216944592701	0.722003518189986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
ISG15	0.23035342206873	0.138639627374174	0.77565525478136	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
C1orf159	0.0161628533270779	0.461861023571801	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
TNFRSF18	0.0266942714888309	0.279234986179137	0.91582481528087	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
TNFRSF4	0.0562655614709869	0.0503908195790511	0.5187106677773	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
SDF4	0.0573036192948319	0.159294348079025	0.807168175666933	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
UBE2J2	0.0150064934573385	0.559115993942694	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
PUSL1	0.0237780061842197	0.280980004718548	0.917635547741829	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
INTS11	0.0420852601050539	0.146672654259496	0.789411486864888	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
CPTP	0.0104573435071922	0.635255773348505	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
AURKAIP1	0.0435636905469756	0.202583392217693	0.856559646272275	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
CCNL2	0.00362320756477451	0.888735912114984	0.961725438748458	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
MRPL20	0.0295195258404939	0.341490966408188	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
SSU72	0.0799903411917787	0.0129144822279204	0.267289497986994	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
SSU72-AS1	0.00963244346702983	0.662708717651347	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
MIB2	0.0261082794666394	0.272183330921731	0.911290435472256	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
CDK11B	0.0251805332506247	0.281901237026613	0.918843666970707	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
SLC35E2B	0.00828318435898543	0.72751323273102	0.927597021086119	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
CDK11A	0.0519206661292006	0.0800220659985141	0.639734379703339	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
SLC35E2A	0.00342422133586985	0.887489096469864	0.961725438748458	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
NADK	0.0110183281816838	0.643700084415497	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
GNB1	0.018598710673259	0.443130796878994	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
FAAP20	0.0436473434752755	0.117266703000188	0.736155446353158	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
SKI	0.0119739374915948	0.583441715861238	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
RER1	0.033668672757265	0.20660126621367	0.858387282408757	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
PANK4	6.56818546346889e-05	0.997304819232088	0.998849323224674	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
TNFRSF14	0.0234042557269581	0.398282195827315	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
PRXL2B	0.0047966097632087	0.818683617923091	0.945081874321565	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
MMEL1	0.00304503083846691	0.895608149236164	0.963474026542126	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
MEGF6	0.0114463118173223	0.640023672361213	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
TPRG1L	0.00584383025616602	0.798797096545981	0.94026439894985	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
WRAP73	0.000662148757595759	0.97640513910094	0.990425217014124	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
SMIM1	0.0129188053052378	0.561158146604578	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
LRRC47	0.00174520804216482	0.944110065463537	0.980587936709116	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
CEP104	0.00684362458439908	0.761827474510894	0.933268987517939	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
DFFB	0.0119377062890422	0.596785292439856	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
C1orf174	-0.000848783879073318	0.968358476868641	0.987736531505157	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
KCNAB2	0.0256194814257094	0.332983767092067	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
RPL22	-0.146749829600627	0.105184149775814	0.707834116930111	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
ICMT	0.014519024134803	0.528869041057321	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
ACOT7	0.0334173884684471	0.115455444714905	0.730268467519956	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
TNFRSF25	0.00299906944025931	0.890483573780036	0.962005468322019	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
NOL9	0.00181537549839473	0.944914033617874	0.980834057756895	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
ZBTB48	0.00512492020208481	0.802881986137936	0.940619033228238	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
KLHL21	-0.000222837157301846	0.991914775859155	0.99559771183925	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
PHF13	0.00851329612504031	0.695894577599585	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
THAP3	-0.00757786338091546	0.739574801429779	0.92965209258545	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
DNAJC11	0.036557513826372	0.0793036751396587	0.638520858311919	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
CAMTA1	0.0259541283813466	0.264825140902663	0.906989368637692	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
VAMP3	0.023354697623212	0.322742922833158	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
PER3	0.00976245520921347	0.671709417548438	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
PARK7	0.0641594393524119	0.100545582381767	0.697264787668288	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
RERE	0.00862048585708978	0.679059630262126	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
ENO1	0.23319151559214	0.000411692604914054	0.034024182224302	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
H6PD	0.00270328700566592	0.89481195141007	0.963302778996738	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
PIK3CD	0.0227265636357619	0.387536920108915	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
CLSTN1	0.018651337219485	0.40656063848549	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
LZIC	0.0304444396589178	0.220909794358329	0.879439381275275	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
NMNAT1	0.00737560047887367	0.718803822995692	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
UBE4B	0.0133417334668509	0.482985909719382	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
KIF1B	0.0132521022917861	0.557810649493922	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
PGD	0.0325411716300471	0.121556544716328	0.743920102303107	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
DFFA	0.0311202217932366	0.15903995139366	0.807168175666933	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
PEX14	0.00815067437314986	0.65865631739621	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
TARDBP	0.014025335720801	0.515768108192415	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
SRM	0.0158812260991623	0.429745400862175	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
EXOSC10	0.023414725378126	0.41449780161611	0.926917635792986	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
MTOR	0.0210521808519361	0.261888360381758	0.903543522882243	muscat_mm_dream	Census_ebc2e1ff_DiseaseVsNormal
