gene_id	log2FC	pvalue	padj	tool	comparison_id
LINC01409	0.56652049090669	1.98531204288635e-05	0.000340533798093714	nebula	Census_ebc2e1ff_DiseaseVsNormal
NOC2L	0.296637560415517	0.00137139717535361	0.0087797514427248	nebula	Census_ebc2e1ff_DiseaseVsNormal
ISG15	1.37253526380755	0.00122064401055542	0.00801991239149529	nebula	Census_ebc2e1ff_DiseaseVsNormal
C1orf159	0.157598039744822	0.303978087381597	0.488553660208289	nebula	Census_ebc2e1ff_DiseaseVsNormal
TNFRSF18	0.774359417210147	0.00312302974262783	0.0165942069215081	nebula	Census_ebc2e1ff_DiseaseVsNormal
TNFRSF4	1.02105704907332	0.000890569756323745	0.0062716180022799	nebula	Census_ebc2e1ff_DiseaseVsNormal
SDF4	0.527981166483286	0.0286404113806711	0.0897255995635059	nebula	Census_ebc2e1ff_DiseaseVsNormal
UBE2J2	0.158246682299538	0.173574936470829	0.332837845581648	nebula	Census_ebc2e1ff_DiseaseVsNormal
PUSL1	0.431233191087667	0.0117993954418621	0.0458406971323313	nebula	Census_ebc2e1ff_DiseaseVsNormal
INTS11	0.255515687695288	0.000587915405201029	0.00454339571252727	nebula	Census_ebc2e1ff_DiseaseVsNormal
CPTP	0.0568716328235639	0.783415193470109	0.880031367722402	nebula	Census_ebc2e1ff_DiseaseVsNormal
AURKAIP1	0.391209265971516	0.000245228475623724	0.00232664587878296	nebula	Census_ebc2e1ff_DiseaseVsNormal
CCNL2	-0.0665927897640924	0.729307594893524	0.84400832645935	nebula	Census_ebc2e1ff_DiseaseVsNormal
MRPL20	0.234098765138154	0.0279531820510468	0.0879944817975458	nebula	Census_ebc2e1ff_DiseaseVsNormal
SSU72	0.334805460135954	0.000387436449364717	0.00331466721769516	nebula	Census_ebc2e1ff_DiseaseVsNormal
SSU72-AS1	-0.0531948574419338	0.714883966735051	0.834982119056157	nebula	Census_ebc2e1ff_DiseaseVsNormal
MIB2	0.277003351560956	0.0641939230530894	0.163969152115171	nebula	Census_ebc2e1ff_DiseaseVsNormal
CDK11B	0.16465911737163	0.0561453538187023	0.148634948814029	nebula	Census_ebc2e1ff_DiseaseVsNormal
SLC35E2B	0.0476328770397652	0.734353867413889	0.847885772328702	nebula	Census_ebc2e1ff_DiseaseVsNormal
CDK11A	0.362164402373356	0.000365320039955961	0.00317118090239549	nebula	Census_ebc2e1ff_DiseaseVsNormal
SLC35E2A	-0.0441950854733895	0.807997111027714	0.894313028594249	nebula	Census_ebc2e1ff_DiseaseVsNormal
NADK	0.112833881260486	0.40619499399527	0.587921542908192	nebula	Census_ebc2e1ff_DiseaseVsNormal
GNB1	0.215230516880343	0.0620819898923094	0.159645932904297	nebula	Census_ebc2e1ff_DiseaseVsNormal
FAAP20	0.32939700503945	0.0260456009580192	0.0836403370520849	nebula	Census_ebc2e1ff_DiseaseVsNormal
SKI	0.102400975242447	0.483963377530104	0.654004564229871	nebula	Census_ebc2e1ff_DiseaseVsNormal
RER1	0.232560758440461	0.0103820467111777	0.0413627359011064	nebula	Census_ebc2e1ff_DiseaseVsNormal
PANK4	-0.165643968224119	0.461030402083915	0.635991725871037	nebula	Census_ebc2e1ff_DiseaseVsNormal
TNFRSF14	0.168555061278153	0.0836207524485765	0.198035609964167	nebula	Census_ebc2e1ff_DiseaseVsNormal
PRXL2B	-0.203360840497684	0.194226721492485	0.360012458744179	nebula	Census_ebc2e1ff_DiseaseVsNormal
MMEL1	-0.469698633394304	0.154174429047154	0.306205420153235	nebula	Census_ebc2e1ff_DiseaseVsNormal
MEGF6	-0.00074254879130186	0.997054742103131	0.99835260048376	nebula	Census_ebc2e1ff_DiseaseVsNormal
TPRG1L	-0.165382546747902	0.231968722634376	0.406667864153384	nebula	Census_ebc2e1ff_DiseaseVsNormal
WRAP73	-0.0688673230634736	0.443855913791905	0.620603906308592	nebula	Census_ebc2e1ff_DiseaseVsNormal
SMIM1	0.286144180905168	0.250551898645287	0.428367068978093	nebula	Census_ebc2e1ff_DiseaseVsNormal
LRRC47	-0.160308189415566	0.639083500312354	0.782519285309604	nebula	Census_ebc2e1ff_DiseaseVsNormal
CEP104	-0.0318773141244025	0.835277543105081	0.910582735315688	nebula	Census_ebc2e1ff_DiseaseVsNormal
DFFB	0.055710965869645	0.643933272281153	0.78600589269123	nebula	Census_ebc2e1ff_DiseaseVsNormal
C1orf174	-0.0313468320270937	0.797999523500048	0.88766715137652	nebula	Census_ebc2e1ff_DiseaseVsNormal
KCNAB2	0.157411776329625	0.190061827804031	0.354460700865406	nebula	Census_ebc2e1ff_DiseaseVsNormal
RPL22	-0.0610597734767635	0.543527464673676	0.705128020085796	nebula	Census_ebc2e1ff_DiseaseVsNormal
ICMT	0.415153347092473	0.0660526513509693	0.167179578210502	nebula	Census_ebc2e1ff_DiseaseVsNormal
ACOT7	1.52974353498417	3.79331018388466e-07	1.4934292062538e-05	nebula	Census_ebc2e1ff_DiseaseVsNormal
TNFRSF25	-0.00779065123446387	0.94492815534762	0.972582543832772	nebula	Census_ebc2e1ff_DiseaseVsNormal
NOL9	-0.0541186670518751	0.809075751885272	0.894896307803641	nebula	Census_ebc2e1ff_DiseaseVsNormal
ZBTB48	-0.0583522626710004	0.650414273007431	0.790752521703845	nebula	Census_ebc2e1ff_DiseaseVsNormal
KLHL21	-0.618337219113772	0.00216186266422031	0.0125470845282665	nebula	Census_ebc2e1ff_DiseaseVsNormal
PHF13	0.0355331987422065	0.907300759874976	0.952046967339954	nebula	Census_ebc2e1ff_DiseaseVsNormal
THAP3	-0.168601625582132	0.268426679083876	0.448655322807038	nebula	Census_ebc2e1ff_DiseaseVsNormal
DNAJC11	0.33101343847644	0.0272925404837623	0.0863961395497383	nebula	Census_ebc2e1ff_DiseaseVsNormal
CAMTA1	0.188995886476085	0.0131665189234432	0.0499678137512075	nebula	Census_ebc2e1ff_DiseaseVsNormal
VAMP3	0.0915163060777229	0.380041484864428	0.56310784540588	nebula	Census_ebc2e1ff_DiseaseVsNormal
PER3	0.0877413879812245	0.748305891640837	0.856586728088218	nebula	Census_ebc2e1ff_DiseaseVsNormal
PARK7	0.350572297522203	0.00392361073078564	0.019569130826861	nebula	Census_ebc2e1ff_DiseaseVsNormal
RERE	-0.0270432594555364	0.743420574993847	0.853788128829465	nebula	Census_ebc2e1ff_DiseaseVsNormal
ENO1	0.692080694681131	9.95508717030322e-05	0.00117811682488796	nebula	Census_ebc2e1ff_DiseaseVsNormal
H6PD	-0.347714414438707	0.0591945248194743	0.154072162466097	nebula	Census_ebc2e1ff_DiseaseVsNormal
PIK3CD	0.0612367214835978	0.591631990011541	0.744040992328624	nebula	Census_ebc2e1ff_DiseaseVsNormal
CLSTN1	0.121138175845774	0.259525839960054	0.439017933592225	nebula	Census_ebc2e1ff_DiseaseVsNormal
LZIC	0.161556713972008	0.0653299216288239	0.166064874501332	nebula	Census_ebc2e1ff_DiseaseVsNormal
NMNAT1	-0.0814213485710736	0.569033421182517	0.726513950934066	nebula	Census_ebc2e1ff_DiseaseVsNormal
UBE4B	0.0913448163148734	0.460884034413664	0.635892449805371	nebula	Census_ebc2e1ff_DiseaseVsNormal
KIF1B	0.211285749980493	0.311242881026551	0.496403132343242	nebula	Census_ebc2e1ff_DiseaseVsNormal
PGD	0.309030663412322	0.0073802103422612	0.0319527692207575	nebula	Census_ebc2e1ff_DiseaseVsNormal
DFFA	0.307745667260612	0.00364264711044379	0.0185506061200507	nebula	Census_ebc2e1ff_DiseaseVsNormal
PEX14	0.0420686963762081	0.725588895723927	0.84131434820646	nebula	Census_ebc2e1ff_DiseaseVsNormal
TARDBP	0.1725778066429	0.340830583809704	0.524596865953062	nebula	Census_ebc2e1ff_DiseaseVsNormal
SRM	0.588685573638022	0.000706862473109622	0.00526330955405526	nebula	Census_ebc2e1ff_DiseaseVsNormal
EXOSC10	0.15151205829285	0.193004047291635	0.358646890882015	nebula	Census_ebc2e1ff_DiseaseVsNormal
MTOR	0.216480705099311	0.0211334426018788	0.0716387884809451	nebula	Census_ebc2e1ff_DiseaseVsNormal
UBIAD1	0.00679438412246379	0.949327653137802	0.974368934761164	nebula	Census_ebc2e1ff_DiseaseVsNormal
