dataset_id	tissue	organism	n_cells	scdblfinder_rate	scrublet_rate	cohens_kappa	n_cell_types	disagreement_rate
2f132ec9-24b5-422f-9be0-ccef03b4fe28	lung	Homo sapiens	20000	0.14955	0.00165	0.0186	9	0.1479
27d91086-cfe3-4e33-9282-bd1246e5ce8e	brain	Homo sapiens	20000	0.07025	0.0013	0.0241	10	0.06965
e595c979-c2de-4dad-8c02-8334a8e56de6	forelimb	Homo sapiens	20000	0.12085	0.0003	0.0027	33	0.12075
53d208b0-2cfd-4366-9866-c3c6114081bc	tongue	Homo sapiens	20000	0.13015	5e-05	0.0007	23	0.1301
edc8d3fe-153c-4e3d-8be0-2108d30f8d70	respiratory system	Homo sapiens	20000	0.11585	0.0025	0.0273	37	0.11455
821a8e3e-87ec-41ee-bd69-cd4377057d38	adipose tissue	Homo sapiens	20000	0.1046	0.0134	0.1875	10	0.0936
09b518f9-da64-44cc-aec8-70a89d55611f	kidney	Homo sapiens	20000	0.157	0.0	0.0	33	0.157
a4157949-6f2a-40e2-b960-63f6e2bde918	eye	Homo sapiens	20000	0.08935	0.01695	0.267	6	0.0757
4ed927e9-c099-49af-b8ce-a2652d069333	heart	Homo sapiens	20000	0.113	0.0091	0.127	16	0.1048
3f32121d-126b-4e8d-9f69-d86502d2a1b1	small intestine	Homo sapiens	20000	0.1435	0.0	0.0	10	0.1435
e3cc5b85-62ec-4add-bee3-73c8fd11e59d	nose	Homo sapiens	20000	0.1658	0.0	0.0	11	0.1658
4dd00779-7f73-4f50-89bb-e2d3c6b71b18	colon	Homo sapiens	20000	0.15985	0.0007	0.0017	23	0.16005
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	heart	Mus musculus	20000	0.12555	0.0342	0.3858	13	0.09285
0e1c7067-8833-4f54-8847-ad7d33d09c10	brain	Mus musculus	20000	0.14105	0.00145	0.0112	1	0.1405
2a262b59-7936-4ecd-b656-248247a0559f	prostate gland	Mus musculus	20000	0.114	0.00135	0.0164	25	0.11315
48b37086-25f7-4ecd-be66-f5bb378e3aea	spleen	Mus musculus	20000	0.10795	0.01745	0.2239	12	0.0944
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff	bone marrow	Mus musculus	20000	0.078	0.0131	0.2129	15	0.0701
a13bda79-9134-46c9-9ed1-a2858be9aafe	reproductive system	Mus musculus	20000	0.15005	0.00785	0.0697	12	0.1447
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	pancreas	Mus musculus	20000	0.08145	0.00185	0.0084	11	0.0823
48b37086-25f7-4ecd-be66-f5bb378e3aea	musculature	Mus musculus	20000	0.1037	0.0054	0.0869	9	0.0986
12445b6d-4657-47d7-af4f-06f5a6bc6887	exocrine gland	Mus musculus	20000	0.1067	0.0007	0.0107	6	0.1061
2a262b59-7936-4ecd-b656-248247a0559f	urethra	Mus musculus	20000	0.1161	0.00105	0.009	26	0.11585
48b37086-25f7-4ecd-be66-f5bb378e3aea	lung	Mus musculus	20000	0.07535	0.00515	0.0756	30	0.0737
48b37086-25f7-4ecd-be66-f5bb378e3aea	kidney	Mus musculus	20000	0.07805	0.00315	0.0695	23	0.0751
