dataset_id	tissue	organism	dataset_size_cells	threshold	genes_total	genes_retained	cells_retained	hvg_overlap	pct_hvg_lost	median_genes_per_cell
37a17b78-4864-4a42-b67b-31c00962795a	brain	Homo sapiens	30000	1	61497	34176	30000	1.0	0.0	3139.5
37a17b78-4864-4a42-b67b-31c00962795a	brain	Homo sapiens	30000	3	61497	34175	30000	1.0	0.0	3139.5
37a17b78-4864-4a42-b67b-31c00962795a	brain	Homo sapiens	30000	5	61497	34174	30000	1.0	0.0	3139.5
37a17b78-4864-4a42-b67b-31c00962795a	brain	Homo sapiens	30000	10	61497	34082	30000	1.0	0.0	3139.5
37a17b78-4864-4a42-b67b-31c00962795a	brain	Homo sapiens	30000	20	61497	33014	30000	1.0	0.0	3139.0
37a17b78-4864-4a42-b67b-31c00962795a	brain	Homo sapiens	30000	50	61497	29629	30000	0.996	0.2	3138.0
d6505c89-c43d-4c28-8c4f-7351a5fd5528	eye	Homo sapiens	30000	1	61497	32218	30000	0.997	0.15	2290.0
d6505c89-c43d-4c28-8c4f-7351a5fd5528	eye	Homo sapiens	30000	3	61497	30380	30000	1.0	0.0	2290.0
d6505c89-c43d-4c28-8c4f-7351a5fd5528	eye	Homo sapiens	30000	5	61497	29375	30000	0.998	0.1	2290.0
d6505c89-c43d-4c28-8c4f-7351a5fd5528	eye	Homo sapiens	30000	10	61497	27816	30000	0.991	0.45	2290.0
d6505c89-c43d-4c28-8c4f-7351a5fd5528	eye	Homo sapiens	30000	20	61497	25951	30000	0.99	0.5	2289.0
d6505c89-c43d-4c28-8c4f-7351a5fd5528	eye	Homo sapiens	30000	50	61497	23192	30000	0.9646	1.8	2287.0
46104f0b-9af5-466a-ae0f-56b8dc1969a2	blood	Homo sapiens	30000	1	61497	23304	30000	0.9175	4.3	1517.0
46104f0b-9af5-466a-ae0f-56b8dc1969a2	blood	Homo sapiens	30000	3	61497	20779	30000	1.0	0.0	1516.5
46104f0b-9af5-466a-ae0f-56b8dc1969a2	blood	Homo sapiens	30000	5	61497	19620	30000	0.9782	1.1	1516.0
46104f0b-9af5-466a-ae0f-56b8dc1969a2	blood	Homo sapiens	30000	10	61497	18075	30000	0.9286	3.7	1516.0
46104f0b-9af5-466a-ae0f-56b8dc1969a2	blood	Homo sapiens	30000	20	61497	16542	30000	0.87	6.95	1515.5
46104f0b-9af5-466a-ae0f-56b8dc1969a2	blood	Homo sapiens	30000	50	61497	14595	30000	0.7652	13.3	1514.0
9f222629-9e39-47d0-b83f-e08d610c7479	lung	Homo sapiens	30000	1	61497	37550	30000	0.992	0.4	1488.0
9f222629-9e39-47d0-b83f-e08d610c7479	lung	Homo sapiens	30000	3	61497	32561	30000	1.0	0.0	1488.0
9f222629-9e39-47d0-b83f-e08d610c7479	lung	Homo sapiens	30000	5	61497	30551	30000	0.992	0.4	1488.0
9f222629-9e39-47d0-b83f-e08d610c7479	lung	Homo sapiens	30000	10	61497	27757	30000	0.9675	1.65	1487.0
9f222629-9e39-47d0-b83f-e08d610c7479	lung	Homo sapiens	30000	20	61497	24923	30000	0.9465	2.75	1486.0
9f222629-9e39-47d0-b83f-e08d610c7479	lung	Homo sapiens	30000	50	61497	21190	30000	0.8536	7.9	1484.0
0ba636a1-4754-4786-a8be-7ab3cf760fd6	breast	Homo sapiens	30000	1	61497	29289	30000	0.9646	1.8	1876.5
0ba636a1-4754-4786-a8be-7ab3cf760fd6	breast	Homo sapiens	30000	3	61497	26324	30000	1.0	0.0	1876.0
0ba636a1-4754-4786-a8be-7ab3cf760fd6	breast	Homo sapiens	30000	5	61497	24900	30000	0.9802	1.0	1876.0
