dataset_id	tissue	organism	bbknn_ari	harmony_ari	scanorama_ari	scvi_ari	n_donors	n_cells	n_cell_types	best_method	decision_tree_prediction	prediction_correct
16023185-de21-4c0d-a9c8-73abdd52d142	large intestine	Homo sapiens	0.508	0.41	0.31447302881128	0.4244383768026151	62	20000	45	bbknn	bbknn	True
19053a82-9c89-4fb8-bd19-d7b1800b0b7b	stomach	Homo sapiens	0.1192	0.4431	0.3457787155194084	0.4445286168734454	136	20000	76	scvi	scvi	True
23f77ae6-10af-4307-b136-76b26654ae7d	eye	Mus musculus		0.5963	0.4958964892628588	0.5734655244548702	60	20000	27	harmony	bbknn	False
25818bf7-e2a7-41ec-8ff2-bc369c0ff4f5	kidney	Mus musculus	0.6216	0.8215	0.4232762467581373	0.7573774337082738	32	20000	21	harmony	harmony	True
37a17b78-4864-4a42-b67b-31c00962795a	brain	Homo sapiens		0.6301	0.0148007481028031	0.9366793203227808	1023	20000	24	scvi	scvi	True
3c364ffe-d599-44d5-a77f-6c5fd7038cf6	central nervous system	Homo sapiens	0.5976	0.7416	0.4839983040356435	0.7501625590867075	67	20000	51	scvi	scvi	True
3faad104-2ab8-4434-816d-474d8d2641db	blood	Homo sapiens	0.1983	0.4885	0.0013310029474112	0.5155990233884679	981	20000	28	scvi	scvi	True
48b37086-25f7-4ecd-be66-f5bb378e3aea	bone marrow	Mus musculus	0.2697	0.5782	0.4220432846700049	0.627065736879924	23	20000	119	scvi	harmony	False
49e4ffcc-5444-406d-bdee-577127404ba8	pancreas	Mus musculus	0.2545	0.5546	0.2915866584016101	0.7404666239041916	56	20000	13	scvi	scvi	True
4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670	forelimb	Mus musculus	0.3097	0.2016	0.2076204322322428	0.2546930333278626	31	20000	37	bbknn	bbknn	True
5695d556-974e-4d92-9e99-5f61b8695313	ovary	Mus musculus		0.1377	0.2239890675291916	0.1267316528201713	27	4923	5	scanorama	scvi	False
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff	central nervous system	Mus musculus	0.5509	0.5598	0.390022461440924	0.5502349916152153	51	20000	16	harmony	harmony	True
65badd7a-9262-4fd1-9ce2-eb5dc0ca8039	heart	Homo sapiens	0.8857	0.8376	0.4425931852629773	0.8961368667131395	67	20000	10	scvi	scvi	True
6725ee8e-ef5b-4e68-8901-61bd14a1fe73	intestine	Homo sapiens	0.0	0.1882	0.194793082170454	0.2185220261129062	190	20000	40	scvi	scvi	True
67b6b9ac-b841-42ce-b2d4-ed2ec12327bd	lymph node	Homo sapiens		0.5516	0.013947475367092	0.6362825048917726	225	20000	18	scvi	scvi	True
6c6b4c47-096d-4084-97e7-714ee10c556c	exocrine gland	Mus musculus	0.5864	0.5838	0.3201187076660731	0.4779274859464946	29	20000	24	bbknn	bbknn	True
72955cdb-bd92-4135-aa52-21f33f9640db	vasculature	Homo sapiens	0.4341	0.4963	0.2399679447102507	0.5121820343686394	73	20000	12	scvi	scvi	True
731e0ae7-e600-470f-a6dc-8c35c28d6c3d	heart	Mus musculus	0.6757	0.743	0.4690910038543109	0.8305036210339559	36	20000	21	scvi	harmony	False
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867	blood	Mus musculus	0.4352	0.7365	0.6272841181191056	0.6593079194899082	22	20000	26	harmony	harmony	True
812fa7bd-db15-4357-b2c9-efc8e1eb0450	brain	Mus musculus		0.6635	0.5840640587992076	0.8020394651345163	495	20000	27	scvi	scvi	True
842c6f5d-4a94-4eef-8510-8c792d1124bc	breast	Homo sapiens	0.6366	0.676	0.2442492899099338	0.7372600590706786	126	20000	39	scvi	scvi	True
89840cec-5734-455d-b68e-34d27650e148	lung	Mus musculus	0.8099	0.6522	0.4362160428485969	0.5708419403344287	25	20000	27	bbknn	bbknn	True
9f222629-9e39-47d0-b83f-e08d610c7479	lung	Homo sapiens		0.2362	0.0299230764507525	0.3194804724901754	432	20000	50	scvi	scvi	True
a12ccb9b-4fbe-457d-8590-ac78053259ef	kidney	Homo sapiens	0.6092	0.6206	0.2392673402211072	0.6748535593220708	80	20000	26	scvi	scvi	True
b6f472f1-a58d-43a7-a898-2d6822a0b2b2	nervous system	Mus musculus	0.5067	0.1879	0.0483832300290845	0.1352161940843584	91	20000	10	bbknn	scvi	False
c14c54f8-85d8-45db-9de7-6ab572cc748a	endocrine gland	Mus musculus	0.3467	0.4671	0.4230615233926366	0.4973075739145227	17	20000	13	scvi	scvi	True
d6505c89-c43d-4c28-8c4f-7351a5fd5528	eye	Homo sapiens	0.6441	0.7131	0.4105443697479704	0.8298930372191029	100	20000	31	scvi	scvi	True
dcfd4feb-18a3-4b30-81d7-1b0c544a8ab3	embryo	Mus musculus	0.2059	0.5789	0.3910687488673603	0.6062861654079452	74	20000	131	scvi	harmony	False
e22482ee-19e8-40bc-9f6e-541dc3c82c20	bone marrow	Homo sapiens	0.0894	0.0832	0.0162104971734095	0.1010187561859253	66	20000	8	scvi	scvi	True
edc8d3fe-153c-4e3d-8be0-2108d30f8d70	nose	Homo sapiens		0.4718	0.2384352786588079	0.4683521948136379	74	20000	40	harmony	harmony	True
